specification_id,minimum_cells,minimum_guides,on_target_rule,transfer_definition,model_family,covariate_set,cross_validation_seed,module_resolution,reason
964,100,3,significant,distal_gene_count_residual,ridge,minimal,20261031,,insufficient_rows_or_targets
968,100,3,significant,distal_gene_count_residual,ridge,observability,20261013,,insufficient_rows_or_targets
972,100,3,significant,distal_gene_count_residual,ridge,reproducibility,20260929,,insufficient_rows_or_targets
976,100,3,significant,distal_gene_count_residual,ridge,no_state,20260912,,insufficient_rows_or_targets
980,100,3,significant,distal_gene_count_residual,ridge,no_state,20261119,,insufficient_rows_or_targets
984,100,3,significant,distal_gene_count_residual,huber_regression,minimal,20261031,,insufficient_rows_or_targets
988,100,3,significant,distal_gene_count_residual,huber_regression,observability,20261013,,insufficient_rows_or_targets
992,100,3,significant,distal_gene_count_residual,huber_regression,reproducibility,20260929,,insufficient_rows_or_targets
996,100,3,significant,distal_gene_count_residual,huber_regression,no_state,20260912,,insufficient_rows_or_targets
1000,100,3,significant,distal_gene_count_residual,huber_regression,no_state,20261119,,insufficient_rows_or_targets
1004,100,3,significant,distal_gene_count_residual,sparse_nonlinear,minimal,20261031,,insufficient_rows_or_targets
1008,100,3,significant,distal_gene_count_residual,sparse_nonlinear,observability,20261013,,insufficient_rows_or_targets
1012,100,3,significant,distal_gene_count_residual,sparse_nonlinear,reproducibility,20260929,,insufficient_rows_or_targets
1016,100,3,significant,distal_gene_count_residual,sparse_nonlinear,no_state,20260912,,insufficient_rows_or_targets
1020,100,3,significant,distal_gene_count_residual,sparse_nonlinear,no_state,20261119,,insufficient_rows_or_targets
1024,100,3,significant,distal_gene_count_residual,graph_readout,minimal,20261031,,insufficient_rows_or_targets
1028,100,3,significant,distal_gene_count_residual,graph_readout,observability,20261013,,insufficient_rows_or_targets
1032,100,3,significant,distal_gene_count_residual,graph_readout,reproducibility,20260929,,insufficient_rows_or_targets
1036,100,3,significant,distal_gene_count_residual,graph_readout,no_state,20260912,,insufficient_rows_or_targets
1040,100,3,significant,distal_gene_count_residual,graph_readout,no_state,20261119,,insufficient_rows_or_targets
1044,100,3,significant,debiased_response_l2_gain,ridge,minimal,20261031,,insufficient_rows_or_targets
1048,100,3,significant,debiased_response_l2_gain,ridge,observability,20261013,,insufficient_rows_or_targets
1052,100,3,significant,debiased_response_l2_gain,ridge,reproducibility,20260929,,insufficient_rows_or_targets
1056,100,3,significant,debiased_response_l2_gain,ridge,no_state,20260912,,insufficient_rows_or_targets
1060,100,3,significant,debiased_response_l2_gain,ridge,no_state,20261119,,insufficient_rows_or_targets
1064,100,3,significant,debiased_response_l2_gain,huber_regression,minimal,20261031,,insufficient_rows_or_targets
1068,100,3,significant,debiased_response_l2_gain,huber_regression,observability,20261013,,insufficient_rows_or_targets
1072,100,3,significant,debiased_response_l2_gain,huber_regression,reproducibility,20260929,,insufficient_rows_or_targets
1076,100,3,significant,debiased_response_l2_gain,huber_regression,no_state,20260912,,insufficient_rows_or_targets
1080,100,3,significant,debiased_response_l2_gain,huber_regression,no_state,20261119,,insufficient_rows_or_targets
1084,100,3,significant,debiased_response_l2_gain,sparse_nonlinear,minimal,20261031,,insufficient_rows_or_targets
1088,100,3,significant,debiased_response_l2_gain,sparse_nonlinear,observability,20261013,,insufficient_rows_or_targets
1092,100,3,significant,debiased_response_l2_gain,sparse_nonlinear,reproducibility,20260929,,insufficient_rows_or_targets
1096,100,3,significant,debiased_response_l2_gain,sparse_nonlinear,no_state,20260912,,insufficient_rows_or_targets
1100,100,3,significant,debiased_response_l2_gain,sparse_nonlinear,no_state,20261119,,insufficient_rows_or_targets
1104,100,3,significant,debiased_response_l2_gain,graph_readout,minimal,20261031,,insufficient_rows_or_targets
1108,100,3,significant,debiased_response_l2_gain,graph_readout,observability,20261013,,insufficient_rows_or_targets
1112,100,3,significant,debiased_response_l2_gain,graph_readout,reproducibility,20260929,,insufficient_rows_or_targets
1116,100,3,significant,debiased_response_l2_gain,graph_readout,no_state,20260912,,insufficient_rows_or_targets
1120,100,3,significant,debiased_response_l2_gain,graph_readout,no_state,20261119,,insufficient_rows_or_targets
1124,100,3,significant,significant_response_l1_gain,ridge,minimal,20261031,,insufficient_rows_or_targets
1128,100,3,significant,significant_response_l1_gain,ridge,observability,20261013,,insufficient_rows_or_targets
1132,100,3,significant,significant_response_l1_gain,ridge,reproducibility,20260929,,insufficient_rows_or_targets
1136,100,3,significant,significant_response_l1_gain,ridge,no_state,20260912,,insufficient_rows_or_targets
1140,100,3,significant,significant_response_l1_gain,ridge,no_state,20261119,,insufficient_rows_or_targets
1144,100,3,significant,significant_response_l1_gain,huber_regression,minimal,20261031,,insufficient_rows_or_targets
1148,100,3,significant,significant_response_l1_gain,huber_regression,observability,20261013,,insufficient_rows_or_targets
1152,100,3,significant,significant_response_l1_gain,huber_regression,reproducibility,20260929,,insufficient_rows_or_targets
1156,100,3,significant,significant_response_l1_gain,huber_regression,no_state,20260912,,insufficient_rows_or_targets
1160,100,3,significant,significant_response_l1_gain,huber_regression,no_state,20261119,,insufficient_rows_or_targets
1164,100,3,significant,significant_response_l1_gain,sparse_nonlinear,minimal,20261031,,insufficient_rows_or_targets
1168,100,3,significant,significant_response_l1_gain,sparse_nonlinear,observability,20261013,,insufficient_rows_or_targets
1172,100,3,significant,significant_response_l1_gain,sparse_nonlinear,reproducibility,20260929,,insufficient_rows_or_targets
1176,100,3,significant,significant_response_l1_gain,sparse_nonlinear,no_state,20260912,,insufficient_rows_or_targets
1180,100,3,significant,significant_response_l1_gain,sparse_nonlinear,no_state,20261119,,insufficient_rows_or_targets
1184,100,3,significant,significant_response_l1_gain,graph_readout,minimal,20261031,,insufficient_rows_or_targets
1188,100,3,significant,significant_response_l1_gain,graph_readout,observability,20261013,,insufficient_rows_or_targets
1192,100,3,significant,significant_response_l1_gain,graph_readout,reproducibility,20260929,,insufficient_rows_or_targets
1196,100,3,significant,significant_response_l1_gain,graph_readout,no_state,20260912,,insufficient_rows_or_targets
1200,100,3,significant,significant_response_l1_gain,graph_readout,no_state,20261119,,insufficient_rows_or_targets
1204,100,3,significant_and_absolute_z_at_least_2,distal_gene_count_residual,ridge,minimal,20261031,,insufficient_rows_or_targets
1208,100,3,significant_and_absolute_z_at_least_2,distal_gene_count_residual,ridge,observability,20261013,,insufficient_rows_or_targets
1212,100,3,significant_and_absolute_z_at_least_2,distal_gene_count_residual,ridge,reproducibility,20260929,,insufficient_rows_or_targets
1216,100,3,significant_and_absolute_z_at_least_2,distal_gene_count_residual,ridge,no_state,20260912,,insufficient_rows_or_targets
1220,100,3,significant_and_absolute_z_at_least_2,distal_gene_count_residual,ridge,no_state,20261119,,insufficient_rows_or_targets
1224,100,3,significant_and_absolute_z_at_least_2,distal_gene_count_residual,huber_regression,minimal,20261031,,insufficient_rows_or_targets
1228,100,3,significant_and_absolute_z_at_least_2,distal_gene_count_residual,huber_regression,observability,20261013,,insufficient_rows_or_targets
1232,100,3,significant_and_absolute_z_at_least_2,distal_gene_count_residual,huber_regression,reproducibility,20260929,,insufficient_rows_or_targets
1236,100,3,significant_and_absolute_z_at_least_2,distal_gene_count_residual,huber_regression,no_state,20260912,,insufficient_rows_or_targets
1240,100,3,significant_and_absolute_z_at_least_2,distal_gene_count_residual,huber_regression,no_state,20261119,,insufficient_rows_or_targets
1244,100,3,significant_and_absolute_z_at_least_2,distal_gene_count_residual,sparse_nonlinear,minimal,20261031,,insufficient_rows_or_targets
1248,100,3,significant_and_absolute_z_at_least_2,distal_gene_count_residual,sparse_nonlinear,observability,20261013,,insufficient_rows_or_targets
1252,100,3,significant_and_absolute_z_at_least_2,distal_gene_count_residual,sparse_nonlinear,reproducibility,20260929,,insufficient_rows_or_targets
1256,100,3,significant_and_absolute_z_at_least_2,distal_gene_count_residual,sparse_nonlinear,no_state,20260912,,insufficient_rows_or_targets
1260,100,3,significant_and_absolute_z_at_least_2,distal_gene_count_residual,sparse_nonlinear,no_state,20261119,,insufficient_rows_or_targets
1264,100,3,significant_and_absolute_z_at_least_2,distal_gene_count_residual,graph_readout,minimal,20261031,,insufficient_rows_or_targets
1268,100,3,significant_and_absolute_z_at_least_2,distal_gene_count_residual,graph_readout,observability,20261013,,insufficient_rows_or_targets
1272,100,3,significant_and_absolute_z_at_least_2,distal_gene_count_residual,graph_readout,reproducibility,20260929,,insufficient_rows_or_targets
1276,100,3,significant_and_absolute_z_at_least_2,distal_gene_count_residual,graph_readout,no_state,20260912,,insufficient_rows_or_targets
1280,100,3,significant_and_absolute_z_at_least_2,distal_gene_count_residual,graph_readout,no_state,20261119,,insufficient_rows_or_targets
1284,100,3,significant_and_absolute_z_at_least_2,debiased_response_l2_gain,ridge,minimal,20261031,,insufficient_rows_or_targets
1288,100,3,significant_and_absolute_z_at_least_2,debiased_response_l2_gain,ridge,observability,20261013,,insufficient_rows_or_targets
1292,100,3,significant_and_absolute_z_at_least_2,debiased_response_l2_gain,ridge,reproducibility,20260929,,insufficient_rows_or_targets
1296,100,3,significant_and_absolute_z_at_least_2,debiased_response_l2_gain,ridge,no_state,20260912,,insufficient_rows_or_targets
1300,100,3,significant_and_absolute_z_at_least_2,debiased_response_l2_gain,ridge,no_state,20261119,,insufficient_rows_or_targets
1304,100,3,significant_and_absolute_z_at_least_2,debiased_response_l2_gain,huber_regression,minimal,20261031,,insufficient_rows_or_targets
1308,100,3,significant_and_absolute_z_at_least_2,debiased_response_l2_gain,huber_regression,observability,20261013,,insufficient_rows_or_targets
1312,100,3,significant_and_absolute_z_at_least_2,debiased_response_l2_gain,huber_regression,reproducibility,20260929,,insufficient_rows_or_targets
1316,100,3,significant_and_absolute_z_at_least_2,debiased_response_l2_gain,huber_regression,no_state,20260912,,insufficient_rows_or_targets
1320,100,3,significant_and_absolute_z_at_least_2,debiased_response_l2_gain,huber_regression,no_state,20261119,,insufficient_rows_or_targets
1324,100,3,significant_and_absolute_z_at_least_2,debiased_response_l2_gain,sparse_nonlinear,minimal,20261031,,insufficient_rows_or_targets
1328,100,3,significant_and_absolute_z_at_least_2,debiased_response_l2_gain,sparse_nonlinear,observability,20261013,,insufficient_rows_or_targets
1332,100,3,significant_and_absolute_z_at_least_2,debiased_response_l2_gain,sparse_nonlinear,reproducibility,20260929,,insufficient_rows_or_targets
1336,100,3,significant_and_absolute_z_at_least_2,debiased_response_l2_gain,sparse_nonlinear,no_state,20260912,,insufficient_rows_or_targets
1340,100,3,significant_and_absolute_z_at_least_2,debiased_response_l2_gain,sparse_nonlinear,no_state,20261119,,insufficient_rows_or_targets
1344,100,3,significant_and_absolute_z_at_least_2,debiased_response_l2_gain,graph_readout,minimal,20261031,,insufficient_rows_or_targets
1348,100,3,significant_and_absolute_z_at_least_2,debiased_response_l2_gain,graph_readout,observability,20261013,,insufficient_rows_or_targets
1352,100,3,significant_and_absolute_z_at_least_2,debiased_response_l2_gain,graph_readout,reproducibility,20260929,,insufficient_rows_or_targets
1356,100,3,significant_and_absolute_z_at_least_2,debiased_response_l2_gain,graph_readout,no_state,20260912,,insufficient_rows_or_targets
1360,100,3,significant_and_absolute_z_at_least_2,debiased_response_l2_gain,graph_readout,no_state,20261119,,insufficient_rows_or_targets
1364,100,3,significant_and_absolute_z_at_least_2,significant_response_l1_gain,ridge,minimal,20261031,,insufficient_rows_or_targets
1368,100,3,significant_and_absolute_z_at_least_2,significant_response_l1_gain,ridge,observability,20261013,,insufficient_rows_or_targets
1372,100,3,significant_and_absolute_z_at_least_2,significant_response_l1_gain,ridge,reproducibility,20260929,,insufficient_rows_or_targets
1376,100,3,significant_and_absolute_z_at_least_2,significant_response_l1_gain,ridge,no_state,20260912,,insufficient_rows_or_targets
1380,100,3,significant_and_absolute_z_at_least_2,significant_response_l1_gain,ridge,no_state,20261119,,insufficient_rows_or_targets
1384,100,3,significant_and_absolute_z_at_least_2,significant_response_l1_gain,huber_regression,minimal,20261031,,insufficient_rows_or_targets
1388,100,3,significant_and_absolute_z_at_least_2,significant_response_l1_gain,huber_regression,observability,20261013,,insufficient_rows_or_targets
1392,100,3,significant_and_absolute_z_at_least_2,significant_response_l1_gain,huber_regression,reproducibility,20260929,,insufficient_rows_or_targets
1396,100,3,significant_and_absolute_z_at_least_2,significant_response_l1_gain,huber_regression,no_state,20260912,,insufficient_rows_or_targets
1400,100,3,significant_and_absolute_z_at_least_2,significant_response_l1_gain,huber_regression,no_state,20261119,,insufficient_rows_or_targets
1404,100,3,significant_and_absolute_z_at_least_2,significant_response_l1_gain,sparse_nonlinear,minimal,20261031,,insufficient_rows_or_targets
1408,100,3,significant_and_absolute_z_at_least_2,significant_response_l1_gain,sparse_nonlinear,observability,20261013,,insufficient_rows_or_targets
1412,100,3,significant_and_absolute_z_at_least_2,significant_response_l1_gain,sparse_nonlinear,reproducibility,20260929,,insufficient_rows_or_targets
1416,100,3,significant_and_absolute_z_at_least_2,significant_response_l1_gain,sparse_nonlinear,no_state,20260912,,insufficient_rows_or_targets
1420,100,3,significant_and_absolute_z_at_least_2,significant_response_l1_gain,sparse_nonlinear,no_state,20261119,,insufficient_rows_or_targets
1424,100,3,significant_and_absolute_z_at_least_2,significant_response_l1_gain,graph_readout,minimal,20261031,,insufficient_rows_or_targets
1428,100,3,significant_and_absolute_z_at_least_2,significant_response_l1_gain,graph_readout,observability,20261013,,insufficient_rows_or_targets
1432,100,3,significant_and_absolute_z_at_least_2,significant_response_l1_gain,graph_readout,reproducibility,20260929,,insufficient_rows_or_targets
1436,100,3,significant_and_absolute_z_at_least_2,significant_response_l1_gain,graph_readout,no_state,20260912,,insufficient_rows_or_targets
