result_family,specifications,expected_direction_fraction,q_supported_fraction,median_estimate,minimum_estimate,maximum_estimate,robustness_label
buffering,2880,0.859375,0.85,-0.20075739705169515,-1.117245105472786,0.12973451996630878,broad
context_switching,720,0.0,0.0,-0.6412666302067652,-0.8409322996941518,-0.31708069379333853,narrow
transfer_gain,720,0.6013888888888889,0.49444444444444446,0.0473809909364531,-0.2533884512210145,0.949364710007718,mixed
