result_family,specifications,expected_direction_fraction,q_supported_fraction,median_estimate,minimum_estimate,maximum_estimate,robustness_label
buffering,2880,0.859375,0.85,-0.21781831773004345,-1.1346755624435412,0.10858052444491348,broad
context_switching,720,0.0,0.0,-0.6451521541222209,-0.8411344872488343,-0.3145538035510357,narrow
transfer_gain,720,0.6194444444444445,0.5277777777777778,0.06455384425367092,-0.2526503673479605,0.9494657021572632,mixed
