model,r2,pearson_r,n_rows,n_targets,combined_minus_covariates_ci_low,combined_minus_covariates_ci_high
Covariates,-0.0015533072258753222,-0.03276080061748674,15807,6105,0.39132252425154307,0.6815403919032333
Topology,0.578038490723078,0.7662442619569225,15807,6105,0.39132252425154307,0.6815403919032333
Combined,0.5814227751268799,0.7694434388892626,15807,6105,0.39132252425154307,0.6815403919032333
