locus,gene,trait,feature,value,shap_value
stat3,STAT3,inflammatory bowel disease,transPQtlColocH4MaximumNeighbourhood,0.0,-0.0014267346123233438
ptpn22,PTPN22,rheumatoid arthritis,eQtlColocClppMaximum,0.0,-0.000676951662171632
ptpn22,PTPN22,rheumatoid arthritis,pQtlColocClppMaximum,0.0,-0.0021366444416344166
ptpn22,PTPN22,rheumatoid arthritis,sQtlColocClppMaximum,0.0,-0.0003521061735227704
ptpn22,PTPN22,rheumatoid arthritis,eQtlColocH4Maximum,0.0,-0.0006576039013452828
ptpn22,PTPN22,rheumatoid arthritis,pQtlColocH4Maximum,0.0,-0.0008857724023982882
ptpn22,PTPN22,rheumatoid arthritis,sQtlColocH4Maximum,0.0,-0.00040396832628175616
ptpn22,PTPN22,rheumatoid arthritis,eQtlColocClppMaximumNeighbourhood,0.0,-0.0012390456395223737
ptpn22,PTPN22,rheumatoid arthritis,pQtlColocClppMaximumNeighbourhood,0.0,-0.0010583086404949427
ptpn22,PTPN22,rheumatoid arthritis,sQtlColocClppMaximumNeighbourhood,0.0,-0.0005579190328717232
ptpn22,PTPN22,rheumatoid arthritis,eQtlColocH4MaximumNeighbourhood,0.0,-0.0017499722307547927
ptpn22,PTPN22,rheumatoid arthritis,pQtlColocH4MaximumNeighbourhood,0.0,-0.0004329232615418732
ptpn22,PTPN22,rheumatoid arthritis,sQtlColocH4MaximumNeighbourhood,0.0,-0.0011313857976347208
ptpn22,PTPN22,rheumatoid arthritis,distanceSentinelFootprint,1.0,0.03647641837596893
ptpn22,PTPN22,rheumatoid arthritis,distanceSentinelFootprintNeighbourhood,1.0,0.16671937704086304
ptpn22,PTPN22,rheumatoid arthritis,distanceFootprintMean,0.9999759793281555,0.030190370976924896
ptpn22,PTPN22,rheumatoid arthritis,distanceFootprintMeanNeighbourhood,1.0,0.027889767661690712
ptpn22,PTPN22,rheumatoid arthritis,distanceTssMean,0.9941557049751282,0.007338911760598421
ptpn22,PTPN22,rheumatoid arthritis,distanceTssMeanNeighbourhood,0.9976755380630493,0.05783833935856819
ptpn22,PTPN22,rheumatoid arthritis,distanceSentinelTss,0.9941797256469727,-0.011098875664174557
ptpn22,PTPN22,rheumatoid arthritis,distanceSentinelTssNeighbourhood,0.9976755976676941,0.11737029999494553
ptpn22,PTPN22,rheumatoid arthritis,vepMaximum,0.6800000071525574,0.1401592493057251
ptpn22,PTPN22,rheumatoid arthritis,vepMaximumNeighbourhood,1.0,0.13791528344154358
ptpn22,PTPN22,rheumatoid arthritis,vepMean,0.6797854900360107,0.05224611982703209
ptpn22,PTPN22,rheumatoid arthritis,vepMeanNeighbourhood,1.0,0.08323047310113907
ptpn22,PTPN22,rheumatoid arthritis,e2gMean,0.0,-0.0009528553346171975
ptpn22,PTPN22,rheumatoid arthritis,e2gMeanNeighbourhood,0.0,-0.0015079656150192022
ptpn22,PTPN22,rheumatoid arthritis,geneCount500kb,14.0,0.03274278715252876
ptpn22,PTPN22,rheumatoid arthritis,proteinGeneCount500kb,8.0,0.0063756974413990974
ptpn22,PTPN22,rheumatoid arthritis,credibleSetConfidence,0.75,-0.00029836571775376797
ptpn22,PTPN22,rheumatoid arthritis,transPQtlColocH4Maximum,0.0,-0.00044184664147906005
ptpn22,PTPN22,rheumatoid arthritis,transPQtlColocH4MaximumNeighbourhood,0.0,-0.0009485858026891947
