scope,pairs,targets,observed_mean_normalized_aitchison_distance,observed_median_normalized_aitchison_distance,permutation_null_median_of_means,permutation_null_mean_of_means,permutation_null_ci_low,permutation_null_ci_high,observed_minus_null_median,cluster_bootstrap_ci_low,cluster_bootstrap_ci_high,permutation_p_upper,permutation_p_lower,minimum_required_pairs,passes_minimum_power,bootstrap_replicates,permutation_replicates,q_value_upper_bh,status,effect_direction
overall,8168,3696,2.8321678286442316,2.9348351702646864,3.175157498325603,3.1750975512519943,3.1678318689003717,3.182082381942731,-0.34298966968137146,-0.36878277787263225,-0.3188371085895045,1.0,0.000999000999000999,1000,True,1000,1000,1.0,failed,observed_less_than_matched_null
Rest__Stim8hr,2671,2671,2.8256351804485407,2.928690766485942,3.1904481741423263,3.1902134628073284,3.1775243807657505,3.202756055269711,-0.3648129936937856,-0.39605201270791407,-0.33105525024140986,1.0,0.000999000999000999,250,True,1000,1000,1.0,failed,observed_less_than_matched_null
Rest__Stim48hr,2647,2647,2.8520125884014846,2.946906191766594,3.164180809987071,3.1642755751395915,3.152615308580076,3.1771138757898822,-0.31216822158558655,-0.3476043016318572,-0.2784567774706611,1.0,0.000999000999000999,250,True,1000,1000,1.0,failed,observed_less_than_matched_null
Stim8hr__Stim48hr,2850,2850,2.819858924873439,2.9252465699755463,3.1711242632796965,3.170982172657339,3.1592811138889365,3.1828924941402215,-0.3512653384062574,-0.38421673129607065,-0.3187064282663067,1.0,0.000999000999000999,250,True,1000,1000,1.0,failed,observed_less_than_matched_null
