culture_condition,count,mean,std,min,5%,25%,50%,75%,95%,max
Rest,5092.0,687.5043205027495,417.5941628857403,200.0,257.0,421.0,609.0,847.0,1358.3499999999995,9264.0
Stim48hr,5424.0,686.2273230088496,418.1737819986857,200.0,258.0,430.0,606.0,840.0,1354.8499999999995,11510.0
Stim8hr,5291.0,655.5622755622755,385.9220589474886,200.0,255.0,415.0,580.0,801.0,1276.5,8565.0
