minimum_cells,minimum_guides,result_family,specifications,median_estimate,expected_direction_fraction,supported_fraction
100,1,buffering,1920,-0.1776496861421636,0.8520833333333333,0.8333333333333334
100,1,context_switching,480,-0.6441068868650484,0.0,0.0
100,1,transfer_gain,480,0.08028189440554337,0.6479166666666667,0.625
100,2,buffering,1920,-0.1776496861421636,0.8442708333333333,0.8333333333333334
100,2,context_switching,480,-0.6441068868650484,0.0,0.0
100,2,transfer_gain,480,0.08350964485468085,0.6479166666666667,0.625
200,1,buffering,1920,-0.1776496861421636,0.853125,0.8338541666666667
200,1,context_switching,480,-0.6441068868650484,0.0,0.0
200,1,transfer_gain,480,0.06594803882303621,0.6333333333333333,0.5
200,2,buffering,1920,-0.1776496861421636,0.8442708333333333,0.8333333333333334
200,2,context_switching,480,-0.6441068868650484,0.0,0.0
200,2,transfer_gain,480,0.06594803882303621,0.6479166666666667,0.5
300,1,buffering,1920,-0.15901054209351717,0.84375,0.8333333333333334
300,1,context_switching,480,-0.6348963542281425,0.0,0.0
300,1,transfer_gain,480,0.042244378652197656,0.5625,0.4583333333333333
300,2,buffering,1920,-0.15901054209351717,0.8364583333333333,0.8333333333333334
300,2,context_switching,480,-0.6348963542281425,0.0,0.0
300,2,transfer_gain,480,0.04160853557619904,0.5854166666666667,0.4583333333333333
