culture_condition,tests,targets,median_downstream,mean_transfer_z,median_transfer_z
Rest,5092,5092,2.0,0.0021899829971952,-0.2556646386323343
Stim48hr,5424,5424,2.0,-0.0067008394366164,-0.2549141930856826
Stim8hr,5291,5291,2.0,0.0027404696740118,-0.2618118144771976
