fold,model,train_rows,test_rows,r2,mae,spearman_rho
1,global_mean,14226,1581,-0.003328298957109066,1.2790620427611818,
1,state_pool,14226,1581,-0.0034337156101758026,1.2784596346221686,0.028497592545510105
1,ridge,14226,1581,0.01695148824399062,1.2626363649331334,0.12618160912103774
1,sparse_nonlinear,14226,1581,0.08108084007610517,1.1970403903834241,0.24031529892465694
1,feature_graph,14226,1581,0.05852649141577426,1.208742960104439,0.22435863519045493
2,global_mean,14226,1581,-0.0008585395284059771,1.3601656847386994,
2,state_pool,14226,1581,-0.0005267717675119243,1.3601857072814674,0.020254739204088053
2,ridge,14226,1581,0.043747230352002564,1.3210918373044327,0.23342153665391002
2,sparse_nonlinear,14226,1581,0.09665760911073384,1.2657608279255996,0.2884657929951239
2,feature_graph,14226,1581,0.08320729984954611,1.2839696742719793,0.27310157646718997
3,global_mean,14226,1581,-0.00020616855329436135,1.3143001474368756,
3,state_pool,14226,1581,-0.0004585902926295127,1.3144239058681384,0.003013309572854369
3,ridge,14226,1581,0.010730448026331607,1.3092835636423843,0.12369704652504587
3,sparse_nonlinear,14226,1581,0.10478755740179824,1.2356797801876824,0.26299186744942993
3,feature_graph,14226,1581,0.06893549441179969,1.2718037132901168,0.22866317869176317
4,global_mean,14226,1581,-0.001837374969231531,1.3660940378454676,
4,state_pool,14226,1581,-0.002005409417324744,1.366088605181034,-0.014081283097079001
4,ridge,14226,1581,0.0359362717420072,1.3383402223984244,0.20900396037342814
4,sparse_nonlinear,14226,1581,0.10032879591101096,1.285368699834132,0.30150168285752266
4,feature_graph,14226,1581,0.07859847827338162,1.304537716757562,0.27032036519601793
5,global_mean,14226,1581,-2.1108070020758873e-06,1.3735120595170132,
5,state_pool,14226,1581,-8.201878891633818e-05,1.3735609894199654,0.00044656337584829934
5,ridge,14226,1581,0.021325909701956913,1.3550824912521873,0.1511373070090031
5,sparse_nonlinear,14226,1581,0.09484933862452682,1.2841488271582504,0.2676848545493381
5,feature_graph,14226,1581,0.04801121221501603,1.3009284968996113,0.22072212053029633
6,global_mean,14226,1581,-0.0014232121291155586,1.3882805547935946,
6,state_pool,14226,1581,-0.0011037914478615463,1.3883065067985727,0.008080232662340817
6,ridge,14226,1581,0.03289397906825586,1.3653888691104061,0.17923324202292915
6,sparse_nonlinear,14226,1581,0.08675579095374497,1.3066801612914256,0.25843135783905086
6,feature_graph,14226,1581,0.07436080381803323,1.3206026623176026,0.2397622623543673
7,global_mean,14226,1581,-0.0001180055447083106,1.318150943423665,
7,state_pool,14226,1581,-0.00013335079968590513,1.3183222422032925,-0.023350671445570872
7,ridge,14226,1581,0.009151159114996088,1.3075129623583963,0.1171592214245979
7,sparse_nonlinear,14226,1581,0.08052943938825852,1.2448768479551402,0.2120471427100395
7,feature_graph,14226,1581,0.04412070530076828,1.2682774711658051,0.18507240771813244
8,global_mean,14227,1580,-3.4150458928294825e-05,1.2822518266357519,
8,state_pool,14227,1580,0.00010268216578179779,1.281974225615612,0.00809657126131575
8,ridge,14227,1580,0.041359349127989775,1.2631540205506535,0.17623829357445597
8,sparse_nonlinear,14227,1580,0.10494530201758545,1.2161359306580903,0.21704632209058936
8,feature_graph,14227,1580,0.07525044215297216,1.2400957225589437,0.20000287407673847
9,global_mean,14227,1580,-0.0005771658419901904,1.3498474635997009,
9,state_pool,14227,1580,-0.00030137978702104995,1.3492467123247447,0.024600610529964234
9,ridge,14227,1580,0.026001078862357585,1.3349761162925917,0.17411483825549567
9,sparse_nonlinear,14227,1580,0.071834669873174,1.278783671768415,0.2507151114221595
9,feature_graph,14227,1580,0.04544336370654356,1.289571613947643,0.21844786348916398
10,global_mean,14227,1580,-0.00021702370136034155,1.2973227861838863,
10,state_pool,14227,1580,-0.00020385654204413406,1.2976329495393188,0.01528987162555232
10,ridge,14227,1580,-0.0029338050470135713,1.297312842650335,0.11552808025057802
10,sparse_nonlinear,14227,1580,0.043611219272486124,1.2475652774606114,0.2023082187776231
10,feature_graph,14227,1580,0.024710854810765626,1.2685328745572542,0.1872343202341579
