model,r2,mae,spearman_rho
sparse_nonlinear,0.0874017152135862,1.2562056943530533,0.2495901989332746
feature_graph,0.06109828355578517,1.2757081200715454,0.22470705784931794
ridge,0.0245359874179083,1.3154811548864336,0.1591725516851914
state_pool,-0.00011138117358400201,1.3328245514127406,-0.0014925673601061383
global_mean,-0.00016086932007208787,1.3329031371942264,-0.02040011479477679
