culture_condition,tests,minimum_q,median_q,corrected_significant
Rest,108,0.0761238365477091,0.9610938451787233,0
Stim48hr,138,0.0050585734284991,0.9570838152275956,0
Stim8hr,120,0.0245404487892762,0.9455157953122034,0
