condition,pairs,snps,mediators,direction_agreement,snp_cluster_ci_low,snp_cluster_ci_high,matched_null_median,matched_permutation_p,score_spearman_rho,matched_rho_null_median,matched_rho_permutation_p,matched_permutation_q,matched_rho_permutation_q
Rest,172,49,29,0.7151162790697675,0.6050901040857543,0.8272341577902148,0.5384615384615384,0.1018981018981019,0.4144931572477057,0.1074866310160428,0.1808191808191808,0.3056943056943057,0.327
Stim48hr,133,55,25,0.4436090225563909,0.3587522497362378,0.5360036144578313,0.4285714285714285,0.4875124875124875,-0.0509671860581332,-0.1355042016806722,0.3986013986013986,0.4875124875124875,0.3986013986013986
Stim8hr,143,61,27,0.5034965034965035,0.4105741813833701,0.6012732397151899,0.4166666666666667,0.2517482517482518,-0.0023457411304798,-0.2343308865047995,0.218,0.3776223776223776,0.327
