effect_median,direction_agreement,pairs,snps
0.007509522,0.19298245614035087,57,20
0.026767991,0.6,55,22
0.03618138,0.4827586206896552,58,17
0.049438357,0.6851851851851852,54,25
0.0676526,0.6964285714285714,56,29
0.09349653,0.6785714285714286,56,41
0.14066334,0.5423728813559322,59,37
0.33189267,0.6792452830188679,53,12
