quantile,null_r2
0.01,-0.15085622251731212
0.02,-0.14406021781255182
0.03,-0.1382742050692766
0.04,-0.13555606781013754
0.05,-0.13439819453338875
0.060000000000000005,-0.1326249480675937
0.06999999999999999,-0.13158368452561278
0.08,-0.12979329078031068
0.09,-0.1284127672190406
0.09999999999999999,-0.1267681100696934
0.11,-0.1255686608576232
0.12,-0.12416468651296893
0.13,-0.1230102098063949
0.14,-0.12189988119886802
0.15000000000000002,-0.12074352509435972
0.16,-0.11964894519178906
0.17,-0.11840713982322137
0.18000000000000002,-0.11782850299531981
0.19,-0.11693656659974895
0.2,-0.1159517781418459
0.21000000000000002,-0.11464932264273332
0.22,-0.11384609314867271
0.23,-0.11313147807298608
0.24000000000000002,-0.11236848243122705
0.25,-0.11174382024415075
0.26,-0.11114941351039816
0.27,-0.11041760612490968
0.28,-0.10984856949389449
0.29000000000000004,-0.10907040773245062
0.3,-0.10839632942085842
0.31,-0.10769058369472988
0.32,-0.10695858021709805
0.33,-0.1063098879320241
0.34,-0.10572111563065927
0.35000000000000003,-0.10489137337543294
0.36000000000000004,-0.10426995893967042
0.37,-0.10360286334391847
0.38,-0.10293889371850388
0.39,-0.10235075116210977
0.4,-0.10164598878479003
0.41000000000000003,-0.10119061471303128
0.42000000000000004,-0.10047800002072407
0.43,-0.10013827700409068
0.44,-0.09911157096621716
0.45,-0.09859935403956335
0.46,-0.09788180936494856
0.47000000000000003,-0.09740515867568024
0.48000000000000004,-0.09702745126692382
0.49,-0.09642847215703759
0.5,-0.09593384664967486
0.51,-0.09515081845533829
0.52,-0.09470540858807867
0.53,-0.09383432264223329
0.54,-0.0933362284513895
0.55,-0.09257815092523565
0.56,-0.09211862159812646
0.5700000000000001,-0.09136182107715768
0.5800000000000001,-0.09069811037643162
0.59,-0.09008272173703
0.6,-0.08949401950727479
0.61,-0.08889526990658367
0.62,-0.0883319853924558
0.63,-0.08754924514301216
0.64,-0.08700115801619158
0.65,-0.08613481824743002
0.66,-0.08549022470785
0.67,-0.08519508867836455
0.68,-0.08458861979916396
0.6900000000000001,-0.08392667993946001
0.7000000000000001,-0.08298425756193178
0.7100000000000001,-0.08224021043270086
0.72,-0.08167508946942528
0.73,-0.08061093604442236
0.74,-0.08000282818648634
0.75,-0.07949334526106222
0.76,-0.0785911429957911
0.77,-0.0778738541155634
0.78,-0.0768188772257057
0.79,-0.07593643672431681
0.8,-0.07500453463484859
0.81,-0.07446268730922578
0.8200000000000001,-0.07365356992388981
0.8300000000000001,-0.07203480614119745
0.8400000000000001,-0.07087678918119279
0.85,-0.06935164422523277
0.86,-0.06884732337354277
0.87,-0.06725500294859274
0.88,-0.06632032555386298
0.89,-0.06496411180897058
0.9,-0.06337771953309469
0.91,-0.06198929547782738
0.92,-0.0606808682896972
0.93,-0.05760245021730619
0.9400000000000001,-0.055227408234050424
0.9500000000000001,-0.053570897404333406
0.9600000000000001,-0.051840656527684374
0.97,-0.04709570092127643
0.98,-0.043115924119706564
0.99,-0.03854629726171913
