replicate,delta_r2,observed_delta
1,0.12352602268830548,0.0352320913883896
2,0.114751846744506,0.0352320913883896
3,0.0536189826732264,0.0352320913883896
4,0.04599958436640117,0.0352320913883896
5,0.11287509991524936,0.0352320913883896
6,0.07443014447691643,0.0352320913883896
7,0.06379101595007586,0.0352320913883896
8,0.0493068142006472,0.0352320913883896
9,0.12211529873168692,0.0352320913883896
10,0.04226834526767809,0.0352320913883896
11,0.1357317416034255,0.0352320913883896
12,0.07046715066599096,0.0352320913883896
13,0.10136663980806382,0.0352320913883896
14,0.12243635195035063,0.0352320913883896
15,0.08853804493990991,0.0352320913883896
16,0.08847344609939833,0.0352320913883896
17,0.05165491725899429,0.0352320913883896
18,0.06660250280758506,0.0352320913883896
19,0.11536547698275534,0.0352320913883896
20,0.018589625806214705,0.0352320913883896
21,0.10265115381112289,0.0352320913883896
22,0.05711225524720176,0.0352320913883896
23,0.10116809960641637,0.0352320913883896
24,0.055131480614803,0.0352320913883896
25,0.07639759964187653,0.0352320913883896
26,0.09480085389977688,0.0352320913883896
27,0.06878762806567595,0.0352320913883896
28,0.04786435985471327,0.0352320913883896
29,0.09837888429223329,0.0352320913883896
30,0.11092416305045416,0.0352320913883896
31,0.06466530855594355,0.0352320913883896
32,0.08251405409471069,0.0352320913883896
33,0.10474485641887188,0.0352320913883896
34,0.07399548863888317,0.0352320913883896
35,0.061532014190019524,0.0352320913883896
36,0.040839476085096194,0.0352320913883896
37,0.06437362953565962,0.0352320913883896
38,0.09873341552176573,0.0352320913883896
39,0.09256620397495452,0.0352320913883896
40,0.09061405227629149,0.0352320913883896
41,0.062138554524970635,0.0352320913883896
42,0.04809527190009322,0.0352320913883896
43,0.07679279209716217,0.0352320913883896
44,0.07316508418986478,0.0352320913883896
45,-0.03509568201535762,0.0352320913883896
46,0.06678523935019132,0.0352320913883896
47,0.049878830911296745,0.0352320913883896
48,0.08257075457651586,0.0352320913883896
49,0.07827646706357538,0.0352320913883896
50,0.11336819650076058,0.0352320913883896
51,-0.10791638564221118,0.0352320913883896
52,0.03675216180014085,0.0352320913883896
53,0.09412336145024991,0.0352320913883896
54,0.0862117524863859,0.0352320913883896
55,0.0708625665994087,0.0352320913883896
56,0.06260807223644815,0.0352320913883896
57,0.09816344356886508,0.0352320913883896
58,0.0755303557304211,0.0352320913883896
59,0.08867857702727411,0.0352320913883896
60,0.11201780405335282,0.0352320913883896
61,0.07489678043593018,0.0352320913883896
62,0.019708939557843475,0.0352320913883896
63,-0.07171144491711412,0.0352320913883896
64,0.06912811457799128,0.0352320913883896
