overall,overall_rho,Rest,Stim8hr,Stim48hr,Rest_rho,Stim8hr_rho,Stim48hr_rho,observed_agreement,observed_rho
0.5,-0.20993693055878418,0.36363636363636365,0.5454545454545454,0.5714285714285714,-0.41818181818181827,-0.09090909090909091,-0.2527472527472528,0.5669642857142857,0.15768917911426772
0.5333333333333333,-0.16642563235701224,0.7777777777777778,0.5454545454545454,0.3,0.19999999999999998,-0.23636363636363636,-0.5636363636363636,0.5669642857142857,0.15768917911426772
0.46153846153846156,-0.28073906239625324,0.36363636363636365,0.5333333333333333,0.46153846153846156,-0.7272727272727273,0.11785714285714284,-0.5659340659340659,0.5669642857142857,0.15768917911426772
0.55,0.13840018903208537,0.6,0.5625,0.5,0.38181818181818183,0.09999999999999999,0.14348925719589722,0.5669642857142857,0.15768917911426772
0.41379310344827586,-0.34306845698682364,0.4,0.3333333333333333,0.5,-0.4545454545454545,-0.6666666666666667,-0.34545454545454546,0.5669642857142857,0.15768917911426772
0.43243243243243246,-0.10313555823938075,0.47619047619047616,0.2,0.6666666666666666,0.0038961038961038965,-0.5272727272727272,-0.08571428571428573,0.5669642857142857,0.15768917911426772
0.2702702702702703,-0.21539920611604005,0.2631578947368421,0.2,0.375,-0.22807017543859648,-0.17575757575757575,-0.5476190476190477,0.5669642857142857,0.15768917911426772
0.4117647058823529,0.012683374231217027,0.25,0.38461538461538464,0.5384615384615384,0.19047619047619052,-0.39560439560439564,0.2692307692307692,0.5669642857142857,0.15768917911426772
0.40350877192982454,-0.1346967218691354,0.4375,0.5,0.23529411764705882,0.3058823529411765,-0.29478260869565215,-0.4558823529411765,0.5669642857142857,0.15768917911426772
0.4594594594594595,0.06887966853384327,0.5833333333333334,0.38461538461538464,0.4166666666666667,0.5244755244755246,-0.32967032967032966,-0.10489510489510491,0.5669642857142857,0.15768917911426772
