condition,rows,targets,median_observed_correlation,median_random_correlation,median_correlation_delta,response_degree_spearman_rho,high_confidence_shared,private_or_inverted
Rest,1880,1880,0.3030319288239651,0.0039606918774691,0.2965720362993484,0.4859455194153978,588,2
Stim48hr,1880,1880,0.3116998885088154,0.0038166226384016,0.3062367015117672,0.4882481035238211,591,0
Stim8hr,1880,1880,0.3147273016977544,0.0036537266056946,0.3115388282281242,0.4908203098619542,598,1
