heldout_state,estimate,ci_low,ci_high,p_lower_tail,p_upper_tail,selected_rows,eligible_targets,bootstrap_replicates,permutation_replicates,q_lower_tail,q_upper_tail,decision
Rest,-1.273422242106641,-1.3532335316518174,-1.179362184376598,0.0004997501249375312,1.0,440,4399,2000,2000,0.0004997501249375312,1.0,supported
Stim8hr,-1.36792153818613,-1.438404942798166,-1.2879856313207823,0.0004997501249375312,1.0,440,4399,2000,2000,0.0004997501249375312,1.0,supported
Stim48hr,-1.2029251289303726,-1.2982046371916336,-1.1002596478470503,0.0004997501249375312,1.0,440,4399,2000,2000,0.0004997501249375312,1.0,supported
Pooled,-1.2814229697410477,-1.3423740149248182,-1.2113090372244593,0.0004997501249375312,1.0,1320,4399,2000,2000,0.0004997501249375312,1.0,supported
