metric,estimate,ci_low,ci_high,targets,permutation_p,null_median,q_value,decision
spearman,0.9942250764824139,0.9932697049774841,0.9949691471305083,6105,,,,supported
buffered_rank_retention,0.8788870703764321,0.8529351593337826,0.9018003273322422,6105,0.000999000999000999,0.22585924713584288,0.000999000999000999,supported
amplified_rank_retention,0.8952536824877251,0.8741830065359477,0.9183006535947712,6105,0.000999000999000999,0.265139116202946,0.000999000999000999,supported
buffered_fixed_retention,0.3060556464811784,0.24345412308479672,0.36006546644844517,6105,,,,descriptive
amplified_fixed_retention,0.33060556464811786,0.26466503267973857,0.3850075701841367,6105,,,,descriptive
