series,bin_left,bin_right,density
Observed,-5.0,-4.833333333333333,0.0
Observed,-4.833333333333333,-4.666666666666667,0.0
Observed,-4.666666666666667,-4.5,0.0
Observed,-4.5,-4.333333333333333,0.0
Observed,-4.333333333333333,-4.166666666666667,0.0
Observed,-4.166666666666667,-4.0,0.0
Observed,-4.0,-3.8333333333333335,0.0
Observed,-3.8333333333333335,-3.666666666666667,0.0
Observed,-3.666666666666667,-3.5,0.0
Observed,-3.5,-3.3333333333333335,0.0
Observed,-3.3333333333333335,-3.166666666666667,0.0
Observed,-3.166666666666667,-3.0,0.0
Observed,-3.0,-2.8333333333333335,0.0
Observed,-2.8333333333333335,-2.666666666666667,0.0
Observed,-2.666666666666667,-2.5,0.0
Observed,-2.5,-2.3333333333333335,0.0
Observed,-2.3333333333333335,-2.166666666666667,0.0
Observed,-2.166666666666667,-2.0,0.0011387360030366274
Observed,-2.0,-1.8333333333333335,0.0037957866767887676
Observed,-1.8333333333333335,-1.666666666666667,0.00835073068893529
Observed,-1.666666666666667,-1.5,0.01897893338394379
Observed,-1.5,-1.3333333333333335,0.04630859745682297
Observed,-1.3333333333333335,-1.166666666666667,0.10210666160561785
Observed,-1.166666666666667,-1.0,0.2114253178971338
Observed,-1.0,-0.8333333333333339,0.46802049724805633
Observed,-0.8333333333333339,-0.666666666666667,0.6828620231542976
Observed,-0.666666666666667,-0.5,0.6953881191877005
Observed,-0.5,-0.3333333333333339,0.47295501992788175
Observed,-0.3333333333333339,-0.16666666666666696,0.6760296071360777
Observed,-0.16666666666666696,0.0,0.45055987853482554
Observed,0.0,0.16666666666666607,0.4027329664072894
Observed,0.16666666666666607,0.33333333333333304,0.28961852343898226
Observed,0.33333333333333304,0.5,0.21446194723856482
Observed,0.5,0.6666666666666661,0.1624596697665597
Observed,0.6666666666666661,0.833333333333333,0.13209337635224877
Observed,0.833333333333333,1.0,0.11880812298348813
Observed,1.0,1.166666666666666,0.09299677358132506
Observed,1.166666666666666,1.333333333333333,0.07705446953881179
Observed,1.333333333333333,1.5,0.07667489087113291
Observed,1.5,1.666666666666666,0.0770544695388122
Observed,1.666666666666666,1.833333333333333,0.06225090149933563
Observed,1.833333333333333,2.0,0.06149174416397788
Observed,2.0,2.166666666666666,0.05769595748718943
Observed,2.166666666666666,2.333333333333333,0.05617764281647362
Observed,2.333333333333333,2.5,0.04630859745682284
Observed,2.5,2.666666666666666,0.05010438413361187
Observed,2.666666666666666,2.833333333333333,0.04137407477699746
Observed,2.833333333333333,3.0,0.02998671474663119
Observed,3.0,3.166666666666666,0.03340292275574125
Observed,3.166666666666666,3.333333333333332,0.025811349402163692
Observed,3.333333333333332,3.5,0.026570506737521163
Observed,3.5,3.666666666666666,0.011387360030366335
Observed,3.666666666666666,3.833333333333332,0.007591573353577557
