target,state_availability,available_Rest,Rest_target_baseMean_bin,Rest_n_cells_target_bin,Rest_response_degree_bin,available_Stim8hr,Stim8hr_target_baseMean_bin,Stim8hr_n_cells_target_bin,Stim8hr_response_degree_bin,available_Stim48hr,Stim48hr_target_baseMean_bin,Stim48hr_n_cells_target_bin,Stim48hr_response_degree_bin,stratum_key,stratum_targets,permutable_stratum
ENSG00000173083,"Rest,Stim8hr,Stim48hr",True,low,high,low,True,low,high,high,True,low,high,low,"states=Rest,Stim8hr,Stim48hr|Rest:target_baseMean:low|Rest:n_cells_target:high|Rest:response_degree:low|Stim8hr:target_baseMean:low|Stim8hr:n_cells_target:high|Stim8hr:response_degree:high|Stim48hr:target_baseMean:low|Stim48hr:n_cells_target:high|Stim48hr:response_degree:low",53,True
ENSG00000173114,"Rest,Stim8hr,Stim48hr",True,high,high,low,True,high,high,low,True,high,high,low,"states=Rest,Stim8hr,Stim48hr|Rest:target_baseMean:high|Rest:n_cells_target:high|Rest:response_degree:low|Stim8hr:target_baseMean:high|Stim8hr:n_cells_target:high|Stim8hr:response_degree:low|Stim48hr:target_baseMean:high|Stim48hr:n_cells_target:high|Stim48hr:response_degree:low",325,True
ENSG00000173120,"Rest,Stim8hr,Stim48hr",True,high,high,high,True,high,high,high,True,high,low,high,"states=Rest,Stim8hr,Stim48hr|Rest:target_baseMean:high|Rest:n_cells_target:high|Rest:response_degree:high|Stim8hr:target_baseMean:high|Stim8hr:n_cells_target:high|Stim8hr:response_degree:high|Stim48hr:target_baseMean:high|Stim48hr:n_cells_target:low|Stim48hr:response_degree:high",21,True
ENSG00000173137,"Rest,Stim8hr,Stim48hr",True,low,high,low,True,low,high,low,True,low,high,low,"states=Rest,Stim8hr,Stim48hr|Rest:target_baseMean:low|Rest:n_cells_target:high|Rest:response_degree:low|Stim8hr:target_baseMean:low|Stim8hr:n_cells_target:high|Stim8hr:response_degree:low|Stim48hr:target_baseMean:low|Stim48hr:n_cells_target:high|Stim48hr:response_degree:low",394,True
ENSG00000173153,"Rest,Stim8hr,Stim48hr",True,low,high,low,True,high,high,high,True,low,high,high,"states=Rest,Stim8hr,Stim48hr|Rest:target_baseMean:low|Rest:n_cells_target:high|Rest:response_degree:low|Stim8hr:target_baseMean:high|Stim8hr:n_cells_target:high|Stim8hr:response_degree:high|Stim48hr:target_baseMean:low|Stim48hr:n_cells_target:high|Stim48hr:response_degree:high",7,True
ENSG00000173163,"Rest,Stim8hr,Stim48hr",True,high,low,high,True,high,low,high,True,high,low,high,"states=Rest,Stim8hr,Stim48hr|Rest:target_baseMean:high|Rest:n_cells_target:low|Rest:response_degree:high|Stim8hr:target_baseMean:high|Stim8hr:n_cells_target:low|Stim8hr:response_degree:high|Stim48hr:target_baseMean:high|Stim48hr:n_cells_target:low|Stim48hr:response_degree:high",259,True
ENSG00000173171,Stim8hr,False,NA,NA,NA,True,high,low,low,False,NA,NA,NA,states=Stim8hr|Stim8hr:target_baseMean:high|Stim8hr:n_cells_target:low|Stim8hr:response_degree:low,25,True
ENSG00000173193,"Rest,Stim8hr,Stim48hr",True,high,high,high,True,high,high,high,True,high,high,high,"states=Rest,Stim8hr,Stim48hr|Rest:target_baseMean:high|Rest:n_cells_target:high|Rest:response_degree:high|Stim8hr:target_baseMean:high|Stim8hr:n_cells_target:high|Stim8hr:response_degree:high|Stim48hr:target_baseMean:high|Stim48hr:n_cells_target:high|Stim48hr:response_degree:high",209,True
ENSG00000173198,"Rest,Stim8hr,Stim48hr",True,low,high,low,True,low,high,low,True,low,high,low,"states=Rest,Stim8hr,Stim48hr|Rest:target_baseMean:low|Rest:n_cells_target:high|Rest:response_degree:low|Stim8hr:target_baseMean:low|Stim8hr:n_cells_target:high|Stim8hr:response_degree:low|Stim48hr:target_baseMean:low|Stim48hr:n_cells_target:high|Stim48hr:response_degree:low",394,True
ENSG00000173200,"Rest,Stim8hr,Stim48hr",True,high,low,high,True,low,low,low,True,low,low,low,"states=Rest,Stim8hr,Stim48hr|Rest:target_baseMean:high|Rest:n_cells_target:low|Rest:response_degree:high|Stim8hr:target_baseMean:low|Stim8hr:n_cells_target:low|Stim8hr:response_degree:low|Stim48hr:target_baseMean:low|Stim48hr:n_cells_target:low|Stim48hr:response_degree:low",11,True
ENSG00000173208,Rest,True,high,low,high,False,NA,NA,NA,False,NA,NA,NA,states=Rest|Rest:target_baseMean:high|Rest:n_cells_target:low|Rest:response_degree:high,52,True
ENSG00000173214,"Rest,Stim8hr,Stim48hr",True,low,high,high,True,low,high,high,True,low,high,high,"states=Rest,Stim8hr,Stim48hr|Rest:target_baseMean:low|Rest:n_cells_target:high|Rest:response_degree:high|Stim8hr:target_baseMean:low|Stim8hr:n_cells_target:high|Stim8hr:response_degree:high|Stim48hr:target_baseMean:low|Stim48hr:n_cells_target:high|Stim48hr:response_degree:high",155,True
ENSG00000173218,"Rest,Stim8hr,Stim48hr",True,high,low,low,True,low,low,low,True,low,high,low,"states=Rest,Stim8hr,Stim48hr|Rest:target_baseMean:high|Rest:n_cells_target:low|Rest:response_degree:low|Stim8hr:target_baseMean:low|Stim8hr:n_cells_target:low|Stim8hr:response_degree:low|Stim48hr:target_baseMean:low|Stim48hr:n_cells_target:high|Stim48hr:response_degree:low",3,False
ENSG00000173221,"Rest,Stim8hr,Stim48hr",True,high,high,low,True,low,high,low,True,high,high,low,"states=Rest,Stim8hr,Stim48hr|Rest:target_baseMean:high|Rest:n_cells_target:high|Rest:response_degree:low|Stim8hr:target_baseMean:low|Stim8hr:n_cells_target:high|Stim8hr:response_degree:low|Stim48hr:target_baseMean:high|Stim48hr:n_cells_target:high|Stim48hr:response_degree:low",43,True
ENSG00000173230,"Rest,Stim8hr,Stim48hr",True,high,low,low,True,low,low,low,True,high,low,low,"states=Rest,Stim8hr,Stim48hr|Rest:target_baseMean:high|Rest:n_cells_target:low|Rest:response_degree:low|Stim8hr:target_baseMean:low|Stim8hr:n_cells_target:low|Stim8hr:response_degree:low|Stim48hr:target_baseMean:high|Stim48hr:n_cells_target:low|Stim48hr:response_degree:low",32,True
ENSG00000173258,"Rest,Stim48hr",True,low,high,low,False,NA,NA,NA,True,low,high,low,"states=Rest,Stim48hr|Rest:target_baseMean:low|Rest:n_cells_target:high|Rest:response_degree:low|Stim48hr:target_baseMean:low|Stim48hr:n_cells_target:high|Stim48hr:response_degree:low",33,True
ENSG00000173273,"Rest,Stim8hr,Stim48hr",True,low,low,low,True,low,low,low,True,low,low,low,"states=Rest,Stim8hr,Stim48hr|Rest:target_baseMean:low|Rest:n_cells_target:low|Rest:response_degree:low|Stim8hr:target_baseMean:low|Stim8hr:n_cells_target:low|Stim8hr:response_degree:low|Stim48hr:target_baseMean:low|Stim48hr:n_cells_target:low|Stim48hr:response_degree:low",212,True
ENSG00000173276,"Rest,Stim8hr,Stim48hr",True,low,high,high,True,high,high,high,True,high,high,high,"states=Rest,Stim8hr,Stim48hr|Rest:target_baseMean:low|Rest:n_cells_target:high|Rest:response_degree:high|Stim8hr:target_baseMean:high|Stim8hr:n_cells_target:high|Stim8hr:response_degree:high|Stim48hr:target_baseMean:high|Stim48hr:n_cells_target:high|Stim48hr:response_degree:high",16,True
ENSG00000173281,"Rest,Stim8hr,Stim48hr",True,low,high,high,True,low,high,high,True,low,high,high,"states=Rest,Stim8hr,Stim48hr|Rest:target_baseMean:low|Rest:n_cells_target:high|Rest:response_degree:high|Stim8hr:target_baseMean:low|Stim8hr:n_cells_target:high|Stim8hr:response_degree:high|Stim48hr:target_baseMean:low|Stim48hr:n_cells_target:high|Stim48hr:response_degree:high",155,True
ENSG00000173327,"Rest,Stim8hr,Stim48hr",True,low,low,low,True,high,low,high,True,low,low,low,"states=Rest,Stim8hr,Stim48hr|Rest:target_baseMean:low|Rest:n_cells_target:low|Rest:response_degree:low|Stim8hr:target_baseMean:high|Stim8hr:n_cells_target:low|Stim8hr:response_degree:high|Stim48hr:target_baseMean:low|Stim48hr:n_cells_target:low|Stim48hr:response_degree:low",11,True
