target,state_availability,available_Rest,Rest_target_baseMean_bin,Rest_n_cells_target_bin,Rest_response_degree_bin,available_Stim8hr,Stim8hr_target_baseMean_bin,Stim8hr_n_cells_target_bin,Stim8hr_response_degree_bin,available_Stim48hr,Stim48hr_target_baseMean_bin,Stim48hr_n_cells_target_bin,Stim48hr_response_degree_bin,stratum_key,stratum_targets,permutable_stratum
ENSG00000001036,"Rest,Stim8hr,Stim48hr",True,low,low,low,True,low,low,high,True,low,low,low,"states=Rest,Stim8hr,Stim48hr|Rest:target_baseMean:low|Rest:n_cells_target:low|Rest:response_degree:low|Stim8hr:target_baseMean:low|Stim8hr:n_cells_target:low|Stim8hr:response_degree:high|Stim48hr:target_baseMean:low|Stim48hr:n_cells_target:low|Stim48hr:response_degree:low",42,True
ENSG00000001561,"Rest,Stim8hr,Stim48hr",True,low,low,low,True,low,low,low,True,low,low,low,"states=Rest,Stim8hr,Stim48hr|Rest:target_baseMean:low|Rest:n_cells_target:low|Rest:response_degree:low|Stim8hr:target_baseMean:low|Stim8hr:n_cells_target:low|Stim8hr:response_degree:low|Stim48hr:target_baseMean:low|Stim48hr:n_cells_target:low|Stim48hr:response_degree:low",212,True
ENSG00000002016,"Stim8hr,Stim48hr",False,NA,NA,NA,True,low,low,low,True,low,low,low,"states=Stim8hr,Stim48hr|Stim8hr:target_baseMean:low|Stim8hr:n_cells_target:low|Stim8hr:response_degree:low|Stim48hr:target_baseMean:low|Stim48hr:n_cells_target:low|Stim48hr:response_degree:low",84,True
ENSG00000002549,"Rest,Stim8hr,Stim48hr",True,high,high,high,True,high,high,low,True,high,low,high,"states=Rest,Stim8hr,Stim48hr|Rest:target_baseMean:high|Rest:n_cells_target:high|Rest:response_degree:high|Stim8hr:target_baseMean:high|Stim8hr:n_cells_target:high|Stim8hr:response_degree:low|Stim48hr:target_baseMean:high|Stim48hr:n_cells_target:low|Stim48hr:response_degree:high",2,False
ENSG00000002586,"Rest,Stim8hr,Stim48hr",True,high,low,low,True,high,high,high,True,high,high,high,"states=Rest,Stim8hr,Stim48hr|Rest:target_baseMean:high|Rest:n_cells_target:low|Rest:response_degree:low|Stim8hr:target_baseMean:high|Stim8hr:n_cells_target:high|Stim8hr:response_degree:high|Stim48hr:target_baseMean:high|Stim48hr:n_cells_target:high|Stim48hr:response_degree:high",2,False
ENSG00000002834,"Rest,Stim8hr,Stim48hr",True,high,high,low,True,high,high,low,True,high,high,low,"states=Rest,Stim8hr,Stim48hr|Rest:target_baseMean:high|Rest:n_cells_target:high|Rest:response_degree:low|Stim8hr:target_baseMean:high|Stim8hr:n_cells_target:high|Stim8hr:response_degree:low|Stim48hr:target_baseMean:high|Stim48hr:n_cells_target:high|Stim48hr:response_degree:low",325,True
ENSG00000002919,"Rest,Stim8hr,Stim48hr",True,low,low,low,True,low,low,low,True,low,low,low,"states=Rest,Stim8hr,Stim48hr|Rest:target_baseMean:low|Rest:n_cells_target:low|Rest:response_degree:low|Stim8hr:target_baseMean:low|Stim8hr:n_cells_target:low|Stim8hr:response_degree:low|Stim48hr:target_baseMean:low|Stim48hr:n_cells_target:low|Stim48hr:response_degree:low",212,True
ENSG00000003056,"Rest,Stim8hr,Stim48hr",True,high,high,low,True,high,high,low,True,high,high,low,"states=Rest,Stim8hr,Stim48hr|Rest:target_baseMean:high|Rest:n_cells_target:high|Rest:response_degree:low|Stim8hr:target_baseMean:high|Stim8hr:n_cells_target:high|Stim8hr:response_degree:low|Stim48hr:target_baseMean:high|Stim48hr:n_cells_target:high|Stim48hr:response_degree:low",325,True
ENSG00000003393,"Rest,Stim8hr,Stim48hr",True,low,low,high,True,low,low,high,True,low,low,low,"states=Rest,Stim8hr,Stim48hr|Rest:target_baseMean:low|Rest:n_cells_target:low|Rest:response_degree:high|Stim8hr:target_baseMean:low|Stim8hr:n_cells_target:low|Stim8hr:response_degree:high|Stim48hr:target_baseMean:low|Stim48hr:n_cells_target:low|Stim48hr:response_degree:low",29,True
ENSG00000003400,"Rest,Stim8hr,Stim48hr",True,high,low,low,True,low,low,low,True,low,low,low,"states=Rest,Stim8hr,Stim48hr|Rest:target_baseMean:high|Rest:n_cells_target:low|Rest:response_degree:low|Stim8hr:target_baseMean:low|Stim8hr:n_cells_target:low|Stim8hr:response_degree:low|Stim48hr:target_baseMean:low|Stim48hr:n_cells_target:low|Stim48hr:response_degree:low",24,True
ENSG00000003756,"Rest,Stim8hr,Stim48hr",True,high,high,high,True,high,low,high,True,high,low,high,"states=Rest,Stim8hr,Stim48hr|Rest:target_baseMean:high|Rest:n_cells_target:high|Rest:response_degree:high|Stim8hr:target_baseMean:high|Stim8hr:n_cells_target:low|Stim8hr:response_degree:high|Stim48hr:target_baseMean:high|Stim48hr:n_cells_target:low|Stim48hr:response_degree:high",11,True
ENSG00000004468,"Rest,Stim8hr,Stim48hr",True,low,high,high,True,high,high,high,True,high,high,high,"states=Rest,Stim8hr,Stim48hr|Rest:target_baseMean:low|Rest:n_cells_target:high|Rest:response_degree:high|Stim8hr:target_baseMean:high|Stim8hr:n_cells_target:high|Stim8hr:response_degree:high|Stim48hr:target_baseMean:high|Stim48hr:n_cells_target:high|Stim48hr:response_degree:high",16,True
ENSG00000004487,"Rest,Stim8hr,Stim48hr",True,high,low,high,True,high,low,high,True,high,low,high,"states=Rest,Stim8hr,Stim48hr|Rest:target_baseMean:high|Rest:n_cells_target:low|Rest:response_degree:high|Stim8hr:target_baseMean:high|Stim8hr:n_cells_target:low|Stim8hr:response_degree:high|Stim48hr:target_baseMean:high|Stim48hr:n_cells_target:low|Stim48hr:response_degree:high",259,True
ENSG00000004534,"Rest,Stim8hr,Stim48hr",True,high,low,low,True,high,low,high,True,high,low,high,"states=Rest,Stim8hr,Stim48hr|Rest:target_baseMean:high|Rest:n_cells_target:low|Rest:response_degree:low|Stim8hr:target_baseMean:high|Stim8hr:n_cells_target:low|Stim8hr:response_degree:high|Stim48hr:target_baseMean:high|Stim48hr:n_cells_target:low|Stim48hr:response_degree:high",55,True
ENSG00000004766,"Rest,Stim8hr,Stim48hr",True,low,low,high,True,low,low,high,True,low,low,low,"states=Rest,Stim8hr,Stim48hr|Rest:target_baseMean:low|Rest:n_cells_target:low|Rest:response_degree:high|Stim8hr:target_baseMean:low|Stim8hr:n_cells_target:low|Stim8hr:response_degree:high|Stim48hr:target_baseMean:low|Stim48hr:n_cells_target:low|Stim48hr:response_degree:low",29,True
ENSG00000004777,"Rest,Stim48hr",True,low,high,high,False,NA,NA,NA,True,low,high,low,"states=Rest,Stim48hr|Rest:target_baseMean:low|Rest:n_cells_target:high|Rest:response_degree:high|Stim48hr:target_baseMean:low|Stim48hr:n_cells_target:high|Stim48hr:response_degree:low",10,True
ENSG00000004864,"Rest,Stim8hr,Stim48hr",True,low,low,low,True,low,low,high,True,low,low,high,"states=Rest,Stim8hr,Stim48hr|Rest:target_baseMean:low|Rest:n_cells_target:low|Rest:response_degree:low|Stim8hr:target_baseMean:low|Stim8hr:n_cells_target:low|Stim8hr:response_degree:high|Stim48hr:target_baseMean:low|Stim48hr:n_cells_target:low|Stim48hr:response_degree:high",37,True
ENSG00000004866,"Rest,Stim8hr,Stim48hr",True,low,high,low,True,low,high,low,True,low,high,low,"states=Rest,Stim8hr,Stim48hr|Rest:target_baseMean:low|Rest:n_cells_target:high|Rest:response_degree:low|Stim8hr:target_baseMean:low|Stim8hr:n_cells_target:high|Stim8hr:response_degree:low|Stim48hr:target_baseMean:low|Stim48hr:n_cells_target:high|Stim48hr:response_degree:low",394,True
ENSG00000004961,"Rest,Stim8hr",True,low,low,high,True,high,low,high,False,NA,NA,NA,"states=Rest,Stim8hr|Rest:target_baseMean:low|Rest:n_cells_target:low|Rest:response_degree:high|Stim8hr:target_baseMean:high|Stim8hr:n_cells_target:low|Stim8hr:response_degree:high",13,True
ENSG00000004975,"Rest,Stim8hr,Stim48hr",True,low,high,low,True,low,low,low,True,low,low,low,"states=Rest,Stim8hr,Stim48hr|Rest:target_baseMean:low|Rest:n_cells_target:high|Rest:response_degree:low|Stim8hr:target_baseMean:low|Stim8hr:n_cells_target:low|Stim8hr:response_degree:low|Stim48hr:target_baseMean:low|Stim48hr:n_cells_target:low|Stim48hr:response_degree:low",7,True
ENSG00000005020,Stim48hr,False,NA,NA,NA,False,NA,NA,NA,True,low,low,high,states=Stim48hr|Stim48hr:target_baseMean:low|Stim48hr:n_cells_target:low|Stim48hr:response_degree:high,71,True
ENSG00000005022,"Rest,Stim8hr,Stim48hr",True,high,low,low,True,high,high,low,True,high,high,low,"states=Rest,Stim8hr,Stim48hr|Rest:target_baseMean:high|Rest:n_cells_target:low|Rest:response_degree:low|Stim8hr:target_baseMean:high|Stim8hr:n_cells_target:high|Stim8hr:response_degree:low|Stim48hr:target_baseMean:high|Stim48hr:n_cells_target:high|Stim48hr:response_degree:low",21,True
ENSG00000005059,"Rest,Stim8hr,Stim48hr",True,high,low,high,True,low,low,low,True,high,low,high,"states=Rest,Stim8hr,Stim48hr|Rest:target_baseMean:high|Rest:n_cells_target:low|Rest:response_degree:high|Stim8hr:target_baseMean:low|Stim8hr:n_cells_target:low|Stim8hr:response_degree:low|Stim48hr:target_baseMean:high|Stim48hr:n_cells_target:low|Stim48hr:response_degree:high",6,True
ENSG00000005156,"Rest,Stim8hr,Stim48hr",True,low,low,low,True,low,low,low,True,low,low,high,"states=Rest,Stim8hr,Stim48hr|Rest:target_baseMean:low|Rest:n_cells_target:low|Rest:response_degree:low|Stim8hr:target_baseMean:low|Stim8hr:n_cells_target:low|Stim8hr:response_degree:low|Stim48hr:target_baseMean:low|Stim48hr:n_cells_target:low|Stim48hr:response_degree:high",56,True
ENSG00000005187,Stim48hr,False,NA,NA,NA,False,NA,NA,NA,True,low,high,low,states=Stim48hr|Stim48hr:target_baseMean:low|Stim48hr:n_cells_target:high|Stim48hr:response_degree:low,81,True
ENSG00000005238,"Rest,Stim48hr",True,low,low,low,False,NA,NA,NA,True,low,low,low,"states=Rest,Stim48hr|Rest:target_baseMean:low|Rest:n_cells_target:low|Rest:response_degree:low|Stim48hr:target_baseMean:low|Stim48hr:n_cells_target:low|Stim48hr:response_degree:low",38,True
ENSG00000005339,"Rest,Stim8hr,Stim48hr",True,high,high,high,True,high,high,high,True,high,high,high,"states=Rest,Stim8hr,Stim48hr|Rest:target_baseMean:high|Rest:n_cells_target:high|Rest:response_degree:high|Stim8hr:target_baseMean:high|Stim8hr:n_cells_target:high|Stim8hr:response_degree:high|Stim48hr:target_baseMean:high|Stim48hr:n_cells_target:high|Stim48hr:response_degree:high",209,True
ENSG00000005379,Rest,True,low,low,low,False,NA,NA,NA,False,NA,NA,NA,states=Rest|Rest:target_baseMean:low|Rest:n_cells_target:low|Rest:response_degree:low,34,True
ENSG00000005436,"Rest,Stim8hr,Stim48hr",True,low,low,low,True,high,high,low,True,low,high,high,"states=Rest,Stim8hr,Stim48hr|Rest:target_baseMean:low|Rest:n_cells_target:low|Rest:response_degree:low|Stim8hr:target_baseMean:high|Stim8hr:n_cells_target:high|Stim8hr:response_degree:low|Stim48hr:target_baseMean:low|Stim48hr:n_cells_target:high|Stim48hr:response_degree:high",1,False
ENSG00000005448,"Rest,Stim8hr,Stim48hr",True,low,high,high,True,low,high,high,True,high,high,high,"states=Rest,Stim8hr,Stim48hr|Rest:target_baseMean:low|Rest:n_cells_target:high|Rest:response_degree:high|Stim8hr:target_baseMean:low|Stim8hr:n_cells_target:high|Stim8hr:response_degree:high|Stim48hr:target_baseMean:high|Stim48hr:n_cells_target:high|Stim48hr:response_degree:high",11,True
ENSG00000005469,"Rest,Stim8hr,Stim48hr",True,low,low,high,True,low,low,high,True,low,low,high,"states=Rest,Stim8hr,Stim48hr|Rest:target_baseMean:low|Rest:n_cells_target:low|Rest:response_degree:high|Stim8hr:target_baseMean:low|Stim8hr:n_cells_target:low|Stim8hr:response_degree:high|Stim48hr:target_baseMean:low|Stim48hr:n_cells_target:low|Stim48hr:response_degree:high",119,True
ENSG00000005483,"Rest,Stim8hr,Stim48hr",True,high,low,high,True,high,low,high,True,high,low,high,"states=Rest,Stim8hr,Stim48hr|Rest:target_baseMean:high|Rest:n_cells_target:low|Rest:response_degree:high|Stim8hr:target_baseMean:high|Stim8hr:n_cells_target:low|Stim8hr:response_degree:high|Stim48hr:target_baseMean:high|Stim48hr:n_cells_target:low|Stim48hr:response_degree:high",259,True
ENSG00000005486,"Rest,Stim8hr,Stim48hr",True,low,low,low,True,low,high,low,True,low,high,low,"states=Rest,Stim8hr,Stim48hr|Rest:target_baseMean:low|Rest:n_cells_target:low|Rest:response_degree:low|Stim8hr:target_baseMean:low|Stim8hr:n_cells_target:high|Stim8hr:response_degree:low|Stim48hr:target_baseMean:low|Stim48hr:n_cells_target:high|Stim48hr:response_degree:low",20,True
ENSG00000005700,"Rest,Stim8hr,Stim48hr",True,high,low,low,True,high,low,low,True,high,high,low,"states=Rest,Stim8hr,Stim48hr|Rest:target_baseMean:high|Rest:n_cells_target:low|Rest:response_degree:low|Stim8hr:target_baseMean:high|Stim8hr:n_cells_target:low|Stim8hr:response_degree:low|Stim48hr:target_baseMean:high|Stim48hr:n_cells_target:high|Stim48hr:response_degree:low",24,True
ENSG00000005810,Stim48hr,False,NA,NA,NA,False,NA,NA,NA,True,low,low,low,states=Stim48hr|Stim48hr:target_baseMean:low|Stim48hr:n_cells_target:low|Stim48hr:response_degree:low,71,True
ENSG00000005812,"Rest,Stim8hr,Stim48hr",True,high,low,high,True,high,low,high,True,high,low,high,"states=Rest,Stim8hr,Stim48hr|Rest:target_baseMean:high|Rest:n_cells_target:low|Rest:response_degree:high|Stim8hr:target_baseMean:high|Stim8hr:n_cells_target:low|Stim8hr:response_degree:high|Stim48hr:target_baseMean:high|Stim48hr:n_cells_target:low|Stim48hr:response_degree:high",259,True
ENSG00000005844,"Rest,Stim8hr,Stim48hr",True,high,high,high,True,high,high,high,True,high,high,high,"states=Rest,Stim8hr,Stim48hr|Rest:target_baseMean:high|Rest:n_cells_target:high|Rest:response_degree:high|Stim8hr:target_baseMean:high|Stim8hr:n_cells_target:high|Stim8hr:response_degree:high|Stim48hr:target_baseMean:high|Stim48hr:n_cells_target:high|Stim48hr:response_degree:high",209,True
ENSG00000005882,"Rest,Stim8hr,Stim48hr",True,low,low,low,True,low,low,low,True,low,low,low,"states=Rest,Stim8hr,Stim48hr|Rest:target_baseMean:low|Rest:n_cells_target:low|Rest:response_degree:low|Stim8hr:target_baseMean:low|Stim8hr:n_cells_target:low|Stim8hr:response_degree:low|Stim48hr:target_baseMean:low|Stim48hr:n_cells_target:low|Stim48hr:response_degree:low",212,True
ENSG00000005884,"Rest,Stim8hr,Stim48hr",True,low,high,high,True,low,high,high,True,low,high,low,"states=Rest,Stim8hr,Stim48hr|Rest:target_baseMean:low|Rest:n_cells_target:high|Rest:response_degree:high|Stim8hr:target_baseMean:low|Stim8hr:n_cells_target:high|Stim8hr:response_degree:high|Stim48hr:target_baseMean:low|Stim48hr:n_cells_target:high|Stim48hr:response_degree:low",36,True
ENSG00000005893,"Rest,Stim8hr,Stim48hr",True,high,high,low,True,high,high,low,True,high,high,low,"states=Rest,Stim8hr,Stim48hr|Rest:target_baseMean:high|Rest:n_cells_target:high|Rest:response_degree:low|Stim8hr:target_baseMean:high|Stim8hr:n_cells_target:high|Stim8hr:response_degree:low|Stim48hr:target_baseMean:high|Stim48hr:n_cells_target:high|Stim48hr:response_degree:low",325,True
ENSG00000006007,"Rest,Stim8hr,Stim48hr",True,high,low,low,True,high,low,high,True,high,low,low,"states=Rest,Stim8hr,Stim48hr|Rest:target_baseMean:high|Rest:n_cells_target:low|Rest:response_degree:low|Stim8hr:target_baseMean:high|Stim8hr:n_cells_target:low|Stim8hr:response_degree:high|Stim48hr:target_baseMean:high|Stim48hr:n_cells_target:low|Stim48hr:response_degree:low",43,True
ENSG00000006125,"Rest,Stim8hr,Stim48hr",True,high,low,high,True,high,low,high,True,high,low,high,"states=Rest,Stim8hr,Stim48hr|Rest:target_baseMean:high|Rest:n_cells_target:low|Rest:response_degree:high|Stim8hr:target_baseMean:high|Stim8hr:n_cells_target:low|Stim8hr:response_degree:high|Stim48hr:target_baseMean:high|Stim48hr:n_cells_target:low|Stim48hr:response_degree:high",259,True
ENSG00000006194,"Stim8hr,Stim48hr",False,NA,NA,NA,True,low,low,low,True,low,low,high,"states=Stim8hr,Stim48hr|Stim8hr:target_baseMean:low|Stim8hr:n_cells_target:low|Stim8hr:response_degree:low|Stim48hr:target_baseMean:low|Stim48hr:n_cells_target:low|Stim48hr:response_degree:high",25,True
ENSG00000006282,"Stim8hr,Stim48hr",False,NA,NA,NA,True,low,low,high,True,low,low,high,"states=Stim8hr,Stim48hr|Stim8hr:target_baseMean:low|Stim8hr:n_cells_target:low|Stim8hr:response_degree:high|Stim48hr:target_baseMean:low|Stim48hr:n_cells_target:low|Stim48hr:response_degree:high",37,True
ENSG00000006432,"Rest,Stim8hr,Stim48hr",True,low,high,low,True,low,high,low,True,low,high,low,"states=Rest,Stim8hr,Stim48hr|Rest:target_baseMean:low|Rest:n_cells_target:high|Rest:response_degree:low|Stim8hr:target_baseMean:low|Stim8hr:n_cells_target:high|Stim8hr:response_degree:low|Stim48hr:target_baseMean:low|Stim48hr:n_cells_target:high|Stim48hr:response_degree:low",394,True
ENSG00000006459,"Rest,Stim8hr,Stim48hr",True,low,high,low,True,low,high,low,True,high,high,low,"states=Rest,Stim8hr,Stim48hr|Rest:target_baseMean:low|Rest:n_cells_target:high|Rest:response_degree:low|Stim8hr:target_baseMean:low|Stim8hr:n_cells_target:high|Stim8hr:response_degree:low|Stim48hr:target_baseMean:high|Stim48hr:n_cells_target:high|Stim48hr:response_degree:low",33,True
ENSG00000006530,"Rest,Stim8hr,Stim48hr",True,low,low,high,True,high,low,high,True,high,low,high,"states=Rest,Stim8hr,Stim48hr|Rest:target_baseMean:low|Rest:n_cells_target:low|Rest:response_degree:high|Stim8hr:target_baseMean:high|Stim8hr:n_cells_target:low|Stim8hr:response_degree:high|Stim48hr:target_baseMean:high|Stim48hr:n_cells_target:low|Stim48hr:response_degree:high",33,True
ENSG00000006555,Rest,True,low,low,low,False,NA,NA,NA,False,NA,NA,NA,states=Rest|Rest:target_baseMean:low|Rest:n_cells_target:low|Rest:response_degree:low,34,True
ENSG00000006607,"Rest,Stim8hr,Stim48hr",True,low,high,low,True,low,high,low,True,low,high,low,"states=Rest,Stim8hr,Stim48hr|Rest:target_baseMean:low|Rest:n_cells_target:high|Rest:response_degree:low|Stim8hr:target_baseMean:low|Stim8hr:n_cells_target:high|Stim8hr:response_degree:low|Stim48hr:target_baseMean:low|Stim48hr:n_cells_target:high|Stim48hr:response_degree:low",394,True
ENSG00000006625,"Rest,Stim8hr,Stim48hr",True,high,low,low,True,high,low,low,True,high,low,low,"states=Rest,Stim8hr,Stim48hr|Rest:target_baseMean:high|Rest:n_cells_target:low|Rest:response_degree:low|Stim8hr:target_baseMean:high|Stim8hr:n_cells_target:low|Stim8hr:response_degree:low|Stim48hr:target_baseMean:high|Stim48hr:n_cells_target:low|Stim48hr:response_degree:low",226,True
ENSG00000006638,Rest,True,low,low,high,False,NA,NA,NA,False,NA,NA,NA,states=Rest|Rest:target_baseMean:low|Rest:n_cells_target:low|Rest:response_degree:high,58,True
ENSG00000006652,"Rest,Stim8hr,Stim48hr",True,low,high,low,True,high,high,low,True,high,high,low,"states=Rest,Stim8hr,Stim48hr|Rest:target_baseMean:low|Rest:n_cells_target:high|Rest:response_degree:low|Stim8hr:target_baseMean:high|Stim8hr:n_cells_target:high|Stim8hr:response_degree:low|Stim48hr:target_baseMean:high|Stim48hr:n_cells_target:high|Stim48hr:response_degree:low",49,True
ENSG00000006757,"Rest,Stim8hr,Stim48hr",True,low,high,low,True,low,high,low,True,low,low,high,"states=Rest,Stim8hr,Stim48hr|Rest:target_baseMean:low|Rest:n_cells_target:high|Rest:response_degree:low|Stim8hr:target_baseMean:low|Stim8hr:n_cells_target:high|Stim8hr:response_degree:low|Stim48hr:target_baseMean:low|Stim48hr:n_cells_target:low|Stim48hr:response_degree:high",7,True
ENSG00000007080,"Rest,Stim8hr,Stim48hr",True,high,high,high,True,high,high,high,True,high,high,low,"states=Rest,Stim8hr,Stim48hr|Rest:target_baseMean:high|Rest:n_cells_target:high|Rest:response_degree:high|Stim8hr:target_baseMean:high|Stim8hr:n_cells_target:high|Stim8hr:response_degree:high|Stim48hr:target_baseMean:high|Stim48hr:n_cells_target:high|Stim48hr:response_degree:low",35,True
ENSG00000007129,"Rest,Stim8hr,Stim48hr",True,low,low,low,True,low,low,low,True,low,low,high,"states=Rest,Stim8hr,Stim48hr|Rest:target_baseMean:low|Rest:n_cells_target:low|Rest:response_degree:low|Stim8hr:target_baseMean:low|Stim8hr:n_cells_target:low|Stim8hr:response_degree:low|Stim48hr:target_baseMean:low|Stim48hr:n_cells_target:low|Stim48hr:response_degree:high",56,True
ENSG00000007255,"Stim8hr,Stim48hr",False,NA,NA,NA,True,low,high,low,True,low,high,low,"states=Stim8hr,Stim48hr|Stim8hr:target_baseMean:low|Stim8hr:n_cells_target:high|Stim8hr:response_degree:low|Stim48hr:target_baseMean:low|Stim48hr:n_cells_target:high|Stim48hr:response_degree:low",45,True
ENSG00000007264,"Stim8hr,Stim48hr",False,NA,NA,NA,True,low,low,high,True,low,high,high,"states=Stim8hr,Stim48hr|Stim8hr:target_baseMean:low|Stim8hr:n_cells_target:low|Stim8hr:response_degree:high|Stim48hr:target_baseMean:low|Stim48hr:n_cells_target:high|Stim48hr:response_degree:high",1,False
ENSG00000007312,"Rest,Stim8hr,Stim48hr",True,high,high,low,True,low,high,low,True,high,high,high,"states=Rest,Stim8hr,Stim48hr|Rest:target_baseMean:high|Rest:n_cells_target:high|Rest:response_degree:low|Stim8hr:target_baseMean:low|Stim8hr:n_cells_target:high|Stim8hr:response_degree:low|Stim48hr:target_baseMean:high|Stim48hr:n_cells_target:high|Stim48hr:response_degree:high",6,True
ENSG00000007392,"Rest,Stim8hr,Stim48hr",True,high,high,low,True,high,high,low,True,high,high,low,"states=Rest,Stim8hr,Stim48hr|Rest:target_baseMean:high|Rest:n_cells_target:high|Rest:response_degree:low|Stim8hr:target_baseMean:high|Stim8hr:n_cells_target:high|Stim8hr:response_degree:low|Stim48hr:target_baseMean:high|Stim48hr:n_cells_target:high|Stim48hr:response_degree:low",325,True
ENSG00000007520,Stim48hr,False,NA,NA,NA,False,NA,NA,NA,True,high,low,low,states=Stim48hr|Stim48hr:target_baseMean:high|Stim48hr:n_cells_target:low|Stim48hr:response_degree:low,41,True
ENSG00000007541,"Rest,Stim8hr,Stim48hr",True,low,high,low,True,low,high,low,True,low,high,low,"states=Rest,Stim8hr,Stim48hr|Rest:target_baseMean:low|Rest:n_cells_target:high|Rest:response_degree:low|Stim8hr:target_baseMean:low|Stim8hr:n_cells_target:high|Stim8hr:response_degree:low|Stim48hr:target_baseMean:low|Stim48hr:n_cells_target:high|Stim48hr:response_degree:low",394,True
ENSG00000007944,"Rest,Stim8hr,Stim48hr",True,low,low,high,True,low,low,high,True,low,low,high,"states=Rest,Stim8hr,Stim48hr|Rest:target_baseMean:low|Rest:n_cells_target:low|Rest:response_degree:high|Stim8hr:target_baseMean:low|Stim8hr:n_cells_target:low|Stim8hr:response_degree:high|Stim48hr:target_baseMean:low|Stim48hr:n_cells_target:low|Stim48hr:response_degree:high",119,True
ENSG00000008128,Stim8hr,False,NA,NA,NA,True,low,low,low,False,NA,NA,NA,states=Stim8hr|Stim8hr:target_baseMean:low|Stim8hr:n_cells_target:low|Stim8hr:response_degree:low,46,True
ENSG00000008256,"Rest,Stim8hr",True,low,low,high,True,low,low,high,False,NA,NA,NA,"states=Rest,Stim8hr|Rest:target_baseMean:low|Rest:n_cells_target:low|Rest:response_degree:high|Stim8hr:target_baseMean:low|Stim8hr:n_cells_target:low|Stim8hr:response_degree:high",28,True
ENSG00000008282,"Rest,Stim8hr,Stim48hr",True,low,high,low,True,low,high,high,True,low,high,low,"states=Rest,Stim8hr,Stim48hr|Rest:target_baseMean:low|Rest:n_cells_target:high|Rest:response_degree:low|Stim8hr:target_baseMean:low|Stim8hr:n_cells_target:high|Stim8hr:response_degree:high|Stim48hr:target_baseMean:low|Stim48hr:n_cells_target:high|Stim48hr:response_degree:low",53,True
ENSG00000008283,Rest,True,low,low,low,False,NA,NA,NA,False,NA,NA,NA,states=Rest|Rest:target_baseMean:low|Rest:n_cells_target:low|Rest:response_degree:low,34,True
ENSG00000008294,"Rest,Stim8hr,Stim48hr",True,high,high,low,True,high,high,high,True,high,high,high,"states=Rest,Stim8hr,Stim48hr|Rest:target_baseMean:high|Rest:n_cells_target:high|Rest:response_degree:low|Stim8hr:target_baseMean:high|Stim8hr:n_cells_target:high|Stim8hr:response_degree:high|Stim48hr:target_baseMean:high|Stim48hr:n_cells_target:high|Stim48hr:response_degree:high",43,True
ENSG00000008311,Stim48hr,False,NA,NA,NA,False,NA,NA,NA,True,low,low,high,states=Stim48hr|Stim48hr:target_baseMean:low|Stim48hr:n_cells_target:low|Stim48hr:response_degree:high,71,True
ENSG00000008324,"Rest,Stim8hr,Stim48hr",True,low,low,high,True,low,low,high,True,high,low,high,"states=Rest,Stim8hr,Stim48hr|Rest:target_baseMean:low|Rest:n_cells_target:low|Rest:response_degree:high|Stim8hr:target_baseMean:low|Stim8hr:n_cells_target:low|Stim8hr:response_degree:high|Stim48hr:target_baseMean:high|Stim48hr:n_cells_target:low|Stim48hr:response_degree:high",17,True
ENSG00000008405,"Rest,Stim8hr,Stim48hr",True,low,high,high,True,low,high,high,True,low,high,high,"states=Rest,Stim8hr,Stim48hr|Rest:target_baseMean:low|Rest:n_cells_target:high|Rest:response_degree:high|Stim8hr:target_baseMean:low|Stim8hr:n_cells_target:high|Stim8hr:response_degree:high|Stim48hr:target_baseMean:low|Stim48hr:n_cells_target:high|Stim48hr:response_degree:high",155,True
ENSG00000008441,Stim8hr,False,NA,NA,NA,True,low,low,high,False,NA,NA,NA,states=Stim8hr|Stim8hr:target_baseMean:low|Stim8hr:n_cells_target:low|Stim8hr:response_degree:high,32,True
ENSG00000008513,Stim8hr,False,NA,NA,NA,True,high,low,high,False,NA,NA,NA,states=Stim8hr|Stim8hr:target_baseMean:high|Stim8hr:n_cells_target:low|Stim8hr:response_degree:high,28,True
ENSG00000008517,"Rest,Stim8hr,Stim48hr",True,high,high,low,True,high,high,low,True,high,high,low,"states=Rest,Stim8hr,Stim48hr|Rest:target_baseMean:high|Rest:n_cells_target:high|Rest:response_degree:low|Stim8hr:target_baseMean:high|Stim8hr:n_cells_target:high|Stim8hr:response_degree:low|Stim48hr:target_baseMean:high|Stim48hr:n_cells_target:high|Stim48hr:response_degree:low",325,True
ENSG00000008710,"Rest,Stim8hr,Stim48hr",True,low,high,low,True,low,high,low,True,low,high,low,"states=Rest,Stim8hr,Stim48hr|Rest:target_baseMean:low|Rest:n_cells_target:high|Rest:response_degree:low|Stim8hr:target_baseMean:low|Stim8hr:n_cells_target:high|Stim8hr:response_degree:low|Stim48hr:target_baseMean:low|Stim48hr:n_cells_target:high|Stim48hr:response_degree:low",394,True
ENSG00000008838,Rest,True,high,high,high,False,NA,NA,NA,False,NA,NA,NA,states=Rest|Rest:target_baseMean:high|Rest:n_cells_target:high|Rest:response_degree:high,7,True
