response_row,target_gene,culture_condition,response_edges,matched_response_genes,unmatched_response_genes,matched_fraction
3934,E2F6,Stim8hr,7,6,1,0.8571428571428571
3935,E2F7,Rest,5,2,3,0.4
3936,E2F7,Stim48hr,1,0,1,0.0
3938,E2F8,Rest,1,0,1,0.0
3939,E2F8,Stim8hr,3,1,2,0.3333333333333333
3940,EAF1,Rest,2,2,0,1.0
3941,EAF1,Stim48hr,6,4,2,0.6666666666666666
3942,EAF1,Stim8hr,1,1,0,1.0
4024,EGR1,Stim48hr,2,1,1,0.5
4025,EGR1,Stim8hr,6,5,1,0.8333333333333334
4026,EGR2,Stim48hr,253,151,102,0.5968379446640316
4027,EGR2,Stim8hr,854,535,319,0.6264637002341921
4028,EGR3,Stim48hr,1,0,1,0.0
4029,EGR3,Stim8hr,101,61,40,0.6039603960396039
4042,EHMT2,Rest,1428,789,639,0.5525210084033614
4043,EHMT2,Stim48hr,1006,604,402,0.6003976143141153
4044,EHMT2,Stim8hr,1177,655,522,0.556499575191164
4062,EIF2AK2,Rest,2,2,0,1.0
4063,EIF2AK2,Stim48hr,3,3,0,1.0
4064,EIF2AK2,Stim8hr,4,3,1,0.75
4085,EIF4EBP1,Rest,1,1,0,1.0
4087,EIF4EBP1,Stim8hr,1,1,0,1.0
4110,ELF4,Rest,85,54,31,0.6352941176470588
4111,ELF4,Stim48hr,11,8,3,0.7272727272727273
4112,ELF4,Stim8hr,66,39,27,0.5909090909090909
4113,ELK1,Rest,7,4,3,0.5714285714285714
4114,ELK1,Stim48hr,5,1,4,0.2
4115,ELK1,Stim8hr,29,15,14,0.5172413793103449
4118,ELK3,Stim8hr,1,0,1,0.0
4119,ELK4,Rest,1,0,1,0.0
4121,ELK4,Stim8hr,2,1,1,0.5
4229,EP300,Rest,73,48,25,0.6575342465753424
4230,EP300,Stim48hr,177,113,64,0.6384180790960452
4231,EP300,Stim8hr,158,114,44,0.7215189873417721
4232,EPAS1,Stim48hr,19,9,10,0.47368421052631576
4281,ERF,Rest,51,29,22,0.5686274509803921
4318,ESRRA,Stim48hr,24,12,12,0.5
4319,ESRRA,Stim8hr,20,9,11,0.45
4332,ETS2,Rest,1,1,0,1.0
4333,ETS2,Stim48hr,1,1,0,1.0
4334,ETS2,Stim8hr,4,1,3,0.25
4335,ETV3,Rest,4,4,0,1.0
4338,ETV6,Rest,2,1,1,0.5
4339,ETV6,Stim8hr,1,0,1,0.0
4785,FLI1,Rest,314,193,121,0.6146496815286624
4786,FLI1,Stim48hr,64,47,17,0.734375
4787,FLI1,Stim8hr,282,176,106,0.624113475177305
4835,FOS,Stim48hr,2,1,1,0.5
4836,FOSL1,Stim48hr,1,0,1,0.0
4837,FOSL2,Rest,34,21,13,0.6176470588235294
4838,FOSL2,Stim48hr,197,126,71,0.6395939086294417
4839,FOSL2,Stim8hr,50,35,15,0.7
4850,FOXK2,Stim48hr,1,1,0,1.0
4855,FOXO1,Rest,1327,808,519,0.6088922381311228
4856,FOXO1,Stim48hr,580,353,227,0.6086206896551725
4857,FOXO1,Stim8hr,846,524,322,0.6193853427895981
4858,FOXO3,Rest,5,2,3,0.4
4859,FOXO3,Stim8hr,22,15,7,0.6818181818181818
4860,FOXO4,Rest,13,11,2,0.8461538461538461
4861,FOXO4,Stim48hr,11,9,2,0.8181818181818182
4862,FOXO4,Stim8hr,9,7,2,0.7777777777777778
4863,FOXP3,Rest,2,0,2,0.0
4864,FOXP3,Stim48hr,3,1,2,0.3333333333333333
4865,FOXP3,Stim8hr,3,0,3,0.0
4909,FUBP1,Rest,552,327,225,0.592391304347826
4910,FUBP1,Stim48hr,1252,714,538,0.5702875399361023
4911,FUBP1,Stim8hr,1192,683,509,0.572986577181208
4927,FUS,Stim8hr,1,0,1,0.0
5028,GATA3,Rest,887,543,344,0.6121758737316798
5029,GATA3,Stim48hr,1252,757,495,0.604632587859425
5030,GATA3,Stim8hr,1238,791,447,0.6389337641357028
5472,GTF2A1,Rest,7,4,3,0.5714285714285714
5473,GTF2A1,Stim48hr,42,22,20,0.5238095238095238
5474,GTF2A1,Stim8hr,29,19,10,0.6551724137931034
5476,GTF2I,Rest,14,9,5,0.6428571428571429
5477,GTF2I,Stim48hr,15,7,8,0.4666666666666667
5478,GTF2I,Stim8hr,15,8,7,0.5333333333333333
5479,GTF3A,Rest,2,1,1,0.5
5481,GTF3A,Stim8hr,1,0,1,0.0
5562,HBP1,Rest,1,0,1,0.0
5563,HBP1,Stim48hr,3,0,3,0.0
5564,HBP1,Stim8hr,1,0,1,0.0
5575,HDAC1,Rest,68,40,28,0.5882352941176471
5576,HDAC1,Stim48hr,58,33,25,0.5689655172413793
5577,HDAC1,Stim8hr,89,42,47,0.47191011235955055
5578,HDAC2,Rest,3,3,0,1.0
5579,HDAC2,Stim48hr,24,17,7,0.7083333333333334
5580,HDAC2,Stim8hr,2,1,1,0.5
5581,HDAC3,Stim48hr,100,57,43,0.57
5585,HDAC5,Rest,9,5,4,0.5555555555555556
5586,HDAC5,Stim48hr,2,0,2,0.0
5591,HDAC7,Rest,84,51,33,0.6071428571428571
5600,HDGF,Rest,1,0,1,0.0
5601,HDGF,Stim48hr,3,1,2,0.3333333333333333
5602,HDGF,Stim8hr,2,2,0,1.0
5670,HEXIM1,Stim48hr,1357,806,551,0.5939572586588062
5671,HEXIM1,Stim8hr,247,151,96,0.611336032388664
5684,HIC1,Stim48hr,5,1,4,0.2
5685,HIF1A,Rest,1,0,1,0.0
5686,HIF1A,Stim48hr,128,82,46,0.640625
5687,HIF1A,Stim8hr,2,2,0,1.0
5714,HIPK2,Stim48hr,8,4,4,0.5
5715,HIPK2,Stim8hr,1,0,1,0.0
5764,HLTF,Rest,1,0,1,0.0
5765,HLTF,Stim48hr,1,0,1,0.0
5766,HLTF,Stim8hr,3,0,3,0.0
5773,HMG20B,Rest,1,0,1,0.0
5774,HMG20B,Stim48hr,4,3,1,0.75
5775,HMG20B,Stim8hr,2,2,0,1.0
5776,HMGB2,Rest,5,3,2,0.6
5777,HMGB2,Stim48hr,21,13,8,0.6190476190476191
5778,HMGB2,Stim8hr,8,5,3,0.625
5784,HMGN1,Stim8hr,2,1,1,0.5
5807,HNRNPD,Rest,65,37,28,0.5692307692307692
5808,HNRNPD,Stim48hr,641,364,277,0.5678627145085804
5809,HNRNPD,Stim8hr,164,95,69,0.5792682926829268
5896,HSF2,Rest,4,2,2,0.5
5897,HSF2,Stim48hr,13,7,6,0.5384615384615384
5898,HSF2,Stim8hr,4,3,1,0.75
5899,HSF4,Rest,2,0,2,0.0
5936,HTATIP2,Stim48hr,1,0,1,0.0
5937,HTATIP2,Stim8hr,1,0,1,0.0
5981,ID3,Stim48hr,1,1,0,1.0
5982,ID3,Stim8hr,1,1,0,1.0
6015,IFI16,Rest,1,1,0,1.0
6016,IFI16,Stim48hr,1,0,1,0.0
6017,IFI16,Stim8hr,2,1,1,0.5
6106,IKBKB,Stim48hr,292,172,120,0.589041095890411
6107,IKBKB,Stim8hr,4,3,1,0.75
6111,IKZF1,Rest,26,16,10,0.6153846153846154
6112,IKZF1,Stim8hr,167,112,55,0.6706586826347305
6188,ING4,Stim48hr,3,0,3,0.0
6223,INSM1,Stim8hr,11,8,3,0.7272727272727273
6267,IRF5,Stim8hr,2,1,1,0.5
6268,IRF7,Rest,2,1,1,0.5
6269,IRF7,Stim48hr,5,2,3,0.4
6270,IRF7,Stim8hr,2,1,1,0.5
6271,IRF8,Stim48hr,6,2,4,0.3333333333333333
6272,IRF8,Stim8hr,87,59,28,0.6781609195402298
6395,JDP2,Stim48hr,6,3,3,0.5
6418,JUN,Stim48hr,1,1,0,1.0
6420,JUNB,Rest,48,33,15,0.6875
6421,JUNB,Stim48hr,142,84,58,0.5915492957746479
6422,JUNB,Stim8hr,101,60,41,0.594059405940594
6423,JUND,Rest,37,21,16,0.5675675675675675
6424,JUND,Stim48hr,13,5,8,0.38461538461538464
6425,JUND,Stim8hr,44,26,18,0.5909090909090909
6431,KAT2B,Rest,4,0,4,0.0
6432,KAT2B,Stim48hr,44,25,19,0.5681818181818182
6433,KAT2B,Stim8hr,25,14,11,0.56
6526,KDM4B,Stim48hr,2,0,2,0.0
6527,KDM4B,Stim8hr,1,0,1,0.0
6528,KDM4C,Rest,3,1,2,0.3333333333333333
6529,KDM4C,Stim48hr,1,0,1,0.0
6663,KLF10,Rest,31,14,17,0.45161290322580644
6664,KLF10,Stim48hr,8,3,5,0.375
6665,KLF10,Stim8hr,79,53,26,0.6708860759493671
6666,KLF11,Rest,1,0,1,0.0
6668,KLF11,Stim8hr,1,0,1,0.0
6672,KLF13,Stim48hr,12,9,3,0.75
6673,KLF13,Stim8hr,40,24,16,0.6
6674,KLF16,Stim8hr,37,25,12,0.6756756756756757
6675,KLF2,Rest,986,588,398,0.5963488843813387
6676,KLF6,Rest,6,1,5,0.16666666666666666
6683,KLF9,Rest,5,1,4,0.2
6684,KLF9,Stim48hr,3,0,3,0.0
6685,KLF9,Stim8hr,2,0,2,0.0
6892,LCOR,Rest,7,3,4,0.42857142857142855
6893,LCOR,Stim48hr,14,9,5,0.6428571428571429
6903,LDB1,Rest,1,1,0,1.0
6904,LDB1,Stim48hr,4,3,1,0.75
