response_row,target_gene,culture_condition,response_edges,matched_response_genes,unmatched_response_genes,matched_fraction
12882,TCF3,Stim48hr,2,1,1,0.5
12883,TCF3,Stim8hr,1,1,0,1.0
12884,TCF7,Rest,2,2,0,1.0
12885,TCF7,Stim8hr,2,2,0,1.0
12886,TCFL5,Rest,29,14,15,0.4827586206896552
12977,TFAP4,Rest,112,70,42,0.625
12978,TFAP4,Stim48hr,471,292,179,0.6199575371549894
12979,TFAP4,Stim8hr,198,130,68,0.6565656565656566
12985,TFCP2,Stim8hr,2,1,1,0.5
12986,TFDP1,Stim48hr,121,60,61,0.49586776859504134
12987,TFDP1,Stim8hr,439,242,197,0.55125284738041
13006,TGIF1,Rest,7,4,3,0.5714285714285714
13007,TGIF1,Stim48hr,5,4,1,0.8
13008,TGIF1,Stim8hr,36,25,11,0.6944444444444444
13045,THRA,Stim48hr,101,49,52,0.48514851485148514
13561,TOB1,Stim48hr,3,0,3,0.0
13590,TOP2B,Rest,99,47,52,0.47474747474747475
13591,TOP2B,Stim48hr,3,2,1,0.6666666666666666
13592,TOP2B,Stim8hr,3,1,2,0.3333333333333333
13611,TP53BP1,Rest,12,5,7,0.4166666666666667
13612,TP53BP1,Stim48hr,2,1,1,0.5
13613,TP53BP1,Stim8hr,4,1,3,0.25
13624,TP73,Rest,103,54,49,0.5242718446601942
13625,TP73,Stim8hr,110,66,44,0.6
13682,TRAF6,Stim48hr,33,22,11,0.6666666666666666
13716,TRERF1,Rest,8,5,3,0.625
13717,TRERF1,Stim8hr,4,2,2,0.5
13722,TRIB3,Rest,6,4,2,0.6666666666666666
13723,TRIB3,Stim48hr,1,0,1,0.0
13724,TRIB3,Stim8hr,4,2,2,0.5
13733,TRIM22,Rest,5,1,4,0.2
13734,TRIM22,Stim48hr,11,6,5,0.5454545454545454
13736,TRIM25,Rest,26,17,9,0.6538461538461539
13737,TRIM25,Stim48hr,43,28,15,0.6511627906976745
13738,TRIM25,Stim8hr,49,29,20,0.5918367346938775
13838,TRPS1,Rest,1,0,1,0.0
13844,TRRAP,Rest,567,331,236,0.5837742504409171
13845,TRRAP,Stim48hr,34,25,9,0.7352941176470589
13846,TRRAP,Stim8hr,1256,706,550,0.5621019108280255
13856,TSC22D3,Stim48hr,1,0,1,0.0
14197,UBTF,Stim8hr,10,9,1,0.9
14321,USF1,Rest,4,2,2,0.5
14322,USF1,Stim48hr,9,6,3,0.6666666666666666
14323,USF1,Stim8hr,8,5,3,0.625
14485,VDR,Stim48hr,1,0,1,0.0
14486,VDR,Stim8hr,1,0,1,0.0
14489,VEZF1,Rest,29,17,12,0.5862068965517241
14490,VEZF1,Stim48hr,29,16,13,0.5517241379310345
14491,VEZF1,Stim8hr,41,23,18,0.5609756097560976
14495,VHL,Rest,239,133,106,0.5564853556485355
14496,VHL,Stim48hr,333,204,129,0.6126126126126126
14497,VHL,Stim8hr,216,135,81,0.625
14714,XBP1,Rest,179,105,74,0.5865921787709497
14715,XBP1,Stim48hr,491,287,204,0.5845213849287169
14716,XBP1,Stim8hr,237,144,93,0.6075949367088608
14835,YY1,Rest,509,304,205,0.5972495088408645
14836,YY1,Stim48hr,473,292,181,0.6173361522198731
14837,YY1,Stim8hr,960,586,374,0.6104166666666667
14884,ZBTB5,Rest,1,1,0,1.0
14885,ZBTB5,Stim48hr,1,1,0,1.0
14886,ZBTB5,Stim8hr,2,1,1,0.5
14890,ZBTB7A,Rest,542,321,221,0.5922509225092251
14891,ZBTB7A,Stim48hr,45,27,18,0.6
14892,ZBTB7A,Stim8hr,220,153,67,0.6954545454545454
14997,ZEB1,Rest,252,131,121,0.5198412698412699
14998,ZEB1,Stim48hr,415,231,184,0.5566265060240964
14999,ZEB1,Stim8hr,215,117,98,0.5441860465116279
15030,ZFP36,Rest,4,3,1,0.75
15031,ZFP36,Stim48hr,2,1,1,0.5
15032,ZFP36,Stim8hr,2,1,1,0.5
15034,ZFP36L1,Stim48hr,8,3,5,0.375
15035,ZFP36L1,Stim8hr,9,6,3,0.6666666666666666
15109,ZMYND11,Rest,2,1,1,0.5
15111,ZMYND11,Stim8hr,3,2,1,0.6666666666666666
15151,ZNF148,Rest,1354,773,581,0.5709010339734121
15152,ZNF148,Stim48hr,492,287,205,0.5833333333333334
15153,ZNF148,Stim8hr,594,324,270,0.5454545454545454
15190,ZNF202,Rest,6,4,2,0.6666666666666666
15191,ZNF202,Stim48hr,11,8,3,0.7272727272727273
15192,ZNF202,Stim8hr,10,4,6,0.4
15206,ZNF224,Rest,1,1,0,1.0
15207,ZNF224,Stim48hr,1,0,1,0.0
15271,ZNF281,Rest,1,1,0,1.0
15272,ZNF281,Stim8hr,4,1,3,0.25
15345,ZNF350,Stim48hr,2,0,2,0.0
15346,ZNF350,Stim8hr,1,1,0,1.0
15353,ZNF354C,Rest,3,1,2,0.3333333333333333
15354,ZNF354C,Stim48hr,1,0,1,0.0
15406,ZNF444,Rest,17,11,6,0.6470588235294118
15407,ZNF444,Stim48hr,13,11,2,0.8461538461538461
15408,ZNF444,Stim8hr,12,8,4,0.6666666666666666
15667,ZNF76,Rest,6,3,3,0.5
15668,ZNF76,Stim48hr,44,25,19,0.5681818181818182
15669,ZNF76,Stim8hr,19,8,11,0.42105263157894735
