culture_condition,evidence,status,matched_cases,observed_delta,null_mean,null_ci_low,null_ci_high,p_value,q_value
Rest,motif_supported,estimable,21930,0.004140446876424989,-5.161878704970365e-06,-0.001988144094847241,0.002171910624715001,0.000999000999000999,0.000999000999000999
Rest,curated_supported,estimable,21930,0.0009575923392612858,2.1504787961696284e-05,-0.0005198358413132696,0.0006292749658002735,0.000999000999000999,0.000999000999000999
Stim8hr,motif_supported,estimable,28962,0.0039292866514743455,6.0879773496305646e-05,-0.001913887162488778,0.001982943166908362,0.000999000999000999,0.000999000999000999
Stim8hr,curated_supported,estimable,28962,0.0018023617153511498,1.126993992127613e-05,-0.0005179200331468822,0.0005593536357986327,0.000999000999000999,0.000999000999000999
Stim48hr,motif_supported,estimable,22318,0.0044896496101801235,-4.543417868984674e-05,-0.0023389192579980284,0.002177614481584372,0.000999000999000999,0.000999000999000999
Stim48hr,curated_supported,estimable,22318,0.0021328075992472443,9.01514472622993e-06,-0.0005556053409803746,0.0006272963527197777,0.000999000999000999,0.000999000999000999
