target_gene,culture_condition,secondary_factor,source_programme_genes,secondary_programme_genes,shared_retained_genes,descriptive_sign_agreement,replication_status,compatible_occupancy,strong_cascade_claim,limitation
GATA3,Stim8hr,CEBPB,1238,2,0,,underpowered,False,False,full_gene_effects_and_state_matched_secondary_occupancy_unavailable
GATA3,Stim8hr,CREB1,1238,435,72,0.5972222222222222,eligible,False,False,full_gene_effects_and_state_matched_secondary_occupancy_unavailable
GATA3,Stim8hr,EGR1,1238,6,2,0.5,underpowered,False,False,full_gene_effects_and_state_matched_secondary_occupancy_unavailable
GATA3,Stim8hr,HIF1A,1238,2,0,,underpowered,False,False,full_gene_effects_and_state_matched_secondary_occupancy_unavailable
GATA3,Stim8hr,SP3,1238,13,3,0.6666666666666666,underpowered,False,False,full_gene_effects_and_state_matched_secondary_occupancy_unavailable
GATA3,Stim8hr,USF1,1238,8,1,0.0,underpowered,False,False,full_gene_effects_and_state_matched_secondary_occupancy_unavailable
HIF1A,Stim48hr,CEBPB,128,12,0,,underpowered,False,False,full_gene_effects_and_state_matched_secondary_occupancy_unavailable
HIF1A,Stim48hr,CREB1,128,488,7,0.5714285714285714,eligible,False,False,full_gene_effects_and_state_matched_secondary_occupancy_unavailable
HIF1A,Stim48hr,EGR1,128,2,0,,underpowered,False,False,full_gene_effects_and_state_matched_secondary_occupancy_unavailable
HIF1A,Stim48hr,SP3,128,112,1,1.0,eligible,False,False,full_gene_effects_and_state_matched_secondary_occupancy_unavailable
HIF1A,Stim48hr,USF1,128,9,0,,underpowered,False,False,full_gene_effects_and_state_matched_secondary_occupancy_unavailable
HIF1A,Stim8hr,CEBPB,2,2,0,,underpowered,False,False,full_gene_effects_and_state_matched_secondary_occupancy_unavailable
HIF1A,Stim8hr,CREB1,2,435,0,,underpowered,False,False,full_gene_effects_and_state_matched_secondary_occupancy_unavailable
HIF1A,Stim8hr,EGR1,2,6,0,,underpowered,False,False,full_gene_effects_and_state_matched_secondary_occupancy_unavailable
HIF1A,Stim8hr,SP3,2,13,0,,underpowered,False,False,full_gene_effects_and_state_matched_secondary_occupancy_unavailable
HIF1A,Stim8hr,USF1,2,8,0,,underpowered,False,False,full_gene_effects_and_state_matched_secondary_occupancy_unavailable
SP3,Rest,CEBPB,15,6,0,,underpowered,False,False,full_gene_effects_and_state_matched_secondary_occupancy_unavailable
SP3,Rest,CREB1,15,199,1,0.0,underpowered,False,False,full_gene_effects_and_state_matched_secondary_occupancy_unavailable
SP3,Rest,EGR1,15,0,0,,unavailable_perturbation_state,False,False,full_gene_effects_and_state_matched_secondary_occupancy_unavailable
SP3,Rest,HIF1A,15,1,0,,underpowered,False,False,full_gene_effects_and_state_matched_secondary_occupancy_unavailable
SP3,Rest,USF1,15,4,0,,underpowered,False,False,full_gene_effects_and_state_matched_secondary_occupancy_unavailable
SP3,Stim48hr,CEBPB,112,12,0,,underpowered,False,False,full_gene_effects_and_state_matched_secondary_occupancy_unavailable
SP3,Stim48hr,CREB1,112,488,7,0.14285714285714285,eligible,False,False,full_gene_effects_and_state_matched_secondary_occupancy_unavailable
SP3,Stim48hr,EGR1,112,2,0,,underpowered,False,False,full_gene_effects_and_state_matched_secondary_occupancy_unavailable
SP3,Stim48hr,HIF1A,112,128,1,1.0,eligible,False,False,full_gene_effects_and_state_matched_secondary_occupancy_unavailable
SP3,Stim48hr,USF1,112,9,0,,underpowered,False,False,full_gene_effects_and_state_matched_secondary_occupancy_unavailable
SP3,Stim8hr,CEBPB,13,2,0,,underpowered,False,False,full_gene_effects_and_state_matched_secondary_occupancy_unavailable
SP3,Stim8hr,CREB1,13,435,1,0.0,underpowered,False,False,full_gene_effects_and_state_matched_secondary_occupancy_unavailable
SP3,Stim8hr,EGR1,13,6,0,,underpowered,False,False,full_gene_effects_and_state_matched_secondary_occupancy_unavailable
SP3,Stim8hr,HIF1A,13,2,0,,underpowered,False,False,full_gene_effects_and_state_matched_secondary_occupancy_unavailable
SP3,Stim8hr,USF1,13,8,0,,underpowered,False,False,full_gene_effects_and_state_matched_secondary_occupancy_unavailable
USF1,Rest,CEBPB,4,6,0,,underpowered,False,False,full_gene_effects_and_state_matched_secondary_occupancy_unavailable
USF1,Rest,CREB1,4,199,0,,underpowered,False,False,full_gene_effects_and_state_matched_secondary_occupancy_unavailable
USF1,Rest,EGR1,4,0,0,,unavailable_perturbation_state,False,False,full_gene_effects_and_state_matched_secondary_occupancy_unavailable
USF1,Rest,HIF1A,4,1,0,,underpowered,False,False,full_gene_effects_and_state_matched_secondary_occupancy_unavailable
USF1,Rest,SP3,4,15,0,,underpowered,False,False,full_gene_effects_and_state_matched_secondary_occupancy_unavailable
USF1,Stim48hr,CEBPB,9,12,0,,underpowered,False,False,full_gene_effects_and_state_matched_secondary_occupancy_unavailable
USF1,Stim48hr,CREB1,9,488,1,1.0,underpowered,False,False,full_gene_effects_and_state_matched_secondary_occupancy_unavailable
USF1,Stim48hr,EGR1,9,2,0,,underpowered,False,False,full_gene_effects_and_state_matched_secondary_occupancy_unavailable
USF1,Stim48hr,HIF1A,9,128,0,,underpowered,False,False,full_gene_effects_and_state_matched_secondary_occupancy_unavailable
USF1,Stim48hr,SP3,9,112,0,,underpowered,False,False,full_gene_effects_and_state_matched_secondary_occupancy_unavailable
USF1,Stim8hr,CEBPB,8,2,0,,underpowered,False,False,full_gene_effects_and_state_matched_secondary_occupancy_unavailable
USF1,Stim8hr,CREB1,8,435,0,,underpowered,False,False,full_gene_effects_and_state_matched_secondary_occupancy_unavailable
USF1,Stim8hr,EGR1,8,6,0,,underpowered,False,False,full_gene_effects_and_state_matched_secondary_occupancy_unavailable
USF1,Stim8hr,HIF1A,8,2,0,,underpowered,False,False,full_gene_effects_and_state_matched_secondary_occupancy_unavailable
USF1,Stim8hr,SP3,8,13,0,,underpowered,False,False,full_gene_effects_and_state_matched_secondary_occupancy_unavailable
