culture_condition,evidence_tier,target_states,targets,median_full_vector_pearson,median_pearson_ci_low,median_pearson_ci_high,median_significant_union_pearson,median_sign_agreement,median_significant_union_genes,cis_both_guides_significant_fraction,concordant_fraction,power_status,tier_definition
Rest,Tier 2,4,4,0.27723371037255384,-0.0283939974766884,0.480080241758522,0.8659440703685399,0.889996656925018,471.0,1.0,0.5,underpowered,molecular_only_excludes_guide_and_external_outcomes
Rest,Tier 3,23,23,0.1879201472370148,0.1090145348796179,0.2365870192559793,0.6746857406314792,0.8955223880597015,17.0,1.0,0.6086956521739131,adequate,molecular_only_excludes_guide_and_external_outcomes
Rest,Tier 4,134,134,0.07710273737965735,0.06461555708312973,0.09838561505353173,0.7864736956499595,0.8249097472924187,3.0,0.9776119402985075,0.20149253731343283,adequate,molecular_only_excludes_guide_and_external_outcomes
Stim48hr,Tier 2,3,3,0.1294426468770488,0.0806947249930781,0.5821440443532061,0.7414911028615014,0.965019011406844,24.0,1.0,0.6666666666666666,underpowered,molecular_only_excludes_guide_and_external_outcomes
Stim48hr,Tier 3,21,21,0.1540143499044498,0.1241854576371126,0.2087409549975604,0.6964529655491378,0.8976351351351352,32.0,1.0,0.7142857142857143,adequate,molecular_only_excludes_guide_and_external_outcomes
Stim48hr,Tier 4,149,149,0.0867730198854876,0.0758583597264663,0.0998583607481694,0.7126562856541273,0.8899082568807339,3.0,0.9731543624161074,0.26174496644295303,adequate,molecular_only_excludes_guide_and_external_outcomes
Stim8hr,Tier 2,6,6,0.18926926664864718,0.10681092258222011,0.37486343723539217,0.792008255339374,0.8581464872944694,65.0,1.0,0.8333333333333334,underpowered,molecular_only_excludes_guide_and_external_outcomes
Stim8hr,Tier 3,30,30,0.14517298635592402,0.1032793873348966,0.17922663279890233,0.6517544884450395,0.8819188191881919,28.5,0.9333333333333333,0.5333333333333333,adequate,molecular_only_excludes_guide_and_external_outcomes
Stim8hr,Tier 4,150,150,0.08774260616624505,0.0760031156130736,0.1023170169489469,0.7567859801118515,0.8181818181818182,3.0,0.9666666666666667,0.24666666666666667,adequate,molecular_only_excludes_guide_and_external_outcomes
