response_row,target_gene,culture_condition,inferred_tf,regulon_genes,weighted_mean_score,ulm_score,evidence_status,activity_inference_status
14322,USF1,Stim48hr,CREB1,29,0.0,0.04203907512143834,descriptive_thresholded_response_activity_proxy,no_gene_independence_or_full_effect_assumption_for_significance
14323,USF1,Stim8hr,CREB1,29,0.0,0.06788781126276576,descriptive_thresholded_response_activity_proxy,no_gene_independence_or_full_effect_assumption_for_significance
2465,CEBPB,Rest,EGR1,51,0.0,0.037711910699428725,descriptive_thresholded_response_activity_proxy,no_gene_independence_or_full_effect_assumption_for_significance
2466,CEBPB,Stim48hr,EGR1,51,0.0,0.12076116888207944,descriptive_thresholded_response_activity_proxy,no_gene_independence_or_full_effect_assumption_for_significance
2467,CEBPB,Stim8hr,EGR1,51,0.0,0.07943927786791004,descriptive_thresholded_response_activity_proxy,no_gene_independence_or_full_effect_assumption_for_significance
3057,CREB1,Rest,EGR1,51,-0.0012638459310812108,-1.8812931038749225,descriptive_thresholded_response_activity_proxy,no_gene_independence_or_full_effect_assumption_for_significance
3058,CREB1,Stim48hr,EGR1,51,0.0021592768493528458,2.802393803674713,descriptive_thresholded_response_activity_proxy,no_gene_independence_or_full_effect_assumption_for_significance
3059,CREB1,Stim8hr,EGR1,51,-9.988536875621946e-05,0.007821895795590733,descriptive_thresholded_response_activity_proxy,no_gene_independence_or_full_effect_assumption_for_significance
5028,GATA3,Rest,EGR1,51,0.0021774378952150253,1.4206819513275877,descriptive_thresholded_response_activity_proxy,no_gene_independence_or_full_effect_assumption_for_significance
5029,GATA3,Stim48hr,EGR1,51,-0.015308569240219453,-6.10206941473215,descriptive_thresholded_response_activity_proxy,no_gene_independence_or_full_effect_assumption_for_significance
5030,GATA3,Stim8hr,EGR1,51,-0.002871921359031808,-1.1143083491460686,descriptive_thresholded_response_activity_proxy,no_gene_independence_or_full_effect_assumption_for_significance
5685,HIF1A,Rest,EGR1,51,0.0,-0.056706929214944114,descriptive_thresholded_response_activity_proxy,no_gene_independence_or_full_effect_assumption_for_significance
5686,HIF1A,Stim48hr,EGR1,51,-0.001686578872157078,-0.8825674225967712,descriptive_thresholded_response_activity_proxy,no_gene_independence_or_full_effect_assumption_for_significance
5687,HIF1A,Stim8hr,EGR1,51,0.0,-0.06874771641052592,descriptive_thresholded_response_activity_proxy,no_gene_independence_or_full_effect_assumption_for_significance
