removed_component,response_edges,direct_edges,direct_fraction,amplified_minus_buffered_direct_fraction,guide_requirement_removed,external_requirement_removed
none,124798,4104,0.03288514239010241,0.02522888283988927,False,False
motif,124798,477,0.003822176637446113,0.004158437555945346,False,False
curated,124798,3716,0.02977611820702255,0.021682261199592524,False,False
occupancy,124798,4104,0.03288514239010241,0.02522888283988927,False,False
physical_link,124798,4104,0.03288514239010241,0.02522888283988927,False,False
guide_concordance,124798,4104,0.03288514239010241,0.02522888283988927,True,False
external_replication,124798,4104,0.03288514239010241,0.02522888283988927,False,True
