target_gene,culture_condition,secondary_factor,resource_type,matched_cases,observed_delta,null_mean,null_low,null_high,p_value,status,q_value,supported_enrichment
CREB1,Stim48hr,CEBPB,motif,301,0.027906976744186046,-3.986710963455217e-05,-0.0318936877076412,0.03189368770764119,0.0979020979020979,estimable,1.0,False
CREB1,Stim48hr,CEBPB,signed_curated,301,-0.0026578073089701,6.112956810631231e-05,-0.0026578073089701,0.0053156146179402,0.5904095904095904,estimable,1.0,False
CREB1,Stim48hr,EGR1,motif,301,0.005315614617940199,-0.00038139534883721,-0.02259136212624585,0.025249169435215945,0.7462537462537463,estimable,1.0,False
CREB1,Stim48hr,EGR1,signed_curated,301,0.0026578073089701,-0.000132890365448505,-0.0053156146179402,0.0106312292358804,0.6303696303696303,estimable,1.0,False
CREB1,Stim48hr,HIF1A,motif,301,-0.036544850498338874,0.0013169435215946836,-0.036544850498338874,0.03920265780730897,0.06393606393606394,estimable,1.0,False
CREB1,Stim48hr,HIF1A,signed_curated,301,0.004651162790697674,-7.308970099667784e-05,-0.0033222591362126247,0.004651162790697675,0.18281718281718282,estimable,1.0,False
CREB1,Stim48hr,SP3,motif,301,-0.006644518272425249,-0.00038139534883720937,-0.030564784053156144,0.03322259136212625,0.7212787212787213,estimable,1.0,False
CREB1,Stim48hr,SP3,signed_curated,301,0.0,-2.7906976744186112e-05,-0.00398671096345515,0.0079734219269103,1.0,estimable,1.0,False
CREB1,Stim48hr,USF1,motif,301,0.019933554817275746,0.0003787375415282383,-0.03189368770764119,0.0318936877076412,0.2727272727272727,estimable,1.0,False
CREB1,Stim48hr,USF1,signed_curated,301,-0.0026578073089701,6.112956810631231e-05,-0.0026578073089701,0.0053156146179402,0.6063936063936064,estimable,1.0,False
CREB1,Stim8hr,CEBPB,motif,273,0.007326007326007328,0.0007501831501831495,-0.027838827838827837,0.0336996336996337,0.6693306693306693,estimable,1.0,False
CREB1,Stim8hr,CEBPB,signed_curated,273,0.0,0.0,0.0,0.0,1.0,estimable,1.0,False
CREB1,Stim8hr,EGR1,motif,273,0.014652014652014652,0.000594871794871794,-0.024908424908424907,0.02783882783882784,0.2917082917082917,estimable,1.0,False
CREB1,Stim8hr,EGR1,signed_curated,273,-0.0014652014652014652,-2.3443223443223456e-05,-0.0014652014652014652,0.0029304029304029304,1.0,estimable,1.0,False
CREB1,Stim8hr,HIF1A,motif,273,-0.019780219780219786,-0.0004923076923076922,-0.03296703296703297,0.03736263736263736,0.3256743256743257,estimable,1.0,False
CREB1,Stim8hr,HIF1A,signed_curated,273,0.009523809523809525,3.80952380952381e-05,-0.003663003663003663,0.009523809523809525,0.04095904095904096,estimable,0.8400488400488402,False
CREB1,Stim8hr,SP3,motif,273,0.03882783882783883,6.739926739926694e-05,-0.03150183150183151,0.034432234432234435,0.023976023976023976,estimable,0.7535321821036106,False
CREB1,Stim8hr,SP3,signed_curated,273,-0.0021978021978021982,9.670329670329656e-05,-0.0021978021978021982,0.006593406593406593,1.0,estimable,1.0,False
CREB1,Stim8hr,USF1,motif,273,0.02197802197802198,-0.00043956043956044,-0.03076923076923077,0.035164835164835165,0.22577422577422576,estimable,1.0,False
CREB1,Stim8hr,USF1,signed_curated,273,-0.0014652014652014652,0.00013919413919413916,-0.0014652014652014652,0.007326007326007326,1.0,estimable,1.0,False
GATA3,Rest,CEBPB,motif,543,0.019889502762430945,0.00021878453038673973,-0.022099447513812154,0.02430939226519337,0.11188811188811189,estimable,1.0,False
GATA3,Rest,CEBPB,signed_curated,543,-0.001841620626151013,-1.841620626151016e-05,-0.001841620626151013,0.004788213627992633,0.6013986013986014,estimable,1.0,False
GATA3,Rest,CREB1,motif,543,-0.010313075506445675,0.0005244935543278087,-0.03241252302025783,0.03388581952117863,0.5624375624375625,estimable,1.0,False
GATA3,Rest,CREB1,signed_curated,543,0.002946593001841621,2.9465930018416174e-05,-0.003683241252302026,0.005156537753222837,0.3996003996003996,estimable,1.0,False
GATA3,Rest,EGR1,motif,543,0.019152854511970532,0.000540699815837937,-0.01841620626151013,0.019152854511970536,0.052947052947052944,estimable,0.9318681318681318,False
GATA3,Rest,EGR1,signed_curated,543,-0.0033149171270718232,-6.187845303867407e-05,-0.0055248618784530384,0.007734806629834253,0.4865134865134865,estimable,1.0,False
GATA3,Rest,HIF1A,motif,543,-0.019152854511970532,6.924493554327831e-05,-0.023572744014732968,0.025101289134438258,0.15284715284715283,estimable,1.0,False
GATA3,Rest,HIF1A,signed_curated,543,0.0007366482504604054,-9.871086556169438e-05,-0.008103130755064457,0.009576427255985268,1.0,estimable,1.0,False
GATA3,Rest,SP3,motif,543,0.020257826887661142,0.0001473296500920809,-0.02615101289134438,0.024677716390423578,0.12887112887112886,estimable,1.0,False
GATA3,Rest,SP3,signed_curated,543,0.002209944751381215,3.314917127071809e-05,-0.004419889502762431,0.006629834254143646,0.6693306693306693,estimable,1.0,False
GATA3,Rest,USF1,motif,543,0.0014732965009208107,3.241252302025777e-05,-0.02504604051565378,0.02578268876611418,0.906093906093906,estimable,1.0,False
GATA3,Rest,USF1,signed_curated,543,-0.0022099447513812148,-0.00021436464088397792,-0.0066298342541436465,0.006629834254143647,0.7322677322677322,estimable,1.0,False
GATA3,Stim48hr,CEBPB,motif,757,0.015059445178335533,-0.0004391017173051522,-0.019815059445178335,0.019815059445178335,0.15384615384615385,estimable,1.0,False
GATA3,Stim48hr,CEBPB,signed_curated,757,0.0018494055482166448,5.8124174372523075e-05,-0.002906208718626156,0.0034346103038309117,0.37462537462537465,estimable,1.0,False
GATA3,Stim48hr,CREB1,motif,757,-0.015587846763540289,0.00010092470277410975,-0.02351387054161162,0.02562747688243065,0.24575424575424576,estimable,1.0,False
GATA3,Stim48hr,CREB1,signed_curated,757,-0.002906208718626156,-7.344782034346108e-05,-0.0044914134742404235,0.005019815059445179,0.4015984015984016,estimable,1.0,False
GATA3,Stim48hr,EGR1,motif,757,0.0007926023778071329,-0.00013315719947159835,-0.015059445178335533,0.015059445178335538,1.0,estimable,1.0,False
GATA3,Stim48hr,EGR1,signed_curated,757,0.0031704095112285334,1.109643328929974e-05,-0.006340819022457067,0.0063408190224570685,0.4405594405594406,estimable,1.0,False
GATA3,Stim48hr,HIF1A,motif,757,-0.026684280052840164,-0.000144782034346103,-0.02038309114927345,0.020911492734478173,0.01898101898101898,estimable,0.7535321821036106,False
GATA3,Stim48hr,HIF1A,signed_curated,757,-0.0010568031704095112,4.808454425363266e-05,-0.005812417437252312,0.006869220607661823,0.8231768231768232,estimable,1.0,False
GATA3,Stim48hr,SP3,motif,757,0.0021136063408190224,-0.00015799207397622182,-0.018494055482166448,0.019550858652575956,0.8741258741258742,estimable,1.0,False
GATA3,Stim48hr,SP3,signed_curated,757,-0.000264200792602378,-0.00012153236459709382,-0.005019815059445178,0.006076618229854691,1.0,estimable,1.0,False
GATA3,Stim48hr,USF1,motif,757,0.011096433289299872,0.0001474240422721269,-0.020607661822985467,0.022192866578599736,0.32167832167832167,estimable,1.0,False
GATA3,Stim48hr,USF1,signed_curated,757,-0.0010568031704095116,0.00015270805812417435,-0.004227212681638045,0.006869220607661823,0.8121878121878122,estimable,1.0,False
GATA3,Stim8hr,CEBPB,motif,791,0.011378002528445006,-8.798988621997505e-05,-0.017446270543615677,0.02048040455120101,0.24375624375624375,estimable,1.0,False
GATA3,Stim8hr,CEBPB,signed_curated,791,-0.0012642225031605564,7.383059418457641e-05,-0.0042983565107458915,0.004804045512010114,0.7452547452547452,estimable,1.0,False
GATA3,Stim8hr,CREB1,motif,791,-0.02073324905183312,-6.017699115044128e-05,-0.02528445006321112,0.026295828065739577,0.11888111888111888,estimable,1.0,False
GATA3,Stim8hr,CREB1,signed_curated,791,-0.003034134007585335,7.888748419721862e-05,-0.006068268015170671,0.007585335018963337,0.5284715284715285,estimable,1.0,False
