doi	citekey	year	title	decision	reason
10.1126/science.aax4438	Norman2019Exploring	2019	Exploring genetic interaction manifolds constructed from rich single-cell phenotypes	include	included after topical and metadata review
10.1126/science.aaz1776	Anon2020GTEx	2020	The GTEx Consortium atlas of genetic regulatory effects across human tissues	include	included after topical and metadata review
10.1126/science.abj4008	Schmidt2022CRISPR	2022	CRISPR activation and interference screens decode stimulation responses in primary human T cells	include	included after topical and metadata review
10.1126/science.adh7699	Morris2023Discovery	2023	Discovery of target genes and pathways at GWAS loci by pooled single-cell CRISPR screens	include	included after topical and metadata review
10.1186/s13059-014-0550-8	Love2014Moderated	2014	Moderated estimation of fold change and dispersion for RNA-seq data with DESeq2	include	included after topical and metadata review
10.1186/s13059-020-1928-4	Yang2020scMAGeCK	2020	scMAGeCK links genotypes with multiple phenotypes in single-cell CRISPR screens	include	included after topical and metadata review
10.1186/s13059-021-02545-2	Barry2021SCEPTRE	2021	SCEPTRE improves calibration and sensitivity in single-cell CRISPR screen analysis	include	included after topical and metadata review
10.1186/s13059-024-03182-1		2024	Dissecting the sequence and structural determinants guiding m6A deposition and evolution via inter- and intra-species hybrids	exclude	unrelated RNA modification study
10.1186/s13059-024-03254-2	Barry2024Robust	2024	Robust differential expression testing for single-cell CRISPR screens at low multiplicity of infection	include	included after topical and metadata review
10.1371/journal.pcbi.1000641	Vanunu2010Associating	2010	Associating Genes and Protein Complexes with Disease via Network Propagation	include	included after topical and metadata review
10.1371/journal.pgen.1010299	Zou2022Fine	2022	Fine-mapping from summary data with the “Sum of Single Effects” model	include	included after topical and metadata review
10.15252/msb.202211517	Lotfollahi2023Predicting	2023	Predicting cellular responses to complex perturbations in high-throughput screens	include	included after topical and metadata review
10.21105/joss.00861	McInnes2018UMAP	2018	UMAP: Uniform Manifold Approximation and Projection	include	included after topical and metadata review
10.21203/rs.3.rs-7304871/v1	Goyal2025Fluctuation	2025	Fluctuation structure predicts genome-wide perturbation outcomes	include	included after topical and metadata review
10.64898/2026.03.09.710372	Moonen2026Genome	2026	Genome-scale mapping of variant, enhancer and gene function in primary human CD4+ T cells	include	included after topical and metadata review
