state	model	target	target_position	score	log_normalizer	true_probability	information_nats	inverse_temperature
Rest	nearest_centroid	AACS	0	-0.15220281764090024	8.389132521348719	0.00022732439190725184	0.0	0.0
Rest	nearest_centroid	AP1S3	183	-0.02173647908768948	8.389132521348719	0.00022732439190725184	0.0	0.0
Rest	nearest_centroid	BATF3	366	-7.949041417119693	8.389132521348719	0.00022732439190725184	0.0	0.0
Rest	nearest_centroid	CCDC127	549	-2.1609738731242416	8.389132521348719	0.00022732439190725184	0.0	0.0
Rest	nearest_centroid	CKAP4	733	-78.62641503947674	8.389132521348719	0.00022732439190725184	0.0	0.0
Rest	nearest_centroid	DAPK3	916	-0.0	8.389132521348719	0.00022732439190725184	0.0	0.0
Rest	nearest_centroid	EEF2K	1099	-17.401976044550374	8.389132521348719	0.00022732439190725184	0.0	0.0
Rest	nearest_centroid	FDXR	1282	-1.5233403919468087	8.389132521348719	0.00022732439190725184	0.0	0.0
Rest	nearest_centroid	GPR15	1466	-16.563478965265404	8.389132521348719	0.00022732439190725184	0.0	0.0
Rest	nearest_centroid	IFI44L	1649	-8.771612640660837	8.389132521348719	0.00022732439190725184	0.0	0.0
Rest	nearest_centroid	KMT5B	1832	-17.366416124227563	8.389132521348719	0.00022732439190725184	0.0	0.0
Rest	nearest_centroid	MARCHF8	2015	-3.3861962666220875	8.389132521348719	0.00022732439190725184	0.0	0.0
Rest	nearest_centroid	MYO1C	2199	-1.8110792676858363	8.389132521348719	0.00022732439190725184	0.0	0.0
Rest	nearest_centroid	NUDT16L1	2382	-6.413358799516932	8.389132521348719	0.00022732439190725184	0.0	0.0
Rest	nearest_centroid	PHF3	2565	-3.5980396564333637	8.389132521348719	0.00022732439190725184	0.0	0.0
Rest	nearest_centroid	PRKCI	2748	-0.3511451246127949	8.389132521348719	0.00022732439190725184	0.0	0.0
Rest	nearest_centroid	RDH10	2932	-0.3348774871944417	8.389132521348719	0.00022732439190725184	0.0	0.0
Rest	nearest_centroid	SEC23IP	3115	-0.9102900040113411	8.389132521348719	0.00022732439190725184	0.0	0.0
Rest	nearest_centroid	SLC66A2	3298	-0.0	8.389132521348719	0.00022732439190725184	0.0	0.0
Rest	nearest_centroid	STX2	3481	-0.3699712799026182	8.389132521348719	0.00022732439190725184	0.0	0.0
Rest	nearest_centroid	TMEM141	3665	-0.0	8.389132521348719	0.00022732439190725184	0.0	0.0
Rest	nearest_centroid	TSPYL1	3848	-1.7276960522480043	8.389132521348719	0.00022732439190725184	0.0	0.0
Rest	nearest_centroid	VKORC1	4031	-0.0665689085541098	8.389132521348719	0.00022732439190725184	0.0	0.0
Rest	nearest_centroid	ZNF148	4214	-30.227182670798904	8.389132521348719	0.00022732439190725184	0.0	0.0
Rest	nearest_centroid	ZYX	4398	-0.0	8.389132521348719	0.00022732439190725184	0.0	0.0
Rest	RNA_fingerprint_cosine	AACS	0	0.0	8.389132521348719	0.00022732439190725184	0.0	10.0
Rest	RNA_fingerprint_cosine	AP1S3	183	0.0	8.389132521348719	0.00022732439190725184	0.0	10.0
Rest	RNA_fingerprint_cosine	BATF3	366	-0.009016567826697318	10.388837511402606	2.812073960375095e-05	-2.089870668320861	10.0
Rest	RNA_fingerprint_cosine	CCDC127	549	0.6041701360834515	10.0024657718853	0.019048547804485918	4.428368110297934	10.0
Rest	RNA_fingerprint_cosine	CKAP4	733	-0.001872566777348121	8.419147394050155	0.00021651016463174357	-0.04874054047491683	10.0
Rest	RNA_fingerprint_cosine	DAPK3	916	0.0	8.389132521348719	0.00022732439190725184	0.0	10.0
Rest	RNA_fingerprint_cosine	EEF2K	1099	-0.00470559100421721	9.373721542575225	8.102300327037201e-05	-1.0316449312686782	10.0
Rest	RNA_fingerprint_cosine	FDXR	1282	-1.6834163301927894e-05	8.394035763771834	0.0002261744157110292	-0.005071584056134171	10.0
Rest	RNA_fingerprint_cosine	GPR15	1466	0.42598565542513966	8.470172876679285	0.014841672841493394	4.17881619892083	10.0
Rest	RNA_fingerprint_cosine	IFI44L	1649	0.002820834969680692	9.371784003449452	8.75259135356555e-05	-0.9544431324039255	10.0
Rest	RNA_fingerprint_cosine	KMT5B	1832	0.4918550131365248	8.434405631251648	0.029722364594857872	4.873277021462319	10.0
Rest	RNA_fingerprint_cosine	MARCHF8	2015	0.05940771510916712	11.529322196344129	1.781900372357514e-05	-2.546112523903739	10.0
Rest	RNA_fingerprint_cosine	MYO1C	2199	0.7581923073279185	11.323693654588237	0.02371208177238171	4.6473619400396675	10.0
Rest	RNA_fingerprint_cosine	NUDT16L1	2382	0.009263652368162976	10.501113714286035	3.0175591447150348e-05	-2.019344669255686	10.0
Rest	RNA_fingerprint_cosine	PHF3	2565	0.3073319040243854	8.421208147473216	0.0047581844230451045	3.041243414119357	10.0
Rest	RNA_fingerprint_cosine	PRKCI	2748	0.0	10.183257623747394	3.779787689377887e-05	-1.7941251023986755	10.0
Rest	RNA_fingerprint_cosine	RDH10	2932	0.0	8.389132521348719	0.00022732439190725184	0.0	10.0
Rest	RNA_fingerprint_cosine	SEC23IP	3115	0.0	12.21914962480965	4.935040764596766e-06	-3.8300171034609303	10.0
Rest	RNA_fingerprint_cosine	SLC66A2	3298	0.0	8.389132521348719	0.00022732439190725184	0.0	10.0
Rest	RNA_fingerprint_cosine	STX2	3481	0.0	8.389132521348719	0.00022732439190725184	0.0	10.0
Rest	RNA_fingerprint_cosine	TMEM141	3665	0.0	8.389132521348719	0.00022732439190725184	0.0	10.0
Rest	RNA_fingerprint_cosine	TSPYL1	3848	0.00286418676241548	8.445130011444519	0.00022119007818498107	-0.027355622471645802	10.0
Rest	RNA_fingerprint_cosine	VKORC1	4031	0.8965890215718225	9.411657957552498	0.6403324772386022	7.943364779514447	10.0
Rest	RNA_fingerprint_cosine	ZNF148	4214	0.5171454461794616	8.4398982510764	0.038065619130059	5.1206887320669345	10.0
Rest	RNA_fingerprint_cosine	ZYX	4398	0.0	8.389132521348719	0.00022732439190725184	0.0	10.0
Rest	frozen_module_decoder	AACS	0	0.0	8.389132521348719	0.00022732439190725184	0.0	3.0
Rest	frozen_module_decoder	AP1S3	183	0.0	8.389132521348719	0.00022732439190725184	0.0	3.0
Rest	frozen_module_decoder	BATF3	366	0.5211527456259742	8.573982651729427	0.0009023352662837127	1.3786081064972144	3.0
Rest	frozen_module_decoder	CCDC127	549	-0.2691982840295716	8.68066990827465	7.57354084113224e-05	-1.0991322390146454	3.0
Rest	frozen_module_decoder	CKAP4	733	0.13884620116623825	8.542287738100452	0.0002958230357557119	0.26338338674698214	3.0
Rest	frozen_module_decoder	DAPK3	916	0.0	8.389132521348719	0.00022732439190725184	0.0	3.0
Rest	frozen_module_decoder	EEF2K	1099	-0.3461885645895705	8.604182629141103	6.489445851284593e-05	-1.2536158015610965	3.0
Rest	frozen_module_decoder	FDXR	1282	0.05779503511835957	8.589847444362954	0.00022119578602711776	-0.02732981765915632	3.0
Rest	frozen_module_decoder	GPR15	1466	0.5839916193432378	8.612442548577775	0.0010484234801946923	1.5286648308006576	3.0
Rest	frozen_module_decoder	IFI44L	1649	-0.21090795250838434	8.601778807006921	9.761272787112294e-05	-0.8453701431833558	3.0
Rest	frozen_module_decoder	KMT5B	1832	0.928974785236399	8.652260101485409	0.0028360706868651372	2.5237967755725075	3.0
Rest	frozen_module_decoder	MARCHF8	2015	0.504589501165595	8.59250893684174	0.0008428340857877843	1.3103920880037627	3.0
Rest	frozen_module_decoder	MYO1C	2199	0.9603765274337122	8.588198554255726	0.003322396324408125	2.6820635493941296	3.0
Rest	frozen_module_decoder	NUDT16L1	2382	0.2605545178497487	8.567333584534136	0.0004156487393364124	0.603462490363829	3.0
Rest	frozen_module_decoder	PHF3	2565	0.6241938248799729	8.522111226068464	0.0012946307606107644	1.7396027699201735	3.0
Rest	frozen_module_decoder	PRKCI	2748	0.0	8.641057327958249	0.00017669997361522414	-0.2519248066095301	3.0
Rest	frozen_module_decoder	RDH10	2932	0.0	8.389132521348719	0.00022732439190725184	0.0	3.0
Rest	frozen_module_decoder	SEC23IP	3115	0.0	8.605675286824447	0.00018306389980225448	-0.2165427654757277	3.0
Rest	frozen_module_decoder	SLC66A2	3298	0.0	8.389132521348719	0.00022732439190725184	0.0	3.0
Rest	frozen_module_decoder	STX2	3481	0.0	8.389132521348719	0.00022732439190725184	0.0	3.0
Rest	frozen_module_decoder	TMEM141	3665	0.0	8.389132521348719	0.00022732439190725184	0.0	3.0
Rest	frozen_module_decoder	TSPYL1	3848	-0.0424488212470215	8.613194510950922	0.00015996732622278203	-0.351408453343268	3.0
Rest	frozen_module_decoder	VKORC1	4031	0.05518434637198451	8.513787149016654	0.00023681433750274983	0.04089841144801909	3.0
Rest	frozen_module_decoder	ZNF148	4214	0.915348533345823	8.553366543778761	0.003005471122524618	2.581811577607427	3.0
Rest	frozen_module_decoder	ZYX	4398	0.0	8.389132521348719	0.00022732439190725184	0.0	3.0
Stim8hr	nearest_centroid	AACS	0	-0.4668315492807125	8.389132521348719	0.00022732439190725184	0.0	0.0
Stim8hr	nearest_centroid	AP1S3	183	-0.01805026933987135	8.389132521348719	0.00022732439190725184	0.0	0.0
Stim8hr	nearest_centroid	BATF3	366	-1.7399435323925156	8.389132521348719	0.00022732439190725184	0.0	0.0
Stim8hr	nearest_centroid	CCDC127	549	-4.696856876817465	8.389132521348719	0.00022732439190725184	0.0	0.0
Stim8hr	nearest_centroid	CKAP4	733	-22.875495829203025	8.389132521348719	0.00022732439190725184	0.0	0.0
Stim8hr	nearest_centroid	DAPK3	916	-0.0	8.389132521348719	0.00022732439190725184	0.0	0.0
Stim8hr	nearest_centroid	EEF2K	1099	-3.980030304481455	8.389132521348719	0.00022732439190725184	0.0	0.0
Stim8hr	nearest_centroid	FDXR	1282	-0.8405799680168689	8.389132521348719	0.00022732439190725184	0.0	0.0
Stim8hr	nearest_centroid	GPR15	1466	-26.56122868284074	8.389132521348719	0.00022732439190725184	0.0	0.0
Stim8hr	nearest_centroid	IFI44L	1649	-3.0799076880761684	8.389132521348719	0.00022732439190725184	0.0	0.0
Stim8hr	nearest_centroid	KMT5B	1832	-12.710454047697318	8.389132521348719	0.00022732439190725184	0.0	0.0
Stim8hr	nearest_centroid	MARCHF8	2015	-3.8976609289612676	8.389132521348719	0.00022732439190725184	0.0	0.0
Stim8hr	nearest_centroid	MYO1C	2199	-3.640607197445016	8.389132521348719	0.00022732439190725184	0.0	0.0
Stim8hr	nearest_centroid	NUDT16L1	2382	-1.8613889062287103	8.389132521348719	0.00022732439190725184	0.0	0.0
Stim8hr	nearest_centroid	PHF3	2565	-2.609673878069063	8.389132521348719	0.00022732439190725184	0.0	0.0
Stim8hr	nearest_centroid	PRKCI	2748	-0.07260661916921114	8.389132521348719	0.00022732439190725184	0.0	0.0
Stim8hr	nearest_centroid	RDH10	2932	-0.549528328033205	8.389132521348719	0.00022732439190725184	0.0	0.0
Stim8hr	nearest_centroid	SEC23IP	3115	-0.18752227670335292	8.389132521348719	0.00022732439190725184	0.0	0.0
Stim8hr	nearest_centroid	SLC66A2	3298	-0.0	8.389132521348719	0.00022732439190725184	0.0	0.0
