state	model	bin	targets	mean_confidence	fractional_accuracy	intercept	slope
Rest	nearest_centroid	0	4399	0.00022732439190725184	0.00022732439190725157	NA	NA
Rest	nearest_centroid	1	0	NA	NA	NA	NA
Rest	nearest_centroid	2	0	NA	NA	NA	NA
Rest	nearest_centroid	3	0	NA	NA	NA	NA
Rest	nearest_centroid	4	0	NA	NA	NA	NA
Rest	nearest_centroid	5	0	NA	NA	NA	NA
Rest	nearest_centroid	6	0	NA	NA	NA	NA
Rest	nearest_centroid	7	0	NA	NA	NA	NA
Rest	nearest_centroid	8	0	NA	NA	NA	NA
Rest	nearest_centroid	9	0	NA	NA	NA	NA
Rest	RNA_fingerprint_cosine	0	3470	0.009385310648709663	0.08896417926613746	-0.6083743854134728	0.3182278751076121
Rest	RNA_fingerprint_cosine	1	248	0.1422841187515488	0.17641129032258066	-0.6083743854134728	0.3182278751076121
Rest	RNA_fingerprint_cosine	2	181	0.2503463748160466	0.15101289134438306	-0.6083743854134728	0.3182278751076121
Rest	RNA_fingerprint_cosine	3	116	0.34517492903824354	0.16235632183908044	-0.6083743854134728	0.3182278751076121
Rest	RNA_fingerprint_cosine	4	115	0.44165519543661047	0.2565217391304348	-0.6083743854134728	0.3182278751076121
Rest	RNA_fingerprint_cosine	5	65	0.5486514551477869	0.23076923076923078	-0.6083743854134728	0.3182278751076121
Rest	RNA_fingerprint_cosine	6	45	0.648576901131159	0.5111111111111111	-0.6083743854134728	0.3182278751076121
Rest	RNA_fingerprint_cosine	7	62	0.7591800425922547	0.3387096774193548	-0.6083743854134728	0.3182278751076121
Rest	RNA_fingerprint_cosine	8	97	0.8276080874118589	0.5876288659793815	-0.6083743854134728	0.3182278751076121
Rest	RNA_fingerprint_cosine	9	0	NA	NA	-0.6083743854134728	0.3182278751076121
Rest	frozen_module_decoder	0	4399	0.0015681803089386225	0.049047796683121744	14.499715023741254	2.8591373862873994
Rest	frozen_module_decoder	1	0	NA	NA	14.499715023741254	2.8591373862873994
Rest	frozen_module_decoder	2	0	NA	NA	14.499715023741254	2.8591373862873994
Rest	frozen_module_decoder	3	0	NA	NA	14.499715023741254	2.8591373862873994
Rest	frozen_module_decoder	4	0	NA	NA	14.499715023741254	2.8591373862873994
Rest	frozen_module_decoder	5	0	NA	NA	14.499715023741254	2.8591373862873994
Rest	frozen_module_decoder	6	0	NA	NA	14.499715023741254	2.8591373862873994
Rest	frozen_module_decoder	7	0	NA	NA	14.499715023741254	2.8591373862873994
Rest	frozen_module_decoder	8	0	NA	NA	14.499715023741254	2.8591373862873994
Rest	frozen_module_decoder	9	0	NA	NA	14.499715023741254	2.8591373862873994
Stim8hr	nearest_centroid	0	4399	0.00022732439190725184	0.00022732439190725157	NA	NA
Stim8hr	nearest_centroid	1	0	NA	NA	NA	NA
Stim8hr	nearest_centroid	2	0	NA	NA	NA	NA
Stim8hr	nearest_centroid	3	0	NA	NA	NA	NA
Stim8hr	nearest_centroid	4	0	NA	NA	NA	NA
Stim8hr	nearest_centroid	5	0	NA	NA	NA	NA
Stim8hr	nearest_centroid	6	0	NA	NA	NA	NA
Stim8hr	nearest_centroid	7	0	NA	NA	NA	NA
Stim8hr	nearest_centroid	8	0	NA	NA	NA	NA
Stim8hr	nearest_centroid	9	0	NA	NA	NA	NA
Stim8hr	RNA_fingerprint_cosine	0	3362	0.009821985166239222	0.1067797437603782	-0.5326890416261245	0.30722969183053195
