heldout_state	model	inner_training_state	inner_validation_state	inverse_temperature	log_loss	targets
Stim8hr	RNA_fingerprint_cosine	Stim48hr	Rest	0.0	8.389132521348719	4399
Stim8hr	RNA_fingerprint_cosine	Stim48hr	Rest	0.1	8.379594025424103	4399
Stim8hr	RNA_fingerprint_cosine	Stim48hr	Rest	0.3	8.360529477291225	4399
Stim8hr	RNA_fingerprint_cosine	Stim48hr	Rest	1.0	8.293946892756683	4399
Stim8hr	RNA_fingerprint_cosine	Stim48hr	Rest	3.0	8.105777497697147	4399
Stim8hr	RNA_fingerprint_cosine	Stim48hr	Rest	10.0	7.750142987474183	4399
Stim8hr	RNA_fingerprint_cosine	Stim48hr	Rest	30.0	10.23823101884101	4399
Stim8hr	frozen_module_decoder	Rest	Stim48hr	0.0	8.389132521348719	4399
Stim8hr	frozen_module_decoder	Rest	Stim48hr	0.1	8.378553944134435	4399
Stim8hr	frozen_module_decoder	Rest	Stim48hr	0.3	8.357855159101646	4399
Stim8hr	frozen_module_decoder	Rest	Stim48hr	1.0	8.290331263704092	4399
Stim8hr	frozen_module_decoder	Rest	Stim48hr	3.0	8.146064683361907	4399
Stim8hr	frozen_module_decoder	Rest	Stim48hr	10.0	8.721653300356872	4399
Stim8hr	frozen_module_decoder	Rest	Stim48hr	30.0	15.408177074499866	4399
Stim8hr	frozen_module_decoder	Stim48hr	Rest	0.0	8.389132521348719	4399
Stim8hr	frozen_module_decoder	Stim48hr	Rest	0.1	8.378266191274863	4399
Stim8hr	frozen_module_decoder	Stim48hr	Rest	0.3	8.357004282697497	4399
Stim8hr	frozen_module_decoder	Stim48hr	Rest	1.0	8.287642389277998	4399
Stim8hr	frozen_module_decoder	Stim48hr	Rest	3.0	8.139285920857567	4399
Stim8hr	frozen_module_decoder	Stim48hr	Rest	10.0	8.730053458097753	4399
Stim8hr	frozen_module_decoder	Stim48hr	Rest	30.0	15.276259111264723	4399
Stim48hr	nearest_centroid	Rest	Stim8hr	0.0	8.389132521348719	4399
Stim48hr	nearest_centroid	Rest	Stim8hr	0.1	8.476712758014248	4399
Stim48hr	nearest_centroid	Rest	Stim8hr	0.3	8.838474047843382	4399
Stim48hr	nearest_centroid	Rest	Stim8hr	1.0	10.37937391514918	4399
Stim48hr	nearest_centroid	Rest	Stim8hr	3.0	15.302404359432995	4399
Stim48hr	nearest_centroid	Rest	Stim8hr	10.0	33.77849640652254	4399
Stim48hr	nearest_centroid	Rest	Stim8hr	30.0	88.12310089108719	4399
Stim48hr	nearest_centroid	Stim8hr	Rest	0.0	8.389132521348719	4399
Stim48hr	nearest_centroid	Stim8hr	Rest	0.1	8.509028724002713	4399
Stim48hr	nearest_centroid	Stim8hr	Rest	0.3	8.977633024347023	4399
Stim48hr	nearest_centroid	Stim8hr	Rest	1.0	10.997292247842292	4399
Stim48hr	nearest_centroid	Stim8hr	Rest	3.0	17.66528329909367	4399
Stim48hr	nearest_centroid	Stim8hr	Rest	10.0	42.90659403386752	4399
Stim48hr	nearest_centroid	Stim8hr	Rest	30.0	116.75634088601304	4399
Stim48hr	RNA_fingerprint_cosine	Rest	Stim8hr	0.0	8.389132521348719	4399
Stim48hr	RNA_fingerprint_cosine	Rest	Stim8hr	0.1	8.378401141655544	4399
Stim48hr	RNA_fingerprint_cosine	Rest	Stim8hr	0.3	8.356947668382976	4399
Stim48hr	RNA_fingerprint_cosine	Rest	Stim8hr	1.0	8.281971374769856	4399
Stim48hr	RNA_fingerprint_cosine	Rest	Stim8hr	3.0	8.069453112020259	4399
Stim48hr	RNA_fingerprint_cosine	Rest	Stim8hr	10.0	7.608515909025299	4399
Stim48hr	RNA_fingerprint_cosine	Rest	Stim8hr	30.0	9.698061392663654	4399
Stim48hr	RNA_fingerprint_cosine	Stim8hr	Rest	0.0	8.389132521348719	4399
Stim48hr	RNA_fingerprint_cosine	Stim8hr	Rest	0.1	8.378339458363842	4399
Stim48hr	RNA_fingerprint_cosine	Stim8hr	Rest	0.3	8.356762633477627	4399
Stim48hr	RNA_fingerprint_cosine	Stim8hr	Rest	1.0	8.281355502966765	4399
Stim48hr	RNA_fingerprint_cosine	Stim8hr	Rest	3.0	8.067634228266591	4399
Stim48hr	RNA_fingerprint_cosine	Stim8hr	Rest	10.0	7.622535008471196	4399
Stim48hr	RNA_fingerprint_cosine	Stim8hr	Rest	30.0	10.104780002803862	4399
Stim48hr	frozen_module_decoder	Rest	Stim8hr	0.0	8.389132521348719	4399
Stim48hr	frozen_module_decoder	Rest	Stim8hr	0.1	8.37673652604859	4399
Stim48hr	frozen_module_decoder	Rest	Stim8hr	0.3	8.352386536224834	4399
Stim48hr	frozen_module_decoder	Rest	Stim8hr	1.0	8.271930913435732	4399
Stim48hr	frozen_module_decoder	Rest	Stim8hr	3.0	8.089696020936827	4399
Stim48hr	frozen_module_decoder	Rest	Stim8hr	10.0	8.517148562484806	4399
Stim48hr	frozen_module_decoder	Rest	Stim8hr	30.0	14.718485670042629	4399
Stim48hr	frozen_module_decoder	Stim8hr	Rest	0.0	8.389132521348719	4399
Stim48hr	frozen_module_decoder	Stim8hr	Rest	0.1	8.376248143776648	4399
Stim48hr	frozen_module_decoder	Stim8hr	Rest	0.3	8.350941156908691	4399
Stim48hr	frozen_module_decoder	Stim8hr	Rest	1.0	8.26735782785258	4399
Stim48hr	frozen_module_decoder	Stim8hr	Rest	3.0	8.078552000584175	4399
Stim48hr	frozen_module_decoder	Stim8hr	Rest	10.0	8.54427406676003	4399
Stim48hr	frozen_module_decoder	Stim8hr	Rest	30.0	14.790752665234777	4399
