state	model	classes	targets	information_nats	log_loss	fractional_top1_accuracy
Rest	label_prior	4399	4399	0.0	8.389132521348719	0.00022732439190725165
Stim8hr	label_prior	4399	4399	0.0	8.389132521348719	0.00022732439190725165
Stim48hr	label_prior	4399	4399	0.0	8.389132521348719	0.00022732439190725165
