cluster,disease,gene_set,odds_ratio,ci_low,ci_high,p_value,p_adj_fdr,cluster_size,in_cluster_in_disease,in_cluster_not_disease,not_cluster_in_disease,not_cluster_not_disease,intersecting_genes,negative_control_disease,culture_condition,significant,intersecting_gene_count,regulators,median_transfer_residual,median_abs_transfer_residual,amplified_fraction,buffered_fraction,median_log_response
41,chronic kidney disease,downstream_Stim48hr,0.5236846907471984,0.0128940493110762,3.1111063440567097,0.8522872684195808,1.0,100,1.0,99.0,55.0,2851.0,['SEC61A1'],True,Stim48hr,False,1,8,3.8452168477854825,3.8452168477854825,0.875,0.0,5.267339769480387
38,chronic kidney disease,downstream_Stim48hr,0.5236846907471984,0.0128940493110762,3.1111063440567097,0.8522872684195808,1.0,100,1.0,99.0,55.0,2851.0,['CCND2'],True,Stim48hr,False,1,2,4.514618461687362,4.514618461687362,1.0,0.0,6.081036867475925
41,age-related macular degeneration,downstream_Stim48hr,,,,1.0,1.0,100,,,,,[],True,Stim48hr,False,0,8,3.8452168477854825,3.8452168477854825,0.875,0.0,5.267339769480387
58,age-related macular degeneration,downstream_Stim48hr,1.0382263520319417,0.0251398896207601,6.414269990983109,0.6268694406040285,1.0,100,1.0,99.0,28.0,2878.0,['HSPH1'],True,Stim48hr,False,1,72,3.925021908202807,3.925021908202807,0.8472222222222222,0.0,6.032853260336767
64,age-related macular degeneration,downstream_Stim48hr,,,,1.0,1.0,100,,,,,[],True,Stim48hr,False,0,1,-0.011654128334252611,0.011654128334252611,0.0,0.0,4.330733340286331
64,chronic kidney disease,downstream_Stim48hr,,,,1.0,1.0,100,,,,,[],True,Stim48hr,False,0,1,-0.011654128334252611,0.011654128334252611,0.0,0.0,4.330733340286331
63,coronary artery disease,downstream_Stim48hr,1.202227632361133,0.496743125929432,2.5183093551189457,0.3675503440621187,1.0,100,8.0,92.0,196.0,2710.0,"['VAMP8', 'TTYH3', 'NPEPPS', 'VAMP5', 'ARHGEF12', 'CHAC1', 'DUSP6', 'PTPN11']",True,Stim48hr,False,8,3,3.167748568564128,3.167748568564128,0.6666666666666666,0.0,5.176149732573829
63,chronic kidney disease,downstream_Stim48hr,0.5236846907471984,0.0128940493110762,3.1111063440567097,0.8522872684195808,1.0,100,1.0,99.0,55.0,2851.0,['SLC7A5'],True,Stim48hr,False,1,3,3.167748568564128,3.167748568564128,0.6666666666666666,0.0,5.176149732573829
58,chronic kidney disease,downstream_Stim48hr,1.077825557399584,0.1255053022552586,4.192417811766614,0.562146511895432,1.0,100,2.0,98.0,54.0,2852.0,"['IDI1', 'CDC123']",True,Stim48hr,False,2,72,3.925021908202807,3.925021908202807,0.8472222222222222,0.0,6.032853260336767
58,coronary artery disease,downstream_Stim48hr,1.5529929287684618,0.7086515619368987,3.053346655208283,0.1373634243315296,1.0,100,10.0,90.0,194.0,2712.0,"['TNIK', 'CPNE1', 'ATF7IP', 'FADS2', 'MCL1', 'CDC123', 'PLCG1', 'FEN1', 'KDM4B', 'CXCR4']",True,Stim48hr,False,10,72,3.925021908202807,3.925021908202807,0.8472222222222222,0.0,6.032853260336767
63,age-related macular degeneration,downstream_Stim48hr,,,,1.0,1.0,100,,,,,[],True,Stim48hr,False,0,3,3.167748568564128,3.167748568564128,0.6666666666666666,0.0,5.176149732573829
37,age-related macular degeneration,downstream_Stim48hr,,,,1.0,1.0,100,,,,,[],True,Stim48hr,False,0,1,3.1664290151977825,3.1664290151977825,1.0,0.0,4.499809670330265
33,chronic kidney disease,downstream_Stim48hr,1.077825557399584,0.1255053022552586,4.192417811766614,0.562146511895432,1.0,100,2.0,98.0,54.0,2852.0,"['NHERF1', 'MMADHC']",True,Stim48hr,False,2,3,3.1599774939368563,3.1599774939368563,1.0,0.0,5.332718793265369
33,coronary artery disease,downstream_Stim48hr,0.7160177490686046,0.224694752009804,1.7597107795931302,0.820924123053822,1.0,100,5.0,95.0,199.0,2707.0,"['TXNDC17', 'STXBP5', 'RNF213', 'FADS2', 'TNIK']",True,Stim48hr,False,5,3,3.1599774939368563,3.1599774939368563,1.0,0.0,5.332718793265369
33,age-related macular degeneration,downstream_Stim48hr,,,,1.0,1.0,100,,,,,[],True,Stim48hr,False,0,3,3.1599774939368563,3.1599774939368563,1.0,0.0,5.332718793265369
36,age-related macular degeneration,downstream_Stim48hr,,,,1.0,1.0,100,,,,,[],True,Stim48hr,False,0,4,4.715794563893388,4.715794563893388,1.0,0.0,6.4748756651946335
36,chronic kidney disease,downstream_Stim48hr,0.5236846907471984,0.0128940493110762,3.1111063440567097,0.8522872684195808,1.0,100,1.0,99.0,55.0,2851.0,['RAB5A'],True,Stim48hr,False,1,4,4.715794563893388,4.715794563893388,1.0,0.0,6.4748756651946335
36,coronary artery disease,downstream_Stim48hr,0.8730225187086947,0.3085671227648485,2.007777947445601,0.6837675156354472,1.0,100,6.0,94.0,198.0,2708.0,"['CPNE1', 'ITPR1', 'SUPT4H1', 'CBX5', 'RSRP1', 'DARS1']",True,Stim48hr,False,6,4,4.715794563893388,4.715794563893388,1.0,0.0,6.4748756651946335
35,age-related macular degeneration,downstream_Stim48hr,,,,1.0,1.0,100,,,,,[],True,Stim48hr,False,0,3,3.6271670473888094,3.6271670473888094,1.0,0.0,4.74493212836325
7,coronary artery disease,downstream_Rest,0.3884872905361077,0.0780665482236306,1.1864486669280674,0.9800556567430104,1.0,100,3.0,97.0,206.0,2587.0,"['CDKN1A', 'STN1', 'ACTR2']",True,Rest,False,3,7,4.960868553421712,4.960868553421712,0.8571428571428571,0.0,6.144185634125646
8,age-related macular degeneration,downstream_Rest,1.1653378752139971,0.0280597380746524,7.296733450479892,0.5865330745344579,1.0,100,1.0,99.0,24.0,2769.0,['IL10RB'],True,Rest,False,1,2,4.365936948943885,4.365936948943885,1.0,0.0,5.76697152009635
8,chronic kidney disease,downstream_Rest,1.2749267750548725,0.1476329005388033,5.012029863848084,0.4766834523459839,1.0,100,2.0,98.0,44.0,2749.0,"['UBC', 'MYH9']",True,Rest,False,2,2,4.365936948943885,4.365936948943885,1.0,0.0,5.76697152009635
8,coronary artery disease,downstream_Rest,0.3884872905361077,0.0780665482236306,1.1864486669280674,0.9800556567430104,1.0,100,3.0,97.0,206.0,2587.0,"['UBC', 'NDUFA12', 'RSRP1']",True,Rest,False,3,2,4.365936948943885,4.365936948943885,1.0,0.0,5.76697152009635
7,chronic kidney disease,downstream_Rest,1.9773045512753644,0.3857214999591298,6.3511386442605415,0.2112252649704356,1.0,100,3.0,97.0,43.0,2750.0,"['ZMIZ1', 'MYH9', 'USP25']",True,Rest,False,3,7,4.960868553421712,4.960868553421712,0.8571428571428571,0.0,6.144185634125646
6,age-related macular degeneration,downstream_Rest,,,,1.0,1.0,102,,,,,[],True,Rest,False,0,2,4.2976627540450085,4.2976627540450085,1.0,0.0,6.185666407197917
6,chronic kidney disease,downstream_Rest,0.6042647671564498,0.0148232285101666,3.620817464955448,0.8106850587183765,1.0,102,1.0,101.0,45.0,2746.0,['ARHGDIA'],True,Rest,False,1,2,4.2976627540450085,4.2976627540450085,1.0,0.0,6.185666407197917
6,coronary artery disease,downstream_Rest,1.2536024853594616,0.5475232430302387,2.533807104820474,0.3149566052866532,1.0,102,9.0,93.0,200.0,2591.0,"['HEXA', 'FHL3', 'ADAM19', 'UHRF1', 'CTSA', 'LTBP3', 'SUPT4H1', 'DLG4', 'NCALD']",True,Rest,False,9,2,4.2976627540450085,4.2976627540450085,1.0,0.0,6.185666407197917
7,age-related macular degeneration,downstream_Rest,1.1653378752139971,0.0280597380746524,7.296733450479892,0.5865330745344579,1.0,100,1.0,99.0,24.0,2769.0,['GPR108'],True,Rest,False,1,7,4.960868553421712,4.960868553421712,0.8571428571428571,0.0,6.144185634125646
19,age-related macular degeneration,downstream_Rest,,,,1.0,1.0,100,,,,,[],True,Rest,False,0,2,3.203674728338225,3.203674728338225,1.0,0.0,4.837979701452047
21,age-related macular degeneration,downstream_Rest,,,,1.0,1.0,100,,,,,[],True,Rest,False,0,1,5.017559032558759,5.017559032558759,1.0,0.0,6.300785794663244
21,chronic kidney disease,downstream_Rest,,,,1.0,1.0,100,,,,,[],True,Rest,False,0,1,5.017559032558759,5.017559032558759,1.0,0.0,6.300785794663244
17,age-related macular degeneration,downstream_Rest,,,,1.0,1.0,100,,,,,[],True,Rest,False,0,2,4.812600689168617,4.812600689168617,1.0,0.0,6.360175152080916
17,chronic kidney disease,downstream_Rest,1.2749267750548725,0.1476329005388033,5.012029863848084,0.4766834523459839,1.0,100,2.0,98.0,44.0,2749.0,"['NHERF1', 'ZNF254']",True,Rest,False,2,2,4.812600689168617,4.812600689168617,1.0,0.0,6.360175152080916
17,coronary artery disease,downstream_Rest,0.6680360460307426,0.2096843978365914,1.641242133196597,0.8609211082018353,1.0,100,5.0,95.0,204.0,2589.0,"['CLDN5', 'MAD1L1', 'MAGI3', 'ZNF607', 'AIDA']",True,Rest,False,5,2,4.812600689168617,4.812600689168617,1.0,0.0,6.360175152080916
2,age-related macular degeneration,downstream_Rest,,,,1.0,1.0,100,,,,,[],True,Rest,False,0,4,4.200646626524761,4.200646626524761,1.0,0.0,5.597103349366495
2,chronic kidney disease,downstream_Rest,0.616918302676674,0.0151307419075975,3.698210943192745,0.8042904364516557,1.0,100,1.0,99.0,45.0,2748.0,['PTPN22'],True,Rest,False,1,4,4.200646626524761,4.200646626524761,1.0,0.0,5.597103349366495
2,coronary artery disease,downstream_Rest,0.8144333114306317,0.2879298982038774,1.872371015079536,0.7416129792517673,1.0,100,6.0,94.0,203.0,2590.0,"['PTPN22', 'TXNDC17', 'NME7', 'HNRNPUL1', 'INO80', 'HSD17B6']",True,Rest,False,6,4,4.200646626524761,4.200646626524761,1.0,0.0,5.597103349366495
0,coronary artery disease,downstream_Rest,0.5261069131361014,0.1390944759824094,1.413135402368641,0.9393989399731072,1.0,100,4.0,96.0,205.0,2588.0,"['NDUFAF6', 'ATF1', 'KAT6B', 'TRIM69']",True,Rest,False,4,1,4.416719938228225,4.416719938228225,1.0,0.0,6.5722825426940075
0,chronic kidney disease,downstream_Rest,,,,1.0,1.0,100,,,,,[],True,Rest,False,0,1,4.416719938228225,4.416719938228225,1.0,0.0,6.5722825426940075
0,age-related macular degeneration,downstream_Rest,1.1653378752139971,0.0280597380746524,7.296733450479892,0.5865330745344579,1.0,100,1.0,99.0,24.0,2769.0,['CDC73'],True,Rest,False,1,1,4.416719938228225,4.416719938228225,1.0,0.0,6.5722825426940075
10,age-related macular degeneration,downstream_Stim8hr,,,,1.0,1.0,100,,,,,[],True,Stim8hr,False,0,23,5.40384379706049,5.40384379706049,0.9565217391304348,0.0,6.70808408385307
10,chronic kidney disease,downstream_Stim8hr,,,,1.0,1.0,100,,,,,[],True,Stim8hr,False,0,23,5.40384379706049,5.40384379706049,0.9565217391304348,0.0,6.70808408385307
15,age-related macular degeneration,downstream_Stim8hr,,,,1.0,1.0,100,,,,,[],True,Stim8hr,False,0,30,4.217321855692408,4.217321855692408,1.0,0.0,6.056320350368811
15,chronic kidney disease,downstream_Stim8hr,0.5077353552629229,0.0125263944045242,3.002432310222252,0.8606577184719362,1.0,100,1.0,99.0,62.0,3116.0,['CCND2'],True,Stim8hr,False,1,30,4.217321855692408,4.217321855692408,1.0,0.0,6.056320350368811
0,age-related macular degeneration,downstream_Stim8hr,2.858404753592299,0.5522560976465712,9.336727022058543,0.1015639678448162,1.0,100,3.0,97.0,34.0,3144.0,"['CDC73', 'FYB1', 'CHMP7']",True,Stim8hr,False,3,3,3.8388519799323544,3.8388519799323544,1.0,0.0,6.661854740545311
0,chronic kidney disease,downstream_Stim8hr,,,,1.0,1.0,100,,,,,[],True,Stim8hr,False,0,3,3.8388519799323544,3.8388519799323544,1.0,0.0,6.661854740545311
0,coronary artery disease,downstream_Stim8hr,0.7885375984489204,0.2792686330657657,1.8082653411134448,0.767010067546638,1.0,100,6.0,94.0,238.0,2940.0,"['GNL2', 'DCPS', 'PCIF1', 'NDUFAF6', 'SGF29', 'BPTF']",True,Stim8hr,False,6,3,3.8388519799323544,3.8388519799323544,1.0,0.0,6.661854740545311
15,coronary artery disease,downstream_Stim8hr,0.9340509538044556,0.3613014333857979,2.033644511339173,0.6248917870890556,1.0,100,7.0,93.0,237.0,2941.0,"['PSPH', 'CPNE1', 'TTC17', 'CCND2', 'SLC5A3', 'RBMX', 'DOT1L']",True,Stim8hr,False,7,30,4.217321855692408,4.217321855692408,1.0,0.0,6.056320350368811
24,chronic kidney disease,downstream_Stim8hr,0.5077353552629229,0.0125263944045242,3.002432310222252,0.8606577184719362,1.0,100,1.0,99.0,62.0,3116.0,['NR1H3'],True,Stim8hr,False,1,2,3.1836830291568483,3.1836830291568483,1.0,0.0,4.977636612842679
24,coronary artery disease,downstream_Stim8hr,0.3769854911125287,0.0758489540644964,1.1489554233250865,0.9832504972736208,1.0,100,3.0,97.0,241.0,2937.0,"['ODC1', 'ACYP1', 'FGFBP3']",True,Stim8hr,False,3,2,3.1836830291568483,3.1836830291568483,1.0,0.0,4.977636612842679
26,age-related macular degeneration,downstream_Stim8hr,,,,1.0,1.0,100,,,,,[],True,Stim8hr,False,0,2,5.245777756939507,5.245777756939507,1.0,0.0,6.5773630061106605
24,age-related macular degeneration,downstream_Stim8hr,,,,1.0,1.0,100,,,,,[],True,Stim8hr,False,0,2,3.1836830291568483,3.1836830291568483,1.0,0.0,4.977636612842679
17,age-related macular degeneration,downstream_Stim8hr,0.8816257155068605,0.0215096979264015,5.350493293209569,0.6842340380968435,1.0,100,1.0,99.0,36.0,3142.0,['MFF'],True,Stim8hr,False,1,2,4.174919168897022,4.174919168897022,1.0,0.0,6.100449643378088
17,chronic kidney disease,downstream_Stim8hr,0.5077353552629229,0.0125263944045242,3.002432310222252,0.8606577184719362,1.0,100,1.0,99.0,62.0,3116.0,['MFF'],True,Stim8hr,False,1,2,4.174919168897022,4.174919168897022,1.0,0.0,6.100449643378088
17,coronary artery disease,downstream_Stim8hr,0.3769854911125287,0.0758489540644964,1.1489554233250865,0.9832504972736208,1.0,100,3.0,97.0,241.0,2937.0,"['ZNF607', 'COPRS', 'ZC3H12D']",True,Stim8hr,False,3,2,4.174919168897022,4.174919168897022,1.0,0.0,6.100449643378088
105,age-related macular degeneration,downstream_Rest,1.1653378752139971,0.0280597380746524,7.296733450479892,0.5865330745344579,1.0,100,1.0,99.0,24.0,2769.0,['NLRC5'],True,Rest,False,1,20,3.5804167020856843,3.5804167020856843,0.9,0.0,5.645078421680546
105,chronic kidney disease,downstream_Rest,,,,1.0,1.0,100,,,,,[],True,Rest,False,0,20,3.5804167020856843,3.5804167020856843,0.9,0.0,5.645078421680546
105,coronary artery disease,downstream_Rest,0.6680360460307426,0.2096843978365914,1.641242133196597,0.8609211082018353,1.0,100,5.0,95.0,204.0,2589.0,"['MAD2L1', 'CYTH1', 'OAS2', 'CTSS', 'PLCG1']",True,Rest,False,5,20,3.5804167020856843,3.5804167020856843,0.9,0.0,5.645078421680546
101,chronic kidney disease,downstream_Rest,,,,1.0,1.0,100,,,,,[],True,Rest,False,0,31,4.058729821579905,4.058729821579905,0.8709677419354839,0.0,5.7430031878094825
101,coronary artery disease,downstream_Rest,0.6680360460307426,0.2096843978365914,1.641242133196597,0.8609211082018353,1.0,100,5.0,95.0,204.0,2589.0,"['MAD2L1', 'CYTH1', 'NOP58', 'TANK', 'CTSS']",True,Rest,False,5,31,4.058729821579905,4.058729821579905,0.8709677419354839,0.0,5.7430031878094825
101,age-related macular degeneration,downstream_Rest,1.1653378752139971,0.0280597380746524,7.296733450479892,0.5865330745344579,1.0,100,1.0,99.0,24.0,2769.0,['NUDC'],True,Rest,False,1,31,4.058729821579905,4.058729821579905,0.8709677419354839,0.0,5.7430031878094825
68,age-related macular degeneration,downstream_Stim8hr,1.8322027651173127,0.2105611103473289,7.308903456651946,0.3123899709289001,1.0,100,2.0,98.0,35.0,3143.0,"['HSPH1', 'VEGFA']",True,Stim8hr,False,2,6,4.07999292988336,4.07999292988336,1.0,0.0,6.040288723725983
68,chronic kidney disease,downstream_Stim8hr,1.0428100916845988,0.1217748707882049,4.03432329649542,0.578932309734195,1.0,100,2.0,98.0,61.0,3117.0,"['SLC7A5', 'VEGFA']",True,Stim8hr,False,2,6,4.07999292988336,4.07999292988336,1.0,0.0,6.040288723725983
68,coronary artery disease,downstream_Stim8hr,0.7885375984489204,0.2792686330657657,1.8082653411134448,0.767010067546638,1.0,100,6.0,94.0,238.0,2940.0,"['RHOF', 'SPC24', 'DEPDC1B', 'MTHFD1L', 'CHAC1', 'VEGFA']",True,Stim8hr,False,6,6,4.07999292988336,4.07999292988336,1.0,0.0,6.040288723725983
69,age-related macular degeneration,downstream_Stim8hr,0.8816257155068605,0.0215096979264015,5.350493293209569,0.6842340380968435,1.0,100,1.0,99.0,36.0,3142.0,['HSPH1'],True,Stim8hr,False,1,1,4.412736644157345,4.412736644157345,1.0,0.0,6.077642243349034
60,chronic kidney disease,downstream_Stim8hr,,,,1.0,1.0,100,,,,,[],True,Stim8hr,False,0,28,3.9636691526160037,3.9636691526160037,0.8928571428571429,0.0,5.679344890765133
67,age-related macular degeneration,downstream_Stim8hr,,,,1.0,1.0,100,,,,,[],True,Stim8hr,False,0,1,3.2317752492982796,3.2317752492982796,1.0,0.0,5.056245805348308
67,chronic kidney disease,downstream_Stim8hr,1.0428100916845988,0.1217748707882049,4.03432329649542,0.578932309734195,1.0,100,2.0,98.0,61.0,3117.0,"['SLC7A5', 'DPP4']",True,Stim8hr,False,2,1,3.2317752492982796,3.2317752492982796,1.0,0.0,5.056245805348308
67,coronary artery disease,downstream_Stim8hr,1.3977474651004516,0.6394970887080654,2.738674607518226,0.2072634141724887,1.0,100,10.0,90.0,234.0,2944.0,"['TBL1X', 'NEDD4', 'CCNL1', 'CAD', 'UHRF1', 'EIF3F', 'GADD45G', 'FEN1', 'CHAC1', 'CCT6A']",True,Stim8hr,False,10,1,3.2317752492982796,3.2317752492982796,1.0,0.0,5.056245805348308
69,chronic kidney disease,downstream_Stim8hr,,,,1.0,1.0,100,,,,,[],True,Stim8hr,False,0,1,4.412736644157345,4.412736644157345,1.0,0.0,6.077642243349034
86,age-related macular degeneration,downstream_Stim8hr,,,,1.0,1.0,100,,,,,[],True,Stim8hr,False,0,3,3.624782693657192,3.624782693657192,1.0,0.0,5.123963979403259
88,age-related macular degeneration,downstream_Stim8hr,,,,1.0,1.0,100,,,,,[],True,Stim8hr,False,0,44,3.7287063102775093,3.7287063102775093,0.8636363636363636,0.0,5.465838688453846
79,age-related macular degeneration,downstream_Stim8hr,,,,1.0,1.0,100,,,,,[],True,Stim8hr,False,0,3,4.142877643313533,4.142877643313533,1.0,0.0,6.340359303727752
41,age-related macular degeneration,downstream_Stim8hr,,,,1.0,1.0,100,,,,,[],True,Stim8hr,False,0,19,3.8698047096590344,3.8698047096590344,0.9473684210526315,0.0,5.501258210544727
41,chronic kidney disease,downstream_Stim8hr,1.0428100916845988,0.1217748707882049,4.03432329649542,0.578932309734195,1.0,100,2.0,98.0,61.0,3117.0,"['SEC61A1', 'DSTYK']",True,Stim8hr,False,2,19,3.8698047096590344,3.8698047096590344,0.9473684210526315,0.0,5.501258210544727
41,coronary artery disease,downstream_Stim8hr,1.2384903870245123,0.5417577588386395,2.4982434677740266,0.3258204652173432,1.0,100,9.0,91.0,235.0,2943.0,"['TMCC2', 'DNAJA4', 'DSTYK', 'PIP4K2B', 'OSM', 'CXCL8', 'BAZ1B', 'GIT1', 'SELENOS']",True,Stim8hr,False,9,19,3.8698047096590344,3.8698047096590344,0.9473684210526315,0.0,5.501258210544727
42,age-related macular degeneration,downstream_Stim8hr,,,,1.0,1.0,100,,,,,[],True,Stim8hr,False,0,1,2.774224030193482,2.774224030193482,1.0,0.0,6.0867747269123065
37,age-related macular degeneration,downstream_Stim8hr,0.8816257155068605,0.0215096979264015,5.350493293209569,0.6842340380968435,1.0,100,1.0,99.0,36.0,3142.0,['CDC73'],True,Stim8hr,False,1,3,5.336285586514663,5.336285586514663,1.0,0.0,6.621405651764134
37,chronic kidney disease,downstream_Stim8hr,,,,1.0,1.0,100,,,,,[],True,Stim8hr,False,0,3,5.336285586514663,5.336285586514663,1.0,0.0,6.621405651764134
37,coronary artery disease,downstream_Stim8hr,0.6472865223487569,0.2034987371592077,1.5864793849695729,0.8774247985429715,1.0,100,5.0,95.0,239.0,2939.0,"['SLC5A3', 'UNC13D', 'MLX', 'EHBP1L1', 'RSRP1']",True,Stim8hr,False,5,3,5.336285586514663,5.336285586514663,1.0,0.0,6.621405651764134
46,age-related macular degeneration,downstream_Stim8hr,,,,1.0,1.0,100,,,,,[],True,Stim8hr,False,0,4,4.612218165472134,4.612218165472134,0.75,0.0,6.511548792233841
42,chronic kidney disease,downstream_Stim8hr,1.6069271918125054,0.3168063302721522,5.068396765593238,0.3015453096006922,1.0,100,3.0,97.0,60.0,3118.0,"['TMEM154', 'APRT', 'TBL1XR1']",True,Stim8hr,False,3,1,2.774224030193482,2.774224030193482,1.0,0.0,6.0867747269123065
42,coronary artery disease,downstream_Stim8hr,0.7885375984489204,0.2792686330657657,1.8082653411134448,0.767010067546638,1.0,100,6.0,94.0,238.0,2940.0,"['PLCG2', 'WIPI1', 'CDKN1A', 'RBMX', 'BMPR2', 'GIT1']",True,Stim8hr,False,6,1,2.774224030193482,2.774224030193482,1.0,0.0,6.0867747269123065
45,age-related macular degeneration,downstream_Stim8hr,,,,1.0,1.0,100,,,,,[],True,Stim8hr,False,0,2,2.4403668609667237,2.4403668609667237,0.5,0.0,5.266780902060056
45,chronic kidney disease,downstream_Stim8hr,1.0428100916845988,0.1217748707882049,4.03432329649542,0.578932309734195,1.0,100,2.0,98.0,61.0,3117.0,"['ACTN4', 'NUDT5']",True,Stim8hr,False,2,2,2.4403668609667237,2.4403668609667237,0.5,0.0,5.266780902060056
45,coronary artery disease,downstream_Stim8hr,0.3769854911125287,0.0758489540644964,1.1489554233250865,0.9832504972736208,1.0,100,3.0,97.0,241.0,2937.0,"['PCCB', 'NUDT5', 'PPP1CB']",True,Stim8hr,False,3,2,2.4403668609667237,2.4403668609667237,0.5,0.0,5.266780902060056
39,chronic kidney disease,downstream_Rest,0.616918302676674,0.0151307419075975,3.698210943192745,0.8042904364516557,1.0,100,1.0,99.0,45.0,2748.0,['ARHGDIA'],True,Rest,False,1,3,4.802277642428423,4.802277642428423,1.0,0.0,6.013715156042802
39,coronary artery disease,downstream_Rest,0.8144333114306317,0.2879298982038774,1.872371015079536,0.7416129792517673,1.0,100,6.0,94.0,203.0,2590.0,"['TMEM116', 'UNC13D', 'VAMP5', 'TCEA2', 'FBXL17', 'CHD6']",True,Rest,False,6,3,4.802277642428423,4.802277642428423,1.0,0.0,6.013715156042802
45,age-related macular degeneration,downstream_Rest,,,,1.0,1.0,100,,,,,[],True,Rest,False,0,1,3.1638126877305592,3.1638126877305592,1.0,0.0,4.68213122712422
37,chronic kidney disease,downstream_Rest,0.616918302676674,0.0151307419075975,3.698210943192745,0.8042904364516557,1.0,100,1.0,99.0,45.0,2748.0,['RASGRP1'],True,Rest,False,1,1,4.201387475341758,4.201387475341758,1.0,0.0,5.5093883366279774
37,coronary artery disease,downstream_Rest,1.1213033080172758,0.463439839044796,2.3478746287589574,0.4362811774762614,1.0,100,8.0,92.0,201.0,2592.0,"['RHOF', 'VAMP8', 'RASGRP1', 'UNC13D', 'TSPAN3', 'BORCS7', 'RSRP1', 'LDLR']",True,Rest,False,8,1,4.201387475341758,4.201387475341758,1.0,0.0,5.5093883366279774
45,chronic kidney disease,downstream_Rest,,,,1.0,1.0,100,,,,,[],True,Rest,False,0,1,3.1638126877305592,3.1638126877305592,1.0,0.0,4.68213122712422
45,coronary artery disease,downstream_Rest,0.2550254125763706,0.0302421747305328,0.958559952843116,0.9956100676101712,1.0,100,2.0,98.0,207.0,2586.0,"['PCIF1', 'CTSA']",True,Rest,False,2,1,3.1638126877305592,3.1638126877305592,1.0,0.0,4.68213122712422
51,coronary artery disease,downstream_Rest,1.2821311006547862,0.5596213933717853,2.5937879055602204,0.2944601702311499,1.0,100,9.0,91.0,200.0,2593.0,"['TXNDC17', 'VAMP8', 'RASGRP1', 'CDKN1A', 'MAT2A', 'HOPX', 'KAT6B', 'MTHFD1L', 'VEGFA']",True,Rest,False,9,16,3.114180490400751,3.114180490400751,0.75,0.0,5.56059286574027
28,age-related macular degeneration,downstream_Rest,,,,1.0,1.0,100,,,,,[],True,Rest,False,0,18,3.4123444842535076,3.4123444842535076,0.7777777777777778,0.0,5.51699301503328
28,chronic kidney disease,downstream_Rest,1.2749267750548725,0.1476329005388033,5.012029863848084,0.4766834523459839,1.0,100,2.0,98.0,44.0,2749.0,"['NHERF1', 'USP25']",True,Rest,False,2,18,3.4123444842535076,3.4123444842535076,0.7777777777777778,0.0,5.51699301503328
28,coronary artery disease,downstream_Rest,1.4481380386913412,0.6610201983851856,2.845972587613541,0.1820826552987848,1.0,100,10.0,90.0,199.0,2594.0,"['HYOU1', 'MAN2A2', 'TXNDC17', 'SLC5A3', 'SPECC1L', 'THOC7', 'NR3C1', 'CCDC92', 'ATG16L2', 'JUN']",True,Rest,False,10,18,3.4123444842535076,3.4123444842535076,0.7777777777777778,0.0,5.51699301503328
25,age-related macular degeneration,downstream_Rest,,,,1.0,1.0,100,,,,,[],True,Rest,False,0,7,3.167748049770774,3.167748049770774,1.0,0.0,5.4680601411351315
26,coronary artery disease,downstream_Rest,0.2550254125763706,0.0302421747305328,0.958559952843116,0.9956100676101712,1.0,100,2.0,98.0,207.0,2586.0,"['ANLN', 'TC2N']",True,Rest,False,2,8,3.4470657055016174,3.4470657055016174,1.0,0.0,5.074685295409914
32,age-related macular degeneration,downstream_Rest,1.1653378752139971,0.0280597380746524,7.296733450479892,0.5865330745344579,1.0,100,1.0,99.0,24.0,2769.0,['CX3CR1'],True,Rest,False,1,1,2.7046181455455818,2.7046181455455818,1.0,0.0,5.056245805348308
32,chronic kidney disease,downstream_Rest,,,,1.0,1.0,100,,,,,[],True,Rest,False,0,1,2.7046181455455818,2.7046181455455818,1.0,0.0,5.056245805348308
32,coronary artery disease,downstream_Rest,1.1213033080172758,0.463439839044796,2.3478746287589574,0.4362811774762614,1.0,100,8.0,92.0,201.0,2592.0,"['HEXA', 'CAPN2', 'SUMF2', 'PREX1', 'HOPX', 'KAT6B', 'SAMD3', 'ZNF827']",True,Rest,False,8,1,2.7046181455455818,2.7046181455455818,1.0,0.0,5.056245805348308
89,age-related macular degeneration,downstream_Rest,,,,1.0,1.0,100,,,,,[],True,Rest,False,0,3,2.6110849381855195,2.6110849381855195,0.6666666666666666,0.0,4.927253685157205
69,chronic kidney disease,downstream_Rest,,,,1.0,1.0,44,,,,,[],True,Rest,False,0,1,3.766017829917499,3.766017829917499,1.0,0.0,5.298317366548036
69,age-related macular degeneration,downstream_Rest,,,,1.0,1.0,44,,,,,[],True,Rest,False,0,1,3.766017829917499,3.766017829917499,1.0,0.0,5.298317366548036
