cluster,disease,gene_set,odds_ratio,ci_low,ci_high,p_value,p_adj_fdr,cluster_size,in_cluster_in_disease,in_cluster_not_disease,not_cluster_in_disease,not_cluster_not_disease,intersecting_genes,negative_control_disease,culture_condition,significant,intersecting_gene_count,regulators,median_transfer_residual,median_abs_transfer_residual,amplified_fraction,buffered_fraction,median_log_response
6,chronic kidney disease,downstream_Stim8hr,1.0428100916845988,0.1217748707882049,4.03432329649542,0.578932309734195,0.972544774028124,100,2.0,98.0,61.0,3117.0,"['ANLN', 'CDKN2A']",True,Stim8hr,False,2,4,3.618903808962134,3.618903808962134,1.0,0.0,6.079254614299282
6,age-related macular degeneration,downstream_Stim8hr,0.8816257155068605,0.0215096979264015,5.350493293209569,0.6842340380968435,0.972544774028124,100,1.0,99.0,36.0,3142.0,['BABAM1'],True,Stim8hr,False,1,4,3.618903808962134,3.618903808962134,1.0,0.0,6.079254614299282
21,coronary artery disease,downstream_Stim8hr,1.0839812936283804,0.4489370969545186,2.2634199708726817,0.470451112372145,0.972544774028124,100,8.0,92.0,236.0,2942.0,"['CYTH1', 'ARHGAP15', 'TOMM40', 'SMAD3', 'DCUN1D5', 'RASGRP1', 'CXCR4', 'CCT6A']",True,Stim8hr,False,8,53,4.043682962339548,4.043682962339548,0.9433962264150944,0.0,6.20455776256869
21,chronic kidney disease,downstream_Stim8hr,0.5077353552629229,0.0125263944045242,3.002432310222252,0.8606577184719362,0.972544774028124,100,1.0,99.0,62.0,3116.0,['RASGRP1'],True,Stim8hr,False,1,53,4.043682962339548,4.043682962339548,0.9433962264150944,0.0,6.20455776256869
105,age-related macular degeneration,downstream_Stim8hr,0.8816257155068605,0.0215096979264015,5.350493293209569,0.6842340380968435,0.9749153005186844,100,1.0,99.0,36.0,3142.0,['TNFRSF10A'],True,Stim8hr,False,1,1,5.617414785772023,5.617414785772023,1.0,0.0,7.186144304522325
105,coronary artery disease,downstream_Stim8hr,1.2384903870245123,0.5417577588386395,2.4982434677740266,0.3258204652173432,0.9749153005186844,100,9.0,91.0,235.0,2943.0,"['SPRY1', 'HAPLN3', 'MAD2L1', 'SPC24', 'PRKAR1B', 'PHB1', 'ZC3H12D', 'DEPDC1B', 'YBX3']",True,Stim8hr,False,9,1,5.617414785772023,5.617414785772023,1.0,0.0,7.186144304522325
82,coronary artery disease,downstream_Stim48hr,0.5638354880953751,0.1490397233855321,1.5149458905717097,0.9176123877104736,0.974963161942378,100,4.0,96.0,200.0,2706.0,"['ADAM19', 'CSF2', 'OSM', 'DENND5A']",True,Stim48hr,False,4,1,4.4854727914961785,4.4854727914961785,1.0,0.0,6.135564891081739
33,coronary artery disease,downstream_Stim8hr,1.0839812936283804,0.4489370969545186,2.2634199708726817,0.470451112372145,0.9753820096696276,100,8.0,92.0,236.0,2942.0,"['TBL1X', 'NEDD4', 'ATP2B1', 'CPNE1', 'FADS2', 'ODC1', 'FADS1', 'VEGFA']",True,Stim8hr,False,8,5,4.356692923464771,4.356692923464771,0.8,0.0,6.3473892096560105
48,chronic kidney disease,downstream_Rest,0.616918302676674,0.0151307419075975,3.698210943192745,0.8042904364516557,0.9766383871198676,100,1.0,99.0,45.0,2748.0,['VEGFA'],True,Rest,False,1,5,2.6926795766396565,2.6926795766396565,0.8,0.0,4.997212273764115
33,coronary artery disease,downstream_Rest,0.8144333114306317,0.2879298982038774,1.872371015079536,0.7416129792517673,0.9771153964216336,100,6.0,94.0,203.0,2590.0,"['MAP2K3', 'VAMP8', 'TSPAN2', 'MTHFD1L', 'CHAC1', 'VEGFA']",True,Rest,False,6,4,4.718242627848973,4.718242627848973,1.0,0.0,6.283698880322069
33,chronic kidney disease,downstream_Rest,1.9773045512753644,0.3857214999591298,6.3511386442605415,0.2112252649704356,0.9771153964216336,100,3.0,97.0,43.0,2750.0,"['SLC7A5', 'ZBTB7B', 'VEGFA']",True,Rest,False,3,4,4.718242627848973,4.718242627848973,1.0,0.0,6.283698880322069
7,coronary artery disease,downstream_Stim8hr,0.7885375984489204,0.2792686330657657,1.8082653411134448,0.767010067546638,0.9819301569925282,100,6.0,94.0,238.0,2940.0,"['MAN2A2', 'MAPKAPK5', 'RRP15', 'SNRPC', 'ADAR', 'TRPM7']",True,Stim8hr,False,6,6,4.921010520125951,4.921010520125951,1.0,0.0,6.664386242863672
7,age-related macular degeneration,downstream_Stim8hr,2.858404753592299,0.5522560976465712,9.336727022058543,0.1015639678448162,0.9819301569925282,100,3.0,97.0,34.0,3144.0,"['MAPKAPK5', 'GPR108', 'GTF2A2']",True,Stim8hr,False,3,6,4.921010520125951,4.921010520125951,1.0,0.0,6.664386242863672
7,chronic kidney disease,downstream_Stim8hr,0.5077353552629229,0.0125263944045242,3.002432310222252,0.8606577184719362,0.9819301569925282,100,1.0,99.0,62.0,3116.0,['USP25'],True,Stim8hr,False,1,6,4.921010520125951,4.921010520125951,1.0,0.0,6.664386242863672
