cluster,disease,gene_set,odds_ratio,ci_low,ci_high,p_value,p_adj_fdr,cluster_size,in_cluster_in_disease,in_cluster_not_disease,not_cluster_in_disease,not_cluster_not_disease,intersecting_genes,negative_control_disease,culture_condition,significant,intersecting_gene_count,regulators,median_transfer_residual,median_abs_transfer_residual,amplified_fraction,buffered_fraction,median_log_response,probability_size_state,probability_transfer_augmented
38,rheumatoid arthritis,downstream_Rest,2.9229352160098308,1.616953698696435,5.034413754898807,0.0002635841079778,0.0044809298356239,100,18.0,82.0,195.0,2598.0,"['PTGER4', 'ATP5MG', 'IL21R', 'SELL', 'GSE1', 'LEF1', 'PIK3R1', 'CD6', 'ETS2', 'PREX1', 'IL12RB2', 'ETS1', 'PDE7A', 'CD28', 'FKBP5', 'TPP2', 'SATB1', 'IGSF9B']",False,Rest,True,18,1,3.1139254842307906,3.1139254842307906,1.0,0.0,4.812184355372417,0.049175651045664626,0.043355396336750174
46,inflammatory bowel disease,downstream_Stim8hr,2.893395395630753,1.6048339721217686,4.967888273956992,0.000282488042421,0.0048022967211582,100,18.0,82.0,224.0,2954.0,"['GALC', 'MBD2', 'KCTD20', 'SEH1L', 'UBL3', 'FOXO1', 'TRABD2A', 'SP140L', 'FOSL2', 'ATP2A2', 'JAK2', 'F5', 'WDR36', 'RNASET2', 'C8orf33', 'ARPC2', 'HECW2', 'INPP5A']",False,Stim8hr,True,18,4,4.612218165472134,4.612218165472134,0.75,0.0,6.511548792233841,0.5756803591261501,0.2094871131075544
38,autoimmune disease,downstream_Stim8hr,2.22189572669999,1.4100521987094288,3.446412930647298,0.0002970335360045,0.0050495701120767,100,34.0,66.0,598.0,2580.0,"['PHLDA1', 'IL21R', 'AGPAT2', 'NCK2', 'GSE1', 'PDE4A', 'SELL', 'CD69', 'AHI1', 'MUC1', 'MBIP', 'ANXA11', 'NR3C1', 'ACTN1', 'RNF145', 'RASSF3', 'SLC43A3', 'LEF1', 'TNFAIP8', 'NEK6', 'APBB1IP', 'FKBP5', 'ZBTB21', 'FYN', 'STMN3', 'STAT5B', 'GNG2', 'PKIA', 'ITGAL', 'PRDM1', 'CCR5', 'GRAP2', 'TMEM131L', 'IL7R']",False,Stim8hr,True,34,2,3.448720421512807,3.448720421512807,1.0,0.0,5.0682511118228,0.7434716016683625,0.6839595109731763
59,ulcerative colitis,downstream_Stim8hr,3.147809161646805,1.4774017368492571,6.110902315605422,0.0018447130550445,0.0061127916658898,100,11.0,89.0,120.0,3058.0,"['IL10', 'IRF8', 'FAS', 'RASGRP1', 'FOSL2', 'REL', 'PRDM1', 'REXO2', 'NPEPPS', 'CD28', 'BACH2']",False,Stim8hr,True,11,3,3.051114690952135,3.051114690952135,1.0,0.0,5.318119993844216,0.641367401233171,0.6596009838790905
59,psoriasis,downstream_Stim8hr,3.1207943205379407,1.465021357072016,6.056849067044821,0.0019618741714157,0.0061127916658898,100,11.0,89.0,121.0,3057.0,"['IL10', 'IRF8', 'FAS', 'RASGRP1', 'FOSL2', 'REL', 'PRDM1', 'CWF19L1', 'NPEPPS', 'CD28', 'BACH2']",False,Stim8hr,True,11,3,3.051114690952135,3.051114690952135,1.0,0.0,5.318119993844216,0.641367401233171,0.6596009838790905
59,multiple sclerosis,downstream_Stim8hr,3.282172259816708,1.4788885967792382,6.561455346943984,0.0021574558820787,0.0061127916658898,100,10.0,90.0,104.0,3074.0,"['RRAS2', 'IRF8', 'CXCR4', 'REL', 'TIAM1', 'IFI30', 'NPEPPS', 'CD28', 'MICOS10', 'BACH2']",False,Stim8hr,True,10,3,3.051114690952135,3.051114690952135,1.0,0.0,5.318119993844216,0.641367401233171,0.6596009838790905
59,Crohn's disease,downstream_Stim8hr,3.2899252628535565,1.5424483303030023,6.395722143710133,0.0013415271107491,0.0061127916658898,100,11.0,89.0,115.0,3063.0,"['IL10', 'IRF8', 'FAS', 'RASGRP1', 'FOSL2', 'PRDM1', 'NPEPPS', 'CD28', 'DUSP5', 'BACH2', 'SPATS2L']",False,Stim8hr,True,11,3,3.051114690952135,3.051114690952135,1.0,0.0,5.318119993844216,0.641367401233171,0.6596009838790905
79,systemic lupus erythematosus,downstream_Stim8hr,3.042362249441938,1.4290490061064625,5.9000759272599,0.0023503779687185,0.0066594042447026,100,11.0,89.0,124.0,3054.0,"['SH2B3', 'TRIB2', 'IRF8', 'RYBP', 'IKBKE', 'TNIP2', 'STAT4', 'TCF7', 'CTLA4', 'JADE2', 'CD83']",False,Stim8hr,True,11,3,4.142877643313533,4.142877643313533,1.0,0.0,6.340359303727752,0.6721044392474538,0.6058902022830361
38,autoimmune disease,downstream_Rest,2.097504273428922,1.3241498636732252,3.2667359900389874,0.0008039001847554,0.006833151570421,100,33.0,67.0,531.0,2262.0,"['CTSH', 'IL21R', 'GSE1', 'PIK3R1', 'CD6', 'TRAT1', 'SATB1', 'PTGER4', 'FYB1', 'SELL', 'ITM2A', 'PREX1', 'RASSF3', 'CHD3', 'PLD3', 'LEF1', 'ETS2', 'TMEM71', 'IL12RB2', 'FKBP5', 'PRR5L', 'STMN3', 'DARS1', 'VMP1', 'GNG2', 'ATP5MG', 'KLF6', 'ETS1', 'PDE7A', 'LMAN1', 'CD28', 'TPP2', 'IGSF9B']",False,Rest,True,33,1,3.1139254842307906,3.1139254842307906,1.0,0.0,4.812184355372417,0.049175651045664626,0.043355396336750174
8,multiple sclerosis,downstream_Stim48hr,3.82024031152292,1.7788797478036162,7.493342956798889,0.0004546002474119,0.0077282042060038,100,11.0,89.0,91.0,2815.0,"['IL2RA', 'CXCR4', 'PSMG1', 'TET2', 'BATF3', 'PHGDH', 'CLEC2D', 'CD28', 'PGD', 'SATB1', 'STAT3']",False,Stim48hr,True,11,3,4.120603715890791,4.120603715890791,0.6666666666666666,0.0,6.139884552226255,0.4232389158999683,0.1930631251137877
