metric,effect_definition,estimate,ci_low,ci_high,p_two_sided,rows,clusters,diseases,bootstrap_replicates,permutation_replicates,q_two_sided,decision
auroc,transfer_augmented_minus_size_state,-0.0886214870850155,-0.18642441440968438,-0.009592376241642274,0.041979010494752625,1708,75,14,2000,2000,0.07421289355322339,unresolved
average_precision,transfer_augmented_minus_size_state,-0.014209033831639184,-0.0427600468072777,0.0010023701685539443,0.049475262368815595,1708,75,14,2000,2000,0.07421289355322339,unresolved
brier,size_state_minus_transfer_augmented,-0.002095606627273622,-0.020367897336793978,0.015495056300203208,0.8305847076461769,1708,75,14,2000,2000,0.8305847076461769,unresolved
