model,nominal_coverage,empirical_coverage,mean_interval_width,calibration_intercept,calibration_slope
global_mean,0.5,0.4979591836734693,3.148561588697893,37.64244990921149,-7.527616443002826
global_mean,0.8,0.8224489795918367,5.1616091772322505,37.64244990921149,-7.527616443002826
global_mean,0.95,0.9591836734693876,7.446437186466158,37.64244990921149,-7.527616443002826
simple_covariates,0.5,0.5081632653061224,3.0764630949838785,0.2264708092279659,0.9456151856312618
simple_covariates,0.8,0.8142857142857143,5.087751447230449,0.2264708092279659,0.9456151856312618
simple_covariates,0.95,0.9673469387755104,7.205893427959314,0.2264708092279659,0.9456151856312618
ridge,0.5,0.4836734693877551,2.8127177822774887,0.0481116821103712,0.9840019808452034
ridge,0.8,0.8040816326530612,4.881101775849802,0.0481116821103712,0.9840019808452034
ridge,0.95,0.9693877551020408,7.052755087585715,0.0481116821103712,0.9840019808452034
sparse_nonlinear,0.5,0.5061224489795918,2.454006259254696,1.5705097309783294,0.6443822091738148
sparse_nonlinear,0.8,0.789795918367347,4.819891271240786,1.5705097309783294,0.6443822091738148
sparse_nonlinear,0.95,0.9612244897959183,7.690413031817257,1.5705097309783294,0.6443822091738148
standard_network_propagation,0.5,0.4897959183673469,2.93100907474632,0.9295106853677166,0.8509935970341056
standard_network_propagation,0.8,0.7857142857142857,4.781755316143741,0.9295106853677166,0.8509935970341056
standard_network_propagation,0.95,0.9571428571428572,6.93386450765481,0.9295106853677166,0.8509935970341056
graph_readout,0.5,0.4877551020408163,3.134995402785141,2.7625865351039587,0.418805006846104
graph_readout,0.8,0.826530612244898,5.656088304833516,2.7625865351039587,0.418805006846104
graph_readout,0.95,0.9571428571428572,7.942731924187217,2.7625865351039587,0.418805006846104
frozen_cd4_transfer,0.5,0.4918367346938775,2.738194513335485,1.823309660604328,0.5754628249887136
frozen_cd4_transfer,0.8,0.8918367346938776,5.356755861406566,1.823309660604328,0.5754628249887136
frozen_cd4_transfer,0.95,0.9673469387755104,7.256777290997283,1.823309660604328,0.5754628249887136
without_proximal,0.5,0.5285714285714286,2.960088389987618,1.8368816297954091,0.5728769210108468
without_proximal,0.8,0.8734693877551021,5.523542000469226,1.8368816297954091,0.5728769210108468
without_proximal,0.95,0.9591836734693876,7.244828326158076,1.8368816297954091,0.5728769210108468
without_scalar_transfer,0.5,0.4836734693877551,2.7854213643305927,2.2998862969505183,0.465928363001388
without_scalar_transfer,0.8,0.8428571428571429,5.133495826692249,2.2998862969505183,0.465928363001388
without_scalar_transfer,0.95,0.963265306122449,7.1832750284187625,2.2998862969505183,0.465928363001388
without_context,0.5,0.5,2.757052716681497,1.8165877635242167,0.5764688573616721
without_context,0.8,0.8918367346938776,5.350118479519896,1.8165877635242167,0.5764688573616721
without_context,0.95,0.9693877551020408,7.326468268281491,1.8165877635242167,0.5764688573616721
without_vector,0.5,0.4836734693877551,2.6342692871515005,0.4452353635870446,0.8941448412275178
without_vector,0.8,0.8591836734693877,5.031449327624177,0.4452353635870446,0.8941448412275178
without_vector,0.95,0.9693877551020408,6.797624503595594,0.4452353635870446,0.8941448412275178
without_network,0.5,0.5,2.746642129556752,1.4860025643249952,0.6539675918543166
without_network,0.8,0.8979591836734694,5.463988847183842,1.4860025643249952,0.6539675918543166
without_network,0.95,0.9612244897959183,7.07766001840181,1.4860025643249952,0.6539675918543166
