condition,eigen_index,real,imaginary,magnitude,edge_threshold,raw_spectral_radius
Rest,1,-0.1810487019084207,0.0,0.1810487019084207,0.26467345894358535,1.8118244318459942
Rest,2,-1.1431556656144037e-17,0.0,1.1431556656144037e-17,0.26467345894358535,1.8118244318459942
Rest,3,0.18104870190842082,0.0,0.18104870190842082,0.26467345894358535,1.8118244318459942
Rest,4,0.8500000000000015,0.0,0.8500000000000015,0.26467345894358535,1.8118244318459942
Rest,5,0.6882779261988154,0.0,0.6882779261988154,0.26467345894358535,1.8118244318459942
Rest,6,0.5294467590440873,0.0,0.5294467590440873,0.26467345894358535,1.8118244318459942
Rest,7,0.4385084917865494,0.0,0.4385084917865494,0.26467345894358535,1.8118244318459942
Rest,8,0.3520952144303866,0.0,0.3520952144303866,0.26467345894358535,1.8118244318459942
Rest,9,0.30888642972969754,0.0,0.30888642972969754,0.26467345894358535,1.8118244318459942
Rest,10,0.23393340322157577,0.0,0.23393340322157577,0.26467345894358535,1.8118244318459942
Rest,11,-0.527783178847776,0.0,0.527783178847776,0.26467345894358535,1.8118244318459942
Rest,12,-0.4700272923134727,0.0,0.4700272923134727,0.26467345894358535,1.8118244318459942
Rest,13,0.1150942655576096,0.0,0.1150942655576096,0.26467345894358535,1.8118244318459942
Rest,14,0.06819759615611908,0.0,0.06819759615611908,0.26467345894358535,1.8118244318459942
Rest,15,0.027861494796275848,0.0,0.027861494796275848,0.26467345894358535,1.8118244318459942
Rest,16,-0.4352937150628337,0.0,0.4352937150628337,0.26467345894358535,1.8118244318459942
Rest,17,-0.3912964866559778,0.0,0.3912964866559778,0.26467345894358535,1.8118244318459942
Rest,18,-0.33927443963723225,0.0,0.33927443963723225,0.26467345894358535,1.8118244318459942
Rest,19,-0.06527450195147733,0.0,0.06527450195147733,0.26467345894358535,1.8118244318459942
Rest,20,-0.09301677053918397,0.0,0.09301677053918397,0.26467345894358535,1.8118244318459942
Rest,21,-0.11040375165377711,0.0,0.11040375165377711,0.26467345894358535,1.8118244318459942
Rest,22,-0.30066991482081756,0.0,0.30066991482081756,0.26467345894358535,1.8118244318459942
Rest,23,-0.280110062143468,0.0,0.280110062143468,0.26467345894358535,1.8118244318459942
Rest,24,-0.17187974654992258,0.0,0.17187974654992258,0.26467345894358535,1.8118244318459942
Rest,25,-0.19128436089816828,0.0,0.19128436089816828,0.26467345894358535,1.8118244318459942
Rest,26,-0.2359873598470048,0.0,0.2359873598470048,0.26467345894358535,1.8118244318459942
Rest,27,0.0,0.0,0.0,0.26467345894358535,1.8118244318459942
Rest,28,0.0,0.0,0.0,0.26467345894358535,1.8118244318459942
Rest,29,0.0,0.0,0.0,0.26467345894358535,1.8118244318459942
Rest,30,0.0,0.0,0.0,0.26467345894358535,1.8118244318459942
Stim8hr,1,0.8499999999999988,0.0,0.8499999999999988,0.23503834116131309,1.8070711589293773
Stim8hr,2,-0.6355962398992641,0.0,0.6355962398992641,0.23503834116131309,1.8070711589293773
Stim8hr,3,0.4797240265385314,0.0,0.4797240265385314,0.23503834116131309,1.8070711589293773
Stim8hr,4,-0.48357847137359045,0.0,0.48357847137359045,0.23503834116131309,1.8070711589293773
Stim8hr,5,0.42921398641397157,0.0,0.42921398641397157,0.23503834116131309,1.8070711589293773
Stim8hr,6,0.35622783492916577,0.0,0.35622783492916577,0.23503834116131309,1.8070711589293773
Stim8hr,7,0.3472517454892389,0.0,0.3472517454892389,0.23503834116131309,1.8070711589293773
Stim8hr,8,0.31579396226993905,0.0,0.31579396226993905,0.23503834116131309,1.8070711589293773
Stim8hr,9,-0.4150721643894126,0.0,0.4150721643894126,0.23503834116131309,1.8070711589293773
Stim8hr,10,0.2525997188967962,0.0,0.2525997188967962,0.23503834116131309,1.8070711589293773
Stim8hr,11,0.21395435194313217,0.0,0.21395435194313217,0.23503834116131309,1.8070711589293773
Stim8hr,12,-0.36982189607727406,0.0,0.36982189607727406,0.23503834116131309,1.8070711589293773
Stim8hr,13,-0.3344203481611743,0.0,0.3344203481611743,0.23503834116131309,1.8070711589293773
Stim8hr,14,-0.3169343032380641,0.0,0.3169343032380641,0.23503834116131309,1.8070711589293773
Stim8hr,15,0.14707114561017803,0.0,0.14707114561017803,0.23503834116131309,1.8070711589293773
Stim8hr,16,-0.253516791874311,0.0,0.253516791874311,0.23503834116131309,1.8070711589293773
Stim8hr,17,-0.22415759776769117,0.0,0.22415759776769117,0.23503834116131309,1.8070711589293773
Stim8hr,18,0.07712856169637824,0.0,0.07712856169637824,0.23503834116131309,1.8070711589293773
Stim8hr,19,0.03199455741431806,0.0,0.03199455741431806,0.23503834116131309,1.8070711589293773
