transfer_definition,result_family,specifications,median_estimate,low_estimate,high_estimate,expected_direction_fraction,supported_fraction
debiased_response_l2_gain,buffering,3840,-0.08049523025603275,-0.14932771554172167,-0.025307376395492596,1.0,1.0
debiased_response_l2_gain,context_switching,960,-0.6336578546994267,-0.7565701510441907,-0.383587435244687,0.0,0.0
debiased_response_l2_gain,transfer_gain,960,0.7927687935620572,0.6626387724396109,0.9486498022124545,1.0,1.0
distal_gene_count_residual,buffering,3840,-0.7691371578207012,-1.0710872352384349,0.04737212969296623,0.9119791666666667,0.8752604166666667
distal_gene_count_residual,context_switching,960,-0.7891141236922387,-0.8379299588534783,-0.3350539126942231,0.0,0.0
distal_gene_count_residual,transfer_gain,960,0.005999271855559902,-0.19083428000283892,0.7866961286494908,0.5458333333333333,0.375
significant_response_l1_gain,buffering,3840,-0.25272781426970947,-0.37834598221770727,0.07901591276056198,0.625,0.625
significant_response_l1_gain,context_switching,960,-0.6324730885551326,-0.6684023019733444,-0.316731046452332,0.0,0.0
significant_response_l1_gain,transfer_gain,960,-0.04105487655578548,-0.2381949842115852,0.7449286123779242,0.31666666666666665,0.20833333333333334
