module_resolution,cross_validation_seed,estimate,ci_low,ci_high,supported
15,20260912,0.5659068547756186,0.5328001792687944,0.5989975687067735,1.0
15,20260929,0.5656465122830657,0.5327715694616457,0.5991153949271888,1.0
15,20261013,0.5663543265184686,0.5340721567783879,0.6003220699007299,1.0
15,20261031,0.5652366289327119,0.5324651872612489,0.598185491065955,1.0
15,20261119,0.5663227896503752,0.5334500750874788,0.5996792609995136,1.0
30,20260912,0.6746080579219361,0.6393412832726657,0.7101134126538342,1.0
30,20260929,0.6741966722864332,0.638743767410403,0.7104112479799949,1.0
30,20261013,0.6731739954295289,0.6374485331023317,0.7094938180405741,1.0
30,20261031,0.6740010201117839,0.6383475889846091,0.7105584281689474,1.0
30,20261119,0.6723275057295499,0.6368551409084068,0.7091599760502569,1.0
50,20260912,0.725662612520624,0.6883177985198967,0.7640470084964137,1.0
50,20260929,0.7224856094963484,0.6854889069933554,0.7609619871287485,1.0
50,20261013,0.7232487611262776,0.6859581820128238,0.7603572382070036,1.0
50,20261031,0.7271206234525232,0.6908221905372243,0.7655894178911891,1.0
50,20261119,0.7231660755321949,0.6866968183633961,0.7601965627277376,1.0
