locus,gene,trait,condition,transfer_class,transfer_residual,rank,downstream_gene,normalized_signed_effect,q_value,supported
gata3,GATA3,asthma,Stim8hr,amplified,5.568606025822971,16,CCR4,-0.10605031,6.589097972114028e-18,True
gata3,GATA3,asthma,Stim8hr,amplified,5.568606025822971,17,CYBRD1,-0.10576035,0.0443818332725433,True
gata3,GATA3,asthma,Stim8hr,amplified,5.568606025822971,18,S100P,-0.10498459,0.0025978408518983,True
gata3,GATA3,asthma,Stim8hr,amplified,5.568606025822971,19,ZDHHC23,-0.104714826,0.0978377519793569,True
gata3,GATA3,asthma,Stim8hr,amplified,5.568606025822971,20,WHRN,-0.103439175,0.0069851526733664,True
ptpn22,PTPN22,rheumatoid arthritis,Stim48hr,intermediate,-0.9469425822227352,1,AP4B1,-0.014674318,7.69207621744057e-06,True
stat3,STAT3,inflammatory bowel disease,Rest,amplified,3.971842277484108,1,GNLY,-0.37731948,0.0002699509278682,True
stat3,STAT3,inflammatory bowel disease,Rest,amplified,3.971842277484108,2,CD9,-0.3218129,0.0002971377719041,True
stat3,STAT3,inflammatory bowel disease,Rest,amplified,3.971842277484108,3,ACE,-0.29006532,0.0435399257169174,True
stat3,STAT3,inflammatory bowel disease,Rest,amplified,3.971842277484108,4,PCSK6,0.28487855,2.847684257543892e-05,True
stat3,STAT3,inflammatory bowel disease,Rest,amplified,3.971842277484108,5,CLU,-0.2712499,7.618086186313414e-05,True
stat3,STAT3,inflammatory bowel disease,Rest,amplified,3.971842277484108,6,SETBP1,-0.27056876,0.0422406105483139,True
stat3,STAT3,inflammatory bowel disease,Rest,amplified,3.971842277484108,7,HMOX1,-0.24502398,0.095899168254308,True
stat3,STAT3,inflammatory bowel disease,Rest,amplified,3.971842277484108,8,NRP2,0.22446352,0.0001865411547381,True
stat3,STAT3,inflammatory bowel disease,Rest,amplified,3.971842277484108,9,SCN9A,-0.22267678,0.006176248507892,True
stat3,STAT3,inflammatory bowel disease,Rest,amplified,3.971842277484108,10,ZBED2,-0.22017777,0.0175452777196121,True
stat3,STAT3,inflammatory bowel disease,Rest,amplified,3.971842277484108,11,LGALSL,-0.21664666,0.0713851711815959,True
stat3,STAT3,inflammatory bowel disease,Rest,amplified,3.971842277484108,12,EGFL6,0.21447115,0.0212164633528006,True
stat3,STAT3,inflammatory bowel disease,Rest,amplified,3.971842277484108,13,TSPAN2,-0.21427947,0.0141723164234292,True
stat3,STAT3,inflammatory bowel disease,Rest,amplified,3.971842277484108,14,CCL4,-0.20873883,0.0593652325983712,True
stat3,STAT3,inflammatory bowel disease,Rest,amplified,3.971842277484108,15,REG4,0.20753407,0.014055491219589,True
stat3,STAT3,inflammatory bowel disease,Rest,amplified,3.971842277484108,16,PI16,-0.20212893,0.0010358939611492,True
stat3,STAT3,inflammatory bowel disease,Rest,amplified,3.971842277484108,17,ZNRF1,-0.1967507,0.018087031022959,True
stat3,STAT3,inflammatory bowel disease,Rest,amplified,3.971842277484108,18,GZMB,-0.19321705,8.691014618263182e-05,True
stat3,STAT3,inflammatory bowel disease,Rest,amplified,3.971842277484108,19,SIRPG,-0.19194229,0.0806240774406939,True
stat3,STAT3,inflammatory bowel disease,Rest,amplified,3.971842277484108,20,FOXP3,0.18825462,0.0025108034140866,True
stat3,STAT3,inflammatory bowel disease,Stim48hr,amplified,4.226885198747423,1,GNLY,-0.33464396,5.4856226524333476e-08,True
stat3,STAT3,inflammatory bowel disease,Stim48hr,amplified,4.226885198747423,2,IL2,-0.28010815,0.0051773588297406,True
stat3,STAT3,inflammatory bowel disease,Stim48hr,amplified,4.226885198747423,3,IL10,-0.27500793,0.0207272595885299,True
stat3,STAT3,inflammatory bowel disease,Stim48hr,amplified,4.226885198747423,4,IL26,-0.26845223,2.5034563099391787e-12,True
stat3,STAT3,inflammatory bowel disease,Stim48hr,amplified,4.226885198747423,5,FLT1,-0.25866577,7.242704846957151e-12,True
stat3,STAT3,inflammatory bowel disease,Stim48hr,amplified,4.226885198747423,6,RCAN2,-0.24415258,0.016913272233613,True
stat3,STAT3,inflammatory bowel disease,Stim48hr,amplified,4.226885198747423,7,IL22,-0.2400034,0.0730064085290818,True
stat3,STAT3,inflammatory bowel disease,Stim48hr,amplified,4.226885198747423,8,HLX,-0.23832956,0.0313269240216893,True
stat3,STAT3,inflammatory bowel disease,Stim48hr,amplified,4.226885198747423,9,GNAI1,-0.23661993,0.0016427263861101,True
stat3,STAT3,inflammatory bowel disease,Stim48hr,amplified,4.226885198747423,10,DHRS2,-0.22776484,0.0607137079093256,True
stat3,STAT3,inflammatory bowel disease,Stim48hr,amplified,4.226885198747423,11,TNIP3,-0.2253058,0.004650597544133,True
stat3,STAT3,inflammatory bowel disease,Stim48hr,amplified,4.226885198747423,12,XCL2,0.21909824,0.000923225880882,True
stat3,STAT3,inflammatory bowel disease,Stim48hr,amplified,4.226885198747423,13,LRRC32,0.21869883,4.0633913506838804e-14,True
stat3,STAT3,inflammatory bowel disease,Stim48hr,amplified,4.226885198747423,14,CXCL8,-0.21852802,2.337471911678786e-07,True
stat3,STAT3,inflammatory bowel disease,Stim48hr,amplified,4.226885198747423,15,NT5E,-0.21786009,0.0004590057545639,True
stat3,STAT3,inflammatory bowel disease,Stim48hr,amplified,4.226885198747423,16,FUT7,-0.21380003,0.0004425379680741,True
stat3,STAT3,inflammatory bowel disease,Stim48hr,amplified,4.226885198747423,17,GZMB,-0.21050641,3.2441930893225945e-30,True
stat3,STAT3,inflammatory bowel disease,Stim48hr,amplified,4.226885198747423,18,LGMN,-0.20834346,6.341050733614741e-05,True
stat3,STAT3,inflammatory bowel disease,Stim48hr,amplified,4.226885198747423,19,NRP1,-0.2079322,0.0142828733134895,True
stat3,STAT3,inflammatory bowel disease,Stim48hr,amplified,4.226885198747423,20,PALLD,-0.19719228,1.1810112280747984e-06,True
stat3,STAT3,inflammatory bowel disease,Stim8hr,amplified,4.142877643313533,1,IL22,-0.44551447,0.0001868768201695,True
stat3,STAT3,inflammatory bowel disease,Stim8hr,amplified,4.142877643313533,2,CXCL8,-0.36605194,0.0158554234017961,True
stat3,STAT3,inflammatory bowel disease,Stim8hr,amplified,4.142877643313533,3,IL10,-0.29338583,1.6836414825257304e-05,True
stat3,STAT3,inflammatory bowel disease,Stim8hr,amplified,4.142877643313533,4,GNLY,-0.24429801,0.0001416092696844,True
stat3,STAT3,inflammatory bowel disease,Stim8hr,amplified,4.142877643313533,5,IL26,-0.228755,9.287852569873735e-08,True
stat3,STAT3,inflammatory bowel disease,Stim8hr,amplified,4.142877643313533,6,EMP1,-0.21078075,2.7683923116671487e-11,True
stat3,STAT3,inflammatory bowel disease,Stim8hr,amplified,4.142877643313533,7,LGMN,-0.20782258,0.0255088159553447,True
stat3,STAT3,inflammatory bowel disease,Stim8hr,amplified,4.142877643313533,8,LRRC32,0.20662513,2.1546198000554734e-13,True
stat3,STAT3,inflammatory bowel disease,Stim8hr,amplified,4.142877643313533,9,ZBTB16,0.18699767,0.0440877318337143,True
stat3,STAT3,inflammatory bowel disease,Stim8hr,amplified,4.142877643313533,10,SLC8A1,-0.18191949,0.0150232744920258,True
stat3,STAT3,inflammatory bowel disease,Stim8hr,amplified,4.142877643313533,11,TNIP3,-0.17954414,6.914020412811407e-16,True
stat3,STAT3,inflammatory bowel disease,Stim8hr,amplified,4.142877643313533,12,CLU,-0.16952643,0.0077057331739547,True
stat3,STAT3,inflammatory bowel disease,Stim8hr,amplified,4.142877643313533,13,TRGC1,0.16651861,0.0075707688942836,True
stat3,STAT3,inflammatory bowel disease,Stim8hr,amplified,4.142877643313533,14,FLT1,-0.1624646,1.335512951554961e-10,True
stat3,STAT3,inflammatory bowel disease,Stim8hr,amplified,4.142877643313533,15,GNAI1,-0.16241853,1.0170403766762062e-06,True
stat3,STAT3,inflammatory bowel disease,Stim8hr,amplified,4.142877643313533,16,IL5,-0.1595285,0.0800859565761858,True
stat3,STAT3,inflammatory bowel disease,Stim8hr,amplified,4.142877643313533,17,ENPP2,-0.1537059,0.068780888220341,True
stat3,STAT3,inflammatory bowel disease,Stim8hr,amplified,4.142877643313533,18,COL6A3,-0.15272275,0.0069970872005374,True
stat3,STAT3,inflammatory bowel disease,Stim8hr,amplified,4.142877643313533,19,STRIP2,-0.14523178,1.3142827440383625e-30,True
stat3,STAT3,inflammatory bowel disease,Stim8hr,amplified,4.142877643313533,20,SHISA2,-0.13907126,0.0541356704701319,True
