analysis,target,leave_one_target_coefficient,change
molecular_support_fraction:correlation_all,IFI16,0.0009316061542086838,-0.0008492269797357992
molecular_support_fraction:correlation_all,IKBKB,0.002136716967354525,0.0003558838334100419
molecular_support_fraction:correlation_all,IKZF1,0.0016789047123046096,-0.00010192842163987345
molecular_support_fraction:correlation_all,ING4,0.0017086693795535929,-7.216375439089012e-05
molecular_support_fraction:correlation_all,INSM1,0.0007485016706942228,-0.0010323314632502602
molecular_support_fraction:correlation_all,IRF4,0.003202375553434748,0.001421542419490265
molecular_support_fraction:correlation_all,IRF7,0.0005850704346727145,-0.0011957626992717685
molecular_support_fraction:correlation_all,JUNB,0.005107172563687718,0.003326339429743235
molecular_support_fraction:correlation_all,JUND,0.003930018683958201,0.0021491855500137182
molecular_support_fraction:correlation_all,KAT2B,0.001449197711757954,-0.00033163542218652906
molecular_support_fraction:correlation_all,KDM4B,0.0014022103885945447,-0.00037862274534993835
molecular_support_fraction:correlation_all,KDM4C,0.002618750147854897,0.0008379170139104141
molecular_support_fraction:correlation_all,KLF11,0.002070266568562405,0.0002894334346179219
molecular_support_fraction:correlation_all,KLF13,0.0015431698317531928,-0.00023766330219129016
molecular_support_fraction:correlation_all,KLF2,0.0026565752553953615,0.0008757421214508785
molecular_support_fraction:correlation_all,KLF6,0.0015710167636279488,-0.0002098163703165342
molecular_support_fraction:correlation_all,KLF9,0.0014264059894158326,-0.0003544271445286504
molecular_support_fraction:correlation_all,LDB1,0.0009306971528678081,-0.0008501359810766749
molecular_support_fraction:correlation_all,LIMD1,0.0020837478733413996,0.00030291473939691657
molecular_support_fraction:correlation_all,MAF,0.002020706266613506,0.00023987313266902316
molecular_support_fraction:correlation_all,MAL,0.00384452606476934,0.002063692930824857
molecular_support_fraction:correlation_all,MAML1,0.002354594264202911,0.0005737611302584281
molecular_support_fraction:correlation_all,MAX,0.006719577347998431,0.004938744214053948
molecular_support_fraction:correlation_all,MED15,0.0026788459803024564,0.0008980128463579734
molecular_support_fraction:correlation_all,MED23,0.002057469493187098,0.00027663635924261507
molecular_support_fraction:correlation_all,MEF2D,0.0022010199169477784,0.00042018678300329536
molecular_support_fraction:correlation_all,MTA1,0.004949242874916174,0.0031684097409716908
