analysis,model,n_rows,r2,mae,calibration_slope,calibration_intercept
molecular_any_fraction:correlation_all,quality_baseline,433,0.27460857339513656,0.06959132781126438,0.8396039448627409,0.019903597532361633
molecular_any_fraction:correlation_all,with_predictor,433,0.27686699909481327,0.06966614501231957,0.8402335315327334,0.019913987588193044
molecular_support_fraction:correlation_all,quality_baseline,433,0.27460857339513656,0.06959132781126438,0.8396039448627409,0.019903597532361633
molecular_support_fraction:correlation_all,with_predictor,433,0.27055018632719186,0.06989276434362722,0.8354659983084946,0.02036037857627369
paired_cis_count,quality_baseline,14385,0.01017040587530893,0.7715846655122137,0.8767339516078034,-0.004080105071049168
paired_cis_count,with_predictor,14385,0.047008192541725724,0.7537647215977313,0.9682861439490087,-0.0005703738014622262
