target,culture_condition,molecular_support_fraction,molecular_any_fraction,evidence_response_edges
EGR2,Stim8hr,0.00117096018735363,0.6194379391100703,854
EGR3,Stim48hr,0.0,0.0,1
EGR3,Stim8hr,0.0,0.504950495049505,101
EHMT2,Rest,0.0,0.5973389355742297,1428
EHMT2,Stim48hr,0.0009940357852882703,0.5775347912524851,1006
EHMT2,Stim8hr,0.0008496176720475786,0.5819881053525914,1177
EIF2AK2,Rest,0.0,0.5,2
EIF2AK2,Stim48hr,0.0,0.3333333333333333,3
EIF2AK2,Stim8hr,0.0,0.25,4
EIF4EBP1,Rest,0.0,0.0,1
EIF4EBP1,Stim8hr,0.0,1.0,1
ELF4,Rest,0.0,0.611764705882353,85
ELF4,Stim48hr,0.0,0.36363636363636365,11
ELF4,Stim8hr,0.0,0.5757575757575758,66
ELK1,Rest,0.0,0.7142857142857143,7
ELK1,Stim48hr,0.0,0.8,5
ELK1,Stim8hr,0.034482758620689655,0.5517241379310345,29
ELK3,Stim8hr,0.0,0.0,1
ELK4,Rest,1.0,1.0,1
ELK4,Stim8hr,0.0,0.0,2
EP300,Rest,0.0,0.7534246575342466,73
EP300,Stim48hr,0.005649717514124294,0.5819209039548022,177
EP300,Stim8hr,0.0,0.6962025316455697,158
EPAS1,Stim48hr,0.0,0.6842105263157895,19
ERF,Rest,0.0,0.6078431372549019,51
ESRRA,Stim48hr,0.0,0.5416666666666666,24
ESRRA,Stim8hr,0.0,0.75,20
ETS2,Rest,0.0,0.0,1
ETS2,Stim48hr,0.0,0.0,1
ETS2,Stim8hr,0.0,0.5,4
ETV3,Rest,0.0,0.75,4
ETV6,Rest,0.0,0.5,2
ETV6,Stim8hr,0.0,0.0,1
FLI1,Rest,0.0,0.643312101910828,314
FLI1,Stim48hr,0.0,0.578125,64
FLI1,Stim8hr,0.0035460992907801418,0.6382978723404256,282
FOS,Stim48hr,0.5,1.0,2
FOSL1,Stim48hr,0.0,0.0,1
FOSL2,Rest,0.0,0.6470588235294118,34
FOSL2,Stim48hr,0.0,0.6700507614213198,197
FOSL2,Stim8hr,0.02,0.8,50
FOXK2,Stim48hr,0.0,0.0,1
FOXO1,Rest,0.003014318010550113,0.6330067822155238,1327
FOXO1,Stim48hr,0.0034482758620689655,0.6327586206896552,580
FOXO1,Stim8hr,0.004728132387706856,0.6430260047281324,846
FOXO3,Rest,0.0,0.8,5
FOXO3,Stim8hr,0.0,0.7272727272727273,22
FOXO4,Rest,0.0,0.6153846153846154,13
FOXO4,Stim48hr,0.0,0.7272727272727273,11
FOXO4,Stim8hr,0.0,0.6666666666666666,9
FOXP3,Rest,0.0,0.5,2
FOXP3,Stim48hr,0.0,0.0,3
FOXP3,Stim8hr,0.0,0.3333333333333333,3
FUBP1,Rest,0.0,0.6467391304347826,552
FUBP1,Stim48hr,0.0007987220447284345,0.6317891373801917,1252
FUBP1,Stim8hr,0.0008389261744966443,0.6317114093959731,1192
FUS,Stim8hr,0.0,1.0,1
GATA3,Rest,0.08117249154453213,0.6617812852311161,887
GATA3,Stim48hr,0.0926517571884984,0.6749201277955271,1252
GATA3,Stim8hr,0.0840064620355412,0.6518578352180937,1238
GTF2A1,Rest,0.0,0.42857142857142855,7
GTF2A1,Stim48hr,0.0,0.6428571428571429,42
GTF2A1,Stim8hr,0.0,0.7241379310344828,29
GTF2I,Rest,0.0,0.35714285714285715,14
GTF2I,Stim48hr,0.0,0.4666666666666667,15
GTF2I,Stim8hr,0.0,0.5333333333333333,15
GTF3A,Rest,0.0,0.5,2
GTF3A,Stim8hr,0.0,0.0,1
HBP1,Rest,0.0,0.0,1
HBP1,Stim48hr,0.0,0.3333333333333333,3
HBP1,Stim8hr,0.0,0.0,1
HDAC1,Rest,0.0,0.5,68
HDAC1,Stim48hr,0.0,0.46551724137931033,58
HDAC1,Stim8hr,0.0,0.5280898876404494,89
HDAC2,Rest,0.0,0.3333333333333333,3
HDAC2,Stim48hr,0.0,0.375,24
HDAC2,Stim8hr,0.0,0.0,2
HDAC3,Stim48hr,0.0,0.62,100
HDAC5,Rest,0.0,0.6666666666666666,9
HDAC5,Stim48hr,0.0,0.5,2
HDAC7,Rest,0.0,0.6190476190476191,84
HDGF,Rest,0.0,0.0,1
HDGF,Stim48hr,0.0,0.0,3
HDGF,Stim8hr,0.0,0.5,2
HEXIM1,Stim48hr,0.0,0.6219602063375093,1357
HEXIM1,Stim8hr,0.0,0.6437246963562753,247
HIC1,Stim48hr,0.0,0.4,5
HIF1A,Rest,0.0,1.0,1
HIF1A,Stim48hr,0.1015625,0.65625,128
HIF1A,Stim8hr,0.0,1.0,2
HIPK2,Stim48hr,0.0,0.625,8
HIPK2,Stim8hr,0.0,0.0,1
HLTF,Rest,0.0,0.0,1
HLTF,Stim48hr,0.0,0.0,1
HLTF,Stim8hr,0.0,0.0,3
HMG20B,Rest,0.0,0.0,1
HMG20B,Stim48hr,0.0,0.75,4
HMG20B,Stim8hr,0.0,0.5,2
HMGB2,Rest,0.0,0.2,5
HMGB2,Stim48hr,0.0,0.42857142857142855,21
HMGB2,Stim8hr,0.0,0.625,8
HMGN1,Stim8hr,0.0,0.5,2
HNRNPD,Rest,0.0,0.6461538461538462,65
HNRNPD,Stim48hr,0.0,0.6443057722308893,641
HNRNPD,Stim8hr,0.0,0.6280487804878049,164
HSF2,Rest,0.0,0.75,4
HSF2,Stim48hr,0.0,0.5384615384615384,13
HSF2,Stim8hr,0.0,0.75,4
HSF4,Rest,0.0,0.5,2
HTATIP2,Stim48hr,0.0,1.0,1
HTATIP2,Stim8hr,0.0,1.0,1
ID3,Stim48hr,0.0,1.0,1
ID3,Stim8hr,0.0,1.0,1
IFI16,Rest,0.0,0.0,1
IFI16,Stim48hr,0.0,0.0,1
IFI16,Stim8hr,0.0,0.5,2
IKBKB,Stim48hr,0.0,0.678082191780822,292
IKBKB,Stim8hr,0.0,0.75,4
IKZF1,Rest,0.038461538461538464,0.5769230769230769,26
IKZF1,Stim8hr,0.029940119760479042,0.6287425149700598,167
ING4,Stim48hr,0.0,0.3333333333333333,3
INSM1,Stim8hr,0.0,0.7272727272727273,11
IRF4,Stim8hr,0.0,0.6201413427561837,566
IRF5,Stim8hr,0.0,0.5,2
IRF7,Rest,0.0,0.0,2
IRF7,Stim48hr,0.0,0.4,5
IRF7,Stim8hr,0.0,0.5,2
IRF8,Stim48hr,0.0,0.5,6
IRF8,Stim8hr,0.04597701149425287,0.632183908045977,87
JDP2,Stim48hr,0.16666666666666666,0.8333333333333334,6
JUN,Stim48hr,0.0,0.0,1
JUNB,Rest,0.020833333333333332,0.5416666666666666,48
JUNB,Stim48hr,0.0,0.6056338028169014,142
JUNB,Stim8hr,0.0,0.7029702970297029,101
JUND,Rest,0.02702702702702703,0.6216216216216216,37
JUND,Stim48hr,0.07692307692307693,0.46153846153846156,13
JUND,Stim8hr,0.09090909090909091,0.6136363636363636,44
KAT2B,Rest,0.0,0.75,4
KAT2B,Stim48hr,0.0,0.5909090909090909,44
KAT2B,Stim8hr,0.0,0.68,25
KDM4B,Stim48hr,0.0,0.5,2
KDM4B,Stim8hr,0.0,1.0,1
KDM4C,Rest,0.0,1.0,3
KDM4C,Stim48hr,0.0,0.0,1
KLF10,Rest,0.0,0.4838709677419355,31
KLF10,Stim48hr,0.0,0.375,8
KLF10,Stim8hr,0.0,0.5949367088607594,79
KLF11,Rest,0.0,0.0,1
KLF11,Stim8hr,0.0,0.0,1
KLF13,Stim48hr,0.0,0.5833333333333334,12
KLF13,Stim8hr,0.05,0.575,40
