target,culture_condition,molecular_support_fraction,molecular_any_fraction,evidence_response_edges
VEZF1,Rest,0.0,0.5517241379310345,29
VEZF1,Stim48hr,0.0,0.6206896551724138,29
VEZF1,Stim8hr,0.0,0.2682926829268293,41
VHL,Rest,0.012552301255230125,0.5606694560669456,239
VHL,Stim48hr,0.009009009009009009,0.5675675675675675,333
VHL,Stim8hr,0.009259259259259259,0.5925925925925926,216
XBP1,Rest,0.0111731843575419,0.6145251396648045,179
XBP1,Stim48hr,0.032586558044806514,0.639511201629328,491
XBP1,Stim8hr,0.02109704641350211,0.6244725738396625,237
YY1,Rest,0.011787819253438114,0.6286836935166994,509
YY1,Stim48hr,0.006342494714587738,0.6131078224101479,473
YY1,Stim8hr,0.008333333333333333,0.56875,960
ZBTB5,Rest,0.0,0.0,1
ZBTB5,Stim48hr,0.0,0.0,1
ZBTB5,Stim8hr,0.0,0.0,2
ZBTB7A,Rest,0.04797047970479705,0.6494464944649446,542
ZBTB7A,Stim48hr,0.022222222222222223,0.5333333333333333,45
ZBTB7A,Stim8hr,0.05454545454545454,0.6681818181818182,220
ZEB1,Rest,0.0,0.5436507936507936,252
ZEB1,Stim48hr,0.0,0.6,415
ZEB1,Stim8hr,0.0,0.49767441860465117,215
ZFP36,Rest,0.0,1.0,4
ZFP36,Stim48hr,0.0,1.0,2
ZFP36,Stim8hr,0.0,0.5,2
ZFP36L1,Stim48hr,0.0,0.875,8
ZFP36L1,Stim8hr,0.0,0.8888888888888888,9
ZMYND11,Rest,0.0,1.0,2
ZMYND11,Stim8hr,0.0,1.0,3
ZNF148,Rest,0.05096011816838995,0.6336779911373708,1354
ZNF148,Stim48hr,0.042682926829268296,0.6036585365853658,492
ZNF148,Stim8hr,0.04377104377104377,0.6195286195286195,594
ZNF202,Rest,0.0,0.3333333333333333,6
ZNF202,Stim48hr,0.0,0.7272727272727273,11
ZNF202,Stim8hr,0.0,0.5,10
ZNF224,Rest,0.0,1.0,1
ZNF224,Stim48hr,0.0,0.0,1
ZNF281,Rest,0.0,1.0,1
ZNF281,Stim8hr,0.0,0.75,4
ZNF350,Stim48hr,0.0,1.0,2
ZNF350,Stim8hr,0.0,0.0,1
ZNF354C,Rest,0.0,1.0,3
ZNF354C,Stim48hr,0.0,1.0,1
ZNF444,Rest,0.0,0.4117647058823529,17
ZNF444,Stim48hr,0.0,0.6923076923076923,13
ZNF444,Stim8hr,0.0,0.6666666666666666,12
ZNF76,Rest,0.0,0.8333333333333334,6
ZNF76,Stim48hr,0.0,0.6818181818181818,44
ZNF76,Stim8hr,0.0,0.631578947368421,19
