culture_condition,dose_definition,standardized_association,ci_low,ci_high,bootstrap_p,pairs,q_value
Rest,knockdown_fraction,0.13442194661493215,0.09915566589091503,0.1699263419249623,0.001998001998001998,4500,0.001998001998001998
Rest,standardized_difference,0.12343583396718297,0.08619052441557781,0.16181689966592855,0.001998001998001998,4500,0.001998001998001998
Rest,t_scaled,0.09140838245789755,0.05554571787705978,0.12400669649403141,0.001998001998001998,4500,0.001998001998001998
Stim48hr,knockdown_fraction,0.24417016122298474,0.21286706748665943,0.2777315790920639,0.001998001998001998,5068,0.001998001998001998
Stim48hr,standardized_difference,0.22468975080047937,0.19140803128052258,0.2586299326129676,0.001998001998001998,5068,0.001998001998001998
Stim48hr,t_scaled,0.15552113062082537,0.13000558987082333,0.1834576381195662,0.001998001998001998,5068,0.001998001998001998
Stim8hr,knockdown_fraction,0.1958587035336656,0.1625470903636867,0.22813992171387035,0.001998001998001998,4997,0.001998001998001998
Stim8hr,standardized_difference,0.18202167625982585,0.1470486858588838,0.21638429559645633,0.001998001998001998,4997,0.001998001998001998
Stim8hr,t_scaled,0.11629901727896838,0.08635440093707797,0.14490482298795732,0.001998001998001998,4997,0.001998001998001998
