culture_condition,observed_slope,null_median,null_low,null_high,one_sided_p,q_value
Rest,0.6481580935392751,0.00039011769827530004,-0.17981116348907447,0.1839827316360133,0.000999000999000999,0.000999000999000999
Stim48hr,1.0432218520391965,-0.0010364222915983999,-0.1484475705855163,0.16464578511266523,0.000999000999000999,0.000999000999000999
Stim8hr,0.9345305022775068,-0.00296331899118175,-0.16194801889847216,0.16569021440727766,0.000999000999000999,0.000999000999000999
