metric	targets	estimate	ci_low	ci_high
core_fraction	3965	0.43254744153110114	0.4280413256554971	0.4373179942148376
signed_consensus_energy_fraction	3965	0.06013119022171306	0.0561108706616225	0.06417243075040324
signed_consensus_gene_fraction	3965	0.060096642548359704	0.055275615272528056	0.06480996199226415
heldout_cosine_Rest	2806	0.2775862556184551	0.2661193591818975	0.28939634321429786
heldout_cosine_Stim8hr	2872	0.2966937153788254	0.28537014563984725	0.30750063815995954
heldout_cosine_Stim48hr	2896	0.27686236692367666	0.2655632049280989	0.2880596570533507
