outcome	targets	eligible_denominator	rho	ci_low	ci_high	p_value	status	null_median	q_value	rho_excess	excess_ci_low	excess_ci_high
mean_guide_concordance	3720	4399	0.057899375266391	0.0248416037889437	0.0889010521078721	0.957	unresolved	0.0571081054035522	0.957	0.0007912698628388046	-0.0322665016146085	0.0317929467043199
mean_donor_concordance	948	4399	0.0794257610508881	0.0109208016440949	0.150719954863935	0.116	unresolved	0.0311881669966124	0.174	0.0482375940542757	-0.0202673653525175	0.1195317878673226
k562_concordance	1204	4399	0.1590939474612858	0.1091971066098595	0.2165984504642533	0.247	unresolved	0.1340972828248601	0.2964	0.02499666463642569	-0.02490017621500061	0.08250116763939319
rerouting	2236	4399	-0.604412125798104	-0.6328255116560686	-0.5728524957962297	0.001	below_matched_null	-0.0238197789160682	0.003	-0.5805923468820358	-0.6090057327400004	-0.5490327168801614
tf_motif_range	3965	4399	0.1677475853174166	0.1357226341860221	0.2013241732841377	0.001	below_matched_null	0.2606217806653557	0.003	-0.09287419534793909	-0.12489914647933359	-0.059297607381217976
rpe1_negative_transfer	303	4399	0.0853939354461921	-0.030822893545749	0.1953688004754789	0.056	unresolved	-0.0151622469509582	0.112	0.1005561823971503	-0.0156606465947908	0.21053104742643708
