prediction_model,targets,spearman_rho,ci_low,ci_high,permutation_p,calibration_intercept,calibration_slope,mae_of_risk_prediction,coverage_50,coverage_80,coverage_95,interpretation,q_value,diagnostic_decision
frozen_cd4_transfer,490,0.11881084311409604,0.0330522960752887,0.20395750752925318,0.008991008991008992,1.1068970783744199,0.26206468803202526,0.8110072180032951,0.5673469387755102,0.826530612244898,0.9612244897959183,developmental target-held-out diagnostic,0.008991008991008992,supported_positive
without_vector,490,0.2661380513332194,0.18448911592156508,0.34944481771996,0.000999000999000999,0.2734397191908714,0.7992055441695467,0.7516850142238111,0.5816326530612245,0.7959183673469388,0.9408163265306122,developmental target-held-out diagnostic,0.001998001998001998,supported_positive
