target_contrast_gene_name,logfc_pearson_r,logfc_pearson_pval,random_r1,random_r2,random_r3,comparison,condition,donor_correlation_mean,n_degs_MASH_K562,n_degs_MASH_Rest,n_degs_MASH_Stim48hr,n_degs_MASH_Stim8hr,random_mean,correlation_delta,cd4_response_genes,shared_response,private_or_inverted,confidence_tier,culture_condition,transfer_class,transfer_residual
GGA1,0.0740643855958322,9.858080778463931e-09,0.0148712517816879,-0.0119382297707033,0.0229903714018232,K562 vs CD4+T (Stim 48hr),Stim48hr,,9.0,8.0,8.0,7.0,0.0086411311376026,0.06542325445822961,8.0,True,False,moderate,Stim48hr,intermediate,-0.5165069259915424
SGPL1,0.0747287897064507,7.2630481993338e-09,0.019718861182615,0.0120886935197959,0.3249790708625033,K562 vs CD4+T (Stim 8hr),Stim8hr,,9.0,9.0,9.0,8.0,0.11892887518830475,-0.04420008548185406,8.0,True,False,moderate,Stim8hr,intermediate,-1.5441684332761858
TMEM150A,0.0749605251589128,6.524948191364685e-09,-0.0050761291316933,-0.0210414994400645,0.0148997512889693,K562 vs CD4+T (Stim 8hr),Stim8hr,,6.0,11.0,13.0,14.0,-0.003739292427596167,0.07869981758650897,14.0,True,False,moderate,Stim8hr,intermediate,1.3158591451657518
PARP4,0.0755523652504113,4.955464579828292e-09,-0.0455195381540343,-0.009653102394298,-0.000603238999977,K562 vs CD4+T (Rest),Rest,,16.0,5.0,6.0,6.0,-0.018591959849436433,0.09414432509984773,5.0,True,False,moderate,Rest,intermediate,-1.518122877585748
ATG2A,0.0758992966830594,4.213272313826857e-09,0.0001043468869785,0.0065495922621298,0.0652508092151949,K562 vs CD4+T (Rest),Rest,,3.0,12.0,11.0,12.0,0.023968249454767734,0.05193104722829167,12.0,True,False,moderate,Rest,intermediate,-1.1187510717039522
ITPR3,0.0767494522626058,2.822502952363338e-09,0.005942744907148,0.0018645534617873,-0.0081417353577301,K562 vs CD4+T (Stim 48hr),Stim48hr,,3.0,8.0,8.0,9.0,-0.00011147899626493332,0.07686093125887072,8.0,True,False,moderate,Stim48hr,intermediate,-1.298226731174727
ITPR3,0.0767770111916694,2.7858855563712557e-09,0.0019278645492815,-0.0240592511021291,-0.0044088309268439,K562 vs CD4+T (Rest),Rest,,3.0,8.0,8.0,9.0,-0.008846739159897166,0.08562375035156657,8.0,True,False,moderate,Rest,intermediate,-1.2309114497843359
ZNF771,0.0768411783220024,2.702410003864973e-09,0.0090088016986076,-0.0089602907080297,-0.0060632230074135,K562 vs CD4+T (Stim 8hr),Stim8hr,,3.0,9.0,10.0,10.0,-0.002004904005611867,0.07884608232761425,10.0,True,False,moderate,Stim8hr,intermediate,-0.11454685317984836
IRF2BP1,0.0771325858887822,2.352971882723163e-09,0.009575692527047,0.0048429148336346,0.0386783291271674,K562 vs CD4+T (Rest),Rest,0.2238487989818867,24.0,51.0,62.0,64.0,0.017698978829282997,0.05943360705949921,51.0,True,False,high,Rest,intermediate,2.4568786652130896
IRF2BP1,0.0778160998595089,1.6971029091483774e-09,0.0496262554581253,-0.0041372478815049,0.0166724548033797,K562 vs CD4+T (Stim 8hr),Stim8hr,0.7056332410618893,24.0,51.0,62.0,64.0,0.020720487460000034,0.05709561239950886,64.0,True,False,high,Stim8hr,amplified,3.051114690952135
