condition,transfer_class,rows,median_correlation,shared_fraction
Rest,amplified,293,0.4040886446477313,0.9931740614334471
Rest,buffered,91,0.258850624585127,0.967032967032967
Rest,intermediate,1009,0.2747629813492953,0.9861248761149654
Stim48hr,amplified,301,0.4131926490227735,1.0
Stim48hr,buffered,111,0.2546816145353122,0.990990990990991
Stim48hr,intermediate,946,0.28001201810162046,0.9862579281183932
Stim8hr,amplified,306,0.43330529798061224,1.0
Stim8hr,buffered,96,0.2650324804178996,0.9791666666666666
Stim8hr,intermediate,994,0.2837903640978593,0.9899396378269618
