term,estimate,standard_error,ci_low,ci_high,p_value,q_value
Intercept,0.14136040252401844,0.010548427164599935,0.12068586518785861,0.16203493986017828,5.958308510576434e-41,
"C(transfer_class, Treatment(reference='buffered'))[T.amplified]",-0.007238208400564603,0.009893583184381922,-0.02662927512000427,0.012152858318875068,0.46440886399763726,0.46440886399763726
"C(transfer_class, Treatment(reference='buffered'))[T.intermediate]",-0.010963794591060961,0.006745649413640095,-0.02418502449412928,0.002257435312007358,0.1040957910995121,0.2081915821990242
C(condition)[T.Stim48hr],0.005925131976209931,0.0015606078671835414,0.0028663967625403215,0.00898386718987954,0.0001466456416853493,
C(condition)[T.Stim8hr],0.011607101018443814,0.001358098000502649,0.008945277849982763,0.014268924186904865,1.2678324151999572e-17,
log1p_k562_response_genes,-0.004737576190025464,0.004046586709412726,-0.012668740400792857,0.003193588020741928,0.24169582318827,
log1p_cd4_response_genes,0.055140365221832875,0.0029047362650632025,0.049447186757721605,0.060833543685944146,2.361190814507521e-80,
